Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,8750;840;0;2;360;59;0,1240;119;1;0;0;0;0;0;0
1,0000;960;1;1;0;59;0,3740;359;3;1;0;1;0;0;0
1,3750;1320;1;1;360;59;0,1240;119;1;0;0;0;0;0;0
1,5000;1440;1;2;0;59;0,4990;479;4;1;1;1;1;0;0
2,0000;1920;2;1;0;57;0,2490;239;2;0;0;0;0;0;0
2,2500;2160;2;1;240;55;0,2490;239;2;0;0;0;0;0;0
2,5000;2400;2;2;0;57;0,2490;239;2;0;0;0;0;0;0
2,7500;2640;2;2;240;55;0,2490;239;2;1;0;1;0;0;0
3,0000;2880;3;1;0;52;0,1240;119;1;0;0;0;0;0;0
3,1250;3000;3;1;120;52;0,2490;239;2;0;0;1;0;0;0
3,3750;3240;3;1;360;52;0,1240;119;1;0;0;0;0;0;0
3,5000;3360;3;2;0;52;0,2490;239;2;1;1;1;1;1;0
3,8750;3720;3;2;360;59;0,1240;119;1;0;0;0;0;0;0
4,0000;3840;4;1;0;59;0,3740;359;3;1;0;1;0;0;0
4,3750;4200;4;1;360;59;0,1240;119;1;0;0;0;0;0;0
4,5000;4320;4;2;0;59;0,4990;479;4;1;1;1;1;0;0
5,0000;4800;5;1;0;57;0,2490;239;2;0;0;0;0;0;0
5,2500;5040;5;1;240;55;0,2490;239;2;0;0;0;0;0;0
5,5000;5280;5;2;0;57;0,2490;239;2;0;0;0;0;0;0
5,7500;5520;5;2;240;55;0,2490;239;2;1;0;1;0;0;0
6,0000;5760;6;1;0;52;0,1240;119;1;0;0;0;0;0;0
6,1250;5880;6;1;120;52;0,2490;239;2;1;0;1;0;1;0
6,3750;6120;6;1;360;52;0,1240;119;1;0;0;0;0;0;0
6,5000;6240;6;2;0;52;0,2490;239;2;1;0;1;1;0;0
6,7500;6480;6;2;240;57;0,2490;239;2;0;0;0;0;0;0
7,0000;6720;7;1;0;57;0,2490;239;2;0;0;0;0;0;0
7,2500;6960;7;1;240;55;0,2490;239;2;1;1;1;0;0;0
7,5000;7200;7;2;0;52;0,1240;119;1;0;0;0;0;0;0
7,6250;7320;7;2;120;52;0,2490;239;2;1;0;1;0;0;0
7,8750;7560;7;2;360;52;0,1240;119;1;0;0;0;0;0;0
8,0000;7680;8;1;0;52;0,2490;239;2;1;1;1;1;1;0
8,5000;8160;8;2;0;52;0,2490;239;2;0;0;0;0;0;0
8,7500;8400;8;2;240;47;0,2490;239;2;1;0;0;0;0;0
9,0000;8640;9;1;0;52;0,1240;119;1;0;0;0;0;0;0
9,1250;8760;9;1;120;52;0,2490;239;2;1;1;1;0;0;0
9,3750;9000;9;1;360;52;0,1240;119;1;0;0;0;0;0;0
9,5000;9120;9;2;0;52;0,2490;239;2;1;0;1;1;0;0
9,7500;9360;9;2;240;57;0,2490;239;2;0;0;0;0;0;0
10,0000;9600;10;1;0;57;0,2490;239;2;0;0;0;0;0;0
10,2500;9840;10;1;240;55;0,2490;239;2;1;1;1;0;0;0
10,5000;10080;10;2;0;52;0,1240;119;1;0;0;0;0;0;0
10,6250;10200;10;2;120;52;0,2490;239;2;1;0;1;0;0;0
10,8750;10440;10;2;360;52;0,1240;119;1;0;0;0;0;0;0
11,0000;10560;11;1;0;52;0,2490;239;2;1;1;1;1;1;0
11,5000;11040;11;2;0;52;0,2490;239;2;0;0;0;0;0;0
11,7500;11280;11;2;240;47;0,2490;239;2;1;0;0;0;0;0
12,0000;11520;12;1;0;52;0,1240;119;1;0;0;0;0;0;0
12,1250;11640;12;1;120;52;0,2490;239;2;1;1;1;0;0;0
12,3750;11880;12;1;360;52;0,1240;119;1;0;0;0;0;0;0
12,5000;12000;12;2;0;52;0,2490;239;2;1;0;1;1;0;0
12,7500;12240;12;2;240;57;0,2490;239;2;0;0;0;0;0;0
13,0000;12480;13;1;0;57;0,2490;239;2;0;0;0;0;0;0
13,2500;12720;13;1;240;55;0,2490;239;2;1;1;1;0;0;0
13,5000;12960;13;2;0;52;0,1240;119;1;0;0;0;0;0;0
13,6250;13080;13;2;120;52;0,2490;239;2;1;0;1;0;0;0
13,8750;13320;13;2;360;52;0,1240;119;1;0;0;0;0;0;0
14,0000;13440;14;1;0;52;0,2490;239;2;1;1;1;1;1;0
14,5000;13920;14;2;0;52;0,2490;239;2;0;0;0;0;0;0
14,7500;14160;14;2;240;47;0,2490;239;2;1;0;0;0;0;0
15,0000;14400;15;1;0;52;0,1240;119;1;0;0;0;0;0;0
15,1250;14520;15;1;120;52;0,2490;239;2;1;1;1;0;0;0
15,3750;14760;15;1;360;52;0,1240;119;1;0;0;0;0;0;0
15,5000;14880;15;2;0;52;0,2490;239;2;1;0;1;1;0;0
15,7500;15120;15;2;240;57;0,2490;239;2;0;0;0;0;0;0
