Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,8750;840;0;2;360;59;0,1240;119;1;0;0;0;0;0;0
1,0000;960;1;1;0;59;0,3740;359;3;1;1;1;1;0;0
1,3750;1320;1;1;360;54;0,1240;119;1;0;0;0;0;0;0
1,5000;1440;1;2;0;54;0,2490;239;2;0;0;0;0;0;0
1,7500;1680;1;2;240;55;0,2490;239;2;0;0;1;0;0;0
2,0000;1920;2;1;0;52;0,2490;239;2;0;0;0;0;0;0
2,2500;2160;2;1;240;52;0,2490;239;2;0;0;0;0;0;0
2,5000;2400;2;2;0;52;0,2490;239;2;1;0;1;0;0;0
2,8750;2760;2;2;360;52;0,1240;119;1;0;0;0;0;0;0
3,0000;2880;3;1;0;52;0,4990;479;4;0;0;0;0;1;0
3,5000;3360;3;2;0;52;0,2490;239;2;1;0;1;1;0;0
3,8750;3720;3;2;360;59;0,1240;119;1;0;0;0;0;0;0
4,0000;3840;4;1;0;59;0,3740;359;3;1;1;1;0;0;0
4,3750;4200;4;1;360;54;0,1240;119;1;0;0;0;0;0;0
4,5000;4320;4;2;0;54;0,2490;239;2;0;0;0;0;0;0
4,7500;4560;4;2;240;55;0,2490;239;2;0;0;1;0;0;0
5,0000;4800;5;1;0;52;0,2490;239;2;0;0;0;0;0;0
5,2500;5040;5;1;240;52;0,2490;239;2;0;0;0;0;0;0
5,5000;5280;5;2;0;52;0,2490;239;2;0;0;0;0;0;0
5,7500;5520;5;2;240;52;0,0615;59;1;0;0;1;0;0;0
5,8750;5640;5;2;360;52;0,1240;119;1;0;0;0;0;0;0
6,0000;5760;6;1;0;52;0,4990;479;4;1;0;0;0;1;0
6,5000;6240;6;2;0;52;0,1240;119;1;0;0;1;0;0;0
6,7500;6480;6;2;240;55;0,2490;239;2;0;0;0;0;0;0
7,0000;6720;7;1;0;55;0,2490;239;2;0;0;0;0;0;0
7,2500;6960;7;1;240;54;0,2490;239;2;0;0;0;0;0;0
7,5000;7200;7;2;0;55;0,2490;239;2;1;1;1;1;1;0
7,8750;7560;7;2;360;52;0,1240;119;1;0;0;0;0;0;0
8,0000;7680;8;1;0;52;0,2490;239;2;0;0;0;0;0;0
8,2500;7920;8;1;240;52;0,2490;239;2;0;0;0;0;0;0
8,5000;8160;8;2;0;52;0,1240;119;1;1;0;1;0;0;0
8,7500;8400;8;2;240;52;0,2490;239;2;0;0;0;0;0;0
9,0000;8640;9;1;0;52;0,2490;239;2;0;0;1;0;0;0
9,2500;8880;9;1;240;54;0,2490;239;2;0;0;0;0;0;0
9,5000;9120;9;2;0;55;0,2490;239;2;1;1;1;1;1;0
9,8750;9480;9;2;360;52;0,1240;119;1;0;0;0;0;0;0
10,0000;9600;10;1;0;52;0,2490;239;2;0;0;0;0;0;0
10,2500;9840;10;1;240;52;0,2490;239;2;0;0;0;0;0;0
10,5000;10080;10;2;0;52;0,1240;119;1;1;0;1;0;0;0
10,7500;10320;10;2;240;52;0,2490;239;2;0;0;0;0;0;0
11,0000;10560;11;1;0;52;0,2490;239;2;0;0;1;0;0;0
11,2500;10800;11;1;240;54;0,2490;239;2;0;0;0;0;0;0
11,5000;11040;11;2;0;55;0,2490;239;2;1;1;1;1;1;0
11,8750;11400;11;2;360;52;0,1240;119;1;0;0;0;0;0;0
12,0000;11520;12;1;0;52;0,2490;239;2;0;0;0;0;0;0
12,2500;11760;12;1;240;52;0,2490;239;2;0;0;0;0;0;0
12,5000;12000;12;2;0;52;0,1240;119;1;1;0;1;0;0;0
12,7500;12240;12;2;240;52;0,2490;239;2;0;0;0;0;0;0
13,0000;12480;13;1;0;52;0,2490;239;2;0;0;1;0;0;0
13,2500;12720;13;1;240;54;0,2490;239;2;0;0;0;0;0;0
13,5000;12960;13;2;0;55;0,2490;239;2;1;1;1;0;0;0
13,8750;13320;13;2;360;52;0,1240;119;1;0;0;0;0;0;0
14,0000;13440;14;1;0;52;0,2490;239;2;0;0;0;0;0;0
14,2500;13680;14;1;240;52;0,2490;239;2;0;0;0;0;0;0
14,5000;13920;14;2;0;52;0,2490;239;2;1;1;1;1;1;0
14,8750;14280;14;2;360;59;0,1240;119;1;0;0;0;0;0;0
15,0000;14400;15;1;0;59;0,3740;359;3;1;1;1;0;0;0
15,3750;14760;15;1;360;54;0,1240;119;1;0;0;0;0;0;0
15,5000;14880;15;2;0;54;0,2490;239;2;0;0;0;0;0;0
15,7500;15120;15;2;240;55;0,2490;239;2;0;0;1;0;0;0
16,0000;15360;16;1;0;52;0,2490;239;2;0;0;0;0;0;0
16,2500;15600;16;1;240;52;0,2490;239;2;0;0;0;0;0;0
16,5000;15840;16;2;0;52;0,2490;239;2;1;0;1;0;0;0
16,8750;16200;16;2;360;52;0,1240;119;1;0;0;0;0;0;0
17,0000;16320;17;1;0;52;0,4990;479;4;0;0;0;0;1;0
17,5000;16800;17;2;0;52;0,2490;239;2;1;0;1;1;0;0
17,8750;17160;17;2;360;59;0,1240;119;1;0;0;0;0;0;0
18,0000;17280;18;1;0;59;0,3740;359;3;1;1;1;0;0;0
18,3750;17640;18;1;360;54;0,1240;119;1;0;0;0;0;0;0
18,5000;17760;18;2;0;54;0,2490;239;2;0;0;0;0;0;0
18,7500;18000;18;2;240;55;0,2490;239;2;0;0;1;0;0;0
19,0000;18240;19;1;0;52;0,2490;239;2;0;0;0;0;0;0
19,2500;18480;19;1;240;52;0,2490;239;2;0;0;0;0;0;0
19,5000;18720;19;2;0;52;0,2490;239;2;0;0;0;0;0;0
19,7500;18960;19;2;240;52;0,0615;59;1;0;0;1;0;0;0
19,8750;19080;19;2;360;52;0,1240;119;1;0;0;0;0;0;0
20,0000;19200;20;1;0;52;0,4990;479;4;1;0;0;0;1;0
20,5000;19680;20;2;0;52;0,1240;119;1;0;0;1;0;0;0
20,7500;19920;20;2;240;55;0,2490;239;2;0;0;0;0;0;0
21,0000;20160;21;1;0;55;0,2490;239;2;0;0;0;0;0;0
21,2500;20400;21;1;240;54;0,2490;239;2;0;0;0;0;0;0
21,5000;20640;21;2;0;55;0,2490;239;2;1;1;1;1;1;0
21,8750;21000;21;2;360;52;0,1240;119;1;0;0;0;0;0;0
22,0000;21120;22;1;0;52;0,2490;239;2;0;0;0;0;0;0
22,2500;21360;22;1;240;52;0,2490;239;2;0;0;0;0;0;0
22,5000;21600;22;2;0;52;0,1240;119;1;1;0;1;0;0;0
22,7500;21840;22;2;240;52;0,2490;239;2;0;0;0;0;0;0
23,0000;22080;23;1;0;52;0,2490;239;2;0;0;1;0;0;0
23,2500;22320;23;1;240;54;0,2490;239;2;0;0;0;0;0;0
23,5000;22560;23;2;0;55;0,2490;239;2;1;1;1;1;1;0
23,8750;22920;23;2;360;52;0,1240;119;1;0;0;0;0;0;0
24,0000;23040;24;1;0;52;0,2490;239;2;0;0;0;0;0;0
24,2500;23280;24;1;240;52;0,2490;239;2;0;0;0;0;0;0
24,5000;23520;24;2;0;52;0,1240;119;1;1;0;1;0;0;0
24,7500;23760;24;2;240;52;0,2490;239;2;0;0;0;0;0;0
25,0000;24000;25;1;0;52;0,2490;239;2;0;0;1;0;0;0
25,2500;24240;25;1;240;54;0,2490;239;2;0;0;0;0;0;0
25,5000;24480;25;2;0;55;0,2490;239;2;1;1;1;1;1;0
25,8750;24840;25;2;360;52;0,1240;119;1;0;0;0;0;0;0
26,0000;24960;26;1;0;52;0,2490;239;2;0;0;0;0;0;0
26,2500;25200;26;1;240;52;0,2490;239;2;0;0;0;0;0;0
26,5000;25440;26;2;0;52;0,1240;119;1;1;0;1;0;0;0
26,7500;25680;26;2;240;52;0,2490;239;2;0;0;0;0;0;0
27,0000;25920;27;1;0;52;0,2490;239;2;0;0;1;0;0;0
27,2500;26160;27;1;240;54;0,2490;239;2;0;0;0;0;0;0
27,5000;26400;27;2;0;55;0,2490;239;2;1;1;1;0;1;0
27,8750;26760;27;2;360;52;0,1240;119;1;0;0;0;0;0;0
28,0000;26880;28;1;0;52;0,2490;239;2;0;0;0;0;0;0
28,2500;27120;28;1;240;52;0,2490;239;2;0;0;0;0;0;0
28,5000;27360;28;2;0;52;0,2490;239;2;1;0;1;1;0;0
28,8750;27720;28;2;360;59;0,1240;119;1;0;0;0;0;0;0
29,0000;27840;29;1;0;52;0,2490;239;2;0;0;0;0;0;0
29,2500;28080;29;1;240;52;0,2490;239;2;0;0;0;0;0;0
29,5000;28320;29;2;0;52;0,2490;239;2;1;1;1;1;1;1
