Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;64;0,2490;239;12;1;0;1;0;0;0
0,2500;240;1;1;240;64;0,1240;119;6;0;0;0;0;0;0
0,3750;360;1;1;360;64;0,1240;119;6;0;0;0;0;0;0
0,5000;480;1;2;0;64;0,9990;959;48;1;0;1;1;1;1
1,5000;1440;2;2;0;64;0,1240;119;6;0;0;0;0;0;0
1,6250;1560;2;2;120;64;0,3740;359;18;1;1;1;0;0;0
2,0000;1920;3;1;0;57;0,4990;479;24;0;0;0;0;0;1
2,5000;2400;3;2;0;61;0,3740;359;18;0;0;1;0;0;0
2,8750;2760;3;2;360;64;0,1240;119;6;0;1;0;0;0;0
3,0000;2880;4;1;0;62;0,0990;95;5;0;0;0;0;0;0
3,1000;2976;4;1;96;61;0,0990;95;5;0;0;0;0;0;0
3,2000;3072;4;1;192;62;0,0990;95;5;1;0;1;0;0;0
3,3000;3168;4;1;288;59;0,0990;95;5;0;0;0;0;0;0
3,4000;3264;4;1;384;59;0,0990;95;5;1;1;1;1;1;0
3,5000;3360;4;2;0;54;0,1240;119;6;0;0;0;0;0;0
3,6250;3480;4;2;120;54;0,2490;239;12;0;0;1;0;0;0
3,8750;3720;4;2;360;52;0,1240;119;6;0;0;0;0;0;0
4,0000;3840;5;1;0;54;0,1656;159;8;0;0;1;0;0;0
4,1667;4000;5;1;160;52;0,1656;159;8;1;0;0;0;0;0
4,3333;4160;5;1;320;52;0,1656;159;8;0;0;0;0;0;0
4,5000;4320;5;2;0;52;0,7490;719;36;1;1;0;0;1;1
5,2500;5040;6;1;240;52;0,2490;239;12;0;0;1;1;0;0
5,5000;5280;6;2;0;64;0,2490;239;12;0;0;0;0;0;0
5,7500;5520;6;2;240;64;0,1240;119;6;0;0;0;0;0;0
5,8750;5640;6;2;360;64;0,1240;119;6;0;0;0;0;0;0
6,0000;5760;7;1;0;64;0,9990;959;48;1;0;1;0;1;1
7,0000;6720;8;1;0;64;0,1240;119;6;0;0;0;0;0;0
7,1250;6840;8;1;120;64;0,3740;359;18;1;1;1;0;0;0
7,5000;7200;8;2;0;57;0,4990;479;24;0;0;0;0;0;1
8,0000;7680;9;1;0;61;0,3740;359;18;0;0;1;0;0;0
8,3750;8040;9;1;360;64;0,1240;119;6;0;1;0;0;0;0
8,5000;8160;9;2;0;62;0,0990;95;5;0;0;0;0;0;0
8,6000;8256;9;2;96;61;0,0990;95;5;0;0;0;0;0;0
8,7000;8352;9;2;192;62;0,0990;95;5;1;0;1;0;0;0
8,8000;8448;9;2;288;59;0,0990;95;5;0;0;0;0;0;0
8,9000;8544;9;2;384;59;0,0990;95;5;1;1;1;1;0;0
9,0000;8640;10;1;0;54;0,1240;119;6;0;0;0;0;0;0
9,1250;8760;10;1;120;54;0,2490;239;12;0;0;1;0;0;0
9,3750;9000;10;1;360;52;0,1240;119;6;0;0;0;0;0;0
9,5000;9120;10;2;0;54;0,1656;159;8;1;0;1;0;0;0
9,6667;9280;10;2;160;52;0,1656;159;8;0;0;0;0;0;0
9,8333;9440;10;2;320;52;0,1656;159;8;0;0;0;0;0;0
10,0000;9600;11;1;0;52;0,9990;959;48;1;1;1;0;1;1
11,0000;10560;12;1;0;54;0,2490;239;12;0;0;0;0;0;0
11,2500;10800;12;1;240;57;0,4990;479;24;1;0;0;0;0;1
11,7500;11280;12;2;240;57;0,2490;239;12;0;0;0;0;0;0
12,0000;11520;13;1;0;57;0,9990;959;48;1;1;1;1;1;1
13,0000;12480;14;1;0;49;0,1240;119;6;0;0;0;0;0;0
13,1250;12600;14;1;120;49;0,2490;239;12;1;0;1;0;0;0
13,3750;12840;14;1;360;47;0,1240;119;6;0;0;0;0;0;0
13,5000;12960;14;2;0;45;0,4990;479;24;1;1;1;1;0;1
14,0000;13440;15;1;0;54;0,2490;239;12;0;0;0;0;0;0
14,2500;13680;15;1;240;57;0,2490;239;12;0;0;0;0;0;0
14,5000;13920;15;2;0;57;0,2490;239;12;1;0;0;0;0;0
14,7500;14160;15;2;240;57;0,1240;119;6;0;0;1;0;0;0
14,8750;14280;15;2;360;54;0,1240;119;6;0;0;0;0;0;0
15,0000;14400;16;1;0;57;0,1240;119;6;0;0;0;0;0;0
15,1250;14520;16;1;120;57;0,2490;239;12;1;1;1;0;0;0
15,3750;14760;16;1;360;54;0,1240;119;6;0;0;0;0;0;0
15,5000;14880;16;2;0;52;0,4990;479;24;1;0;1;0;1;1
16,0000;15360;17;1;0;54;0,1240;119;6;0;0;0;0;0;0
16,1250;15480;17;1;120;52;0,1240;119;6;0;0;0;0;0;0
16,2500;15600;17;1;240;52;0,2490;239;12;0;0;0;0;0;0
16,5000;15840;17;2;0;52;0,7490;719;36;1;1;1;1;0;1
17,2500;16560;18;1;240;52;0,2490;239;12;0;0;0;0;0;0
17,5000;16800;18;2;0;54;0,1240;119;6;0;0;0;0;0;0
17,6250;16920;18;2;120;52;0,1240;119;6;0;0;0;0;0;0
17,7500;17040;18;2;240;52;0,2490;239;12;1;0;0;0;0;0
18,0000;17280;19;1;0;52;0,4990;479;24;0;0;0;1;0;0
18,5000;17760;19;2;0;52;0,9990;959;48;1;1;1;1;1;1
