Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;52;0,0615;59;1;0;0;0;0;0;0
0,0625;60;1;1;60;52;0,1865;179;3;0;0;0;0;0;0
0,2500;240;1;1;240;52;0,2490;239;4;1;1;1;1;0;0
0,5000;480;1;2;0;54;0,0615;59;1;0;0;0;0;0;0
0,5625;540;1;2;60;54;0,1865;179;3;1;1;1;0;0;0
0,7500;720;1;2;240;52;0,1240;119;2;0;0;0;0;0;0
0,8750;840;1;2;360;52;0,1240;119;2;0;0;0;0;0;0
1,0000;960;1;3;0;52;0,2490;239;4;1;0;1;1;1;0
1,5000;1440;2;1;0;52;0,0615;59;1;0;0;0;0;0;0
1,5625;1500;2;1;60;52;0,1865;179;3;0;0;1;0;0;0
1,7500;1680;2;1;240;52;0,1240;119;2;0;0;0;0;0;0
1,8750;1800;2;1;360;52;0,1240;119;2;0;0;1;0;0;0
2,0000;1920;2;2;0;54;0,0615;59;1;1;1;0;0;0;0
2,0625;1980;2;2;60;54;0,1865;179;3;0;0;0;0;0;0
2,2500;2160;2;2;240;52;0,2490;239;4;1;0;1;0;0;0
2,5000;2400;2;3;0;49;0,1240;119;2;0;0;0;0;0;0
2,6250;2520;2;3;120;49;0,1240;119;2;0;0;0;0;0;0
2,7500;2640;2;3;240;47;0,1240;119;2;1;1;1;1;1;0
3,0000;2880;3;1;0;52;0,1240;119;2;0;0;0;0;0;0
3,1250;3000;3;1;120;52;0,3740;359;6;1;1;1;0;0;0
3,5000;3360;3;2;0;54;0,0615;59;1;0;0;0;0;0;0
3,5625;3420;3;2;60;54;0,1865;179;3;1;0;1;0;0;0
3,7500;3600;3;2;240;52;0,1240;119;2;0;0;0;0;0;0
3,8750;3720;3;2;360;52;0,1240;119;2;0;0;0;0;0;0
4,0000;3840;3;3;0;52;0,2490;239;4;1;0;1;1;1;0
4,5000;4320;4;1;0;52;0,0615;59;1;0;0;0;0;0;0
4,5625;4380;4;1;60;52;0,1865;179;3;0;0;1;0;0;0
4,7500;4560;4;1;240;52;0,1240;119;2;0;0;0;0;0;0
4,8750;4680;4;1;360;52;0,1240;119;2;0;0;1;0;0;0
5,0000;4800;4;2;0;54;0,0615;59;1;1;1;0;0;0;0
5,0625;4860;4;2;60;54;0,1865;179;3;0;0;0;0;0;0
5,2500;5040;4;2;240;52;0,2490;239;4;1;0;1;0;0;0
5,5000;5280;4;3;0;49;0,1240;119;2;0;0;0;0;0;0
5,6250;5400;4;3;120;49;0,1240;119;2;0;0;0;0;0;0
5,7500;5520;4;3;240;47;0,1240;119;2;1;1;1;1;1;0
6,0000;5760;5;1;0;56;0,1240;119;2;0;0;0;0;0;0
6,1250;5880;5;1;120;56;0,2490;239;4;1;0;1;0;0;0
6,3750;6120;5;1;360;54;0,1240;119;2;0;0;0;0;0;0
6,5000;6240;5;2;0;54;0,4990;479;8;1;0;1;1;0;1
7,0000;6720;5;3;0;54;0,0615;59;1;0;0;0;0;0;0
7,0625;6780;5;3;60;54;0,1865;179;3;1;0;1;0;0;0
7,2500;6960;5;3;240;52;0,1240;119;2;0;0;0;0;0;0
7,3750;7080;5;3;360;52;0,1240;119;2;0;0;0;0;0;0
7,5000;7200;6;1;0;52;0,4990;479;8;1;1;1;1;1;1
8,0000;7680;6;2;0;56;0,1240;119;2;0;0;0;0;0;0
8,1250;7800;6;2;120;56;0,2490;239;4;1;0;1;0;0;0
8,3750;8040;6;2;360;54;0,1240;119;2;0;0;0;0;0;0
8,5000;8160;6;3;0;54;0,4990;479;8;1;0;1;1;0;1
9,0000;8640;7;1;0;54;0,0615;59;1;0;0;0;0;0;0
9,0625;8700;7;1;60;54;0,1865;179;3;1;1;1;0;0;0
9,2500;8880;7;1;240;52;0,1240;119;2;0;0;0;0;0;0
9,3750;9000;7;1;360;52;0,1240;119;2;0;0;0;0;0;0
9,5000;9120;7;2;0;52;0,4990;479;8;1;0;1;1;1;1
10,0000;9600;7;3;0;52;0,0615;59;1;0;0;0;0;0;0
10,0625;9660;7;3;60;52;0,1865;179;3;0;0;0;0;0;0
10,2500;9840;7;3;240;52;0,2490;239;4;1;1;1;0;0;0
10,5000;10080;8;1;0;54;0,0615;59;1;0;0;0;0;0;0
10,5625;10140;8;1;60;54;0,1865;179;3;0;0;0;0;0;0
10,7500;10320;8;1;240;52;0,2490;239;4;1;0;1;0;0;0
11,0000;10560;8;2;0;49;0,1240;119;2;0;0;0;0;0;0
11,1250;10680;8;2;120;49;0,1240;119;2;0;0;0;0;0;0
11,2500;10800;8;2;240;47;0,1240;119;2;1;1;1;1;1;0
11,5000;11040;8;3;0;52;0,0615;59;1;0;0;0;0;0;0
11,5625;11100;8;3;60;52;0,1865;179;3;0;0;0;0;0;0
11,7500;11280;8;3;240;52;0,2490;239;4;1;0;1;0;0;0
12,0000;11520;9;1;0;54;0,0615;59;1;0;0;0;0;0;0
12,0625;11580;9;1;60;54;0,1865;179;3;1;1;1;0;0;0
12,2500;11760;9;1;240;52;0,1240;119;2;0;0;0;0;0;0
12,3750;11880;9;1;360;52;0,1240;119;2;0;0;0;0;0;0
12,5000;12000;9;2;0;52;0,4990;479;8;1;1;1;1;1;1
