Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;57;0,2490;239;1;0;0;0;0;0;0
0,2500;240;1;1;240;57;0,2490;239;1;0;0;0;0;0;0
0,5000;480;1;2;0;57;0,9990;959;4;1;1;1;1;1;1
1,5000;1440;2;2;0;59;0,2490;239;1;0;0;0;0;0;0
1,7500;1680;2;2;240;57;0,2490;239;1;0;0;0;0;0;0
2,0000;1920;3;1;0;56;0,7490;719;3;1;1;1;0;0;0
2,7500;2640;3;2;240;54;0,2490;239;1;0;0;0;0;0;0
3,0000;2880;4;1;0;56;0,2490;239;1;0;0;0;0;0;0
3,2500;3120;4;1;240;56;0,2490;239;1;0;0;0;0;0;0
3,5000;3360;4;2;0;54;0,9990;959;4;1;0;1;0;0;1
4,5000;4320;5;2;0;54;0,2490;239;1;0;0;0;0;0;0
4,7500;4560;5;2;240;54;0,2490;239;1;0;0;0;0;0;0
5,0000;4800;6;1;0;49;0,4990;479;2;1;1;1;1;1;0
6,0000;5760;7;1;0;57;0,2490;239;1;0;0;0;0;0;0
6,2500;6000;7;1;240;57;0,2490;239;1;0;0;0;0;0;0
6,5000;6240;7;2;0;57;0,9990;959;4;1;0;1;0;0;1
7,5000;7200;8;2;0;59;0,2490;239;1;0;0;0;0;0;0
7,7500;7440;8;2;240;57;0,2490;239;1;0;0;0;0;0;0
8,0000;7680;9;1;0;56;0,7490;719;3;1;1;1;0;0;0
8,7500;8400;9;2;240;54;0,2490;239;1;0;0;0;0;0;0
9,0000;8640;10;1;0;56;0,2490;239;1;0;0;0;0;0;0
9,2500;8880;10;1;240;56;0,2490;239;1;0;0;0;0;0;0
9,5000;9120;10;2;0;54;0,9990;959;4;1;0;1;0;0;1
10,5000;10080;11;2;0;54;0,2490;239;1;0;0;0;0;0;0
10,7500;10320;11;2;240;54;0,2490;239;1;0;0;0;0;0;0
11,0000;10560;12;1;0;49;0,4990;479;2;0;0;1;1;1;0
12,0000;11520;13;1;0;54;0,9990;959;4;0;0;0;0;0;1
13,0000;12480;14;1;0;56;0,2490;239;1;0;0;0;0;0;0
13,2500;12720;14;1;240;54;0,2490;239;1;0;0;0;0;0;0
13,5000;12960;14;2;0;54;0,9990;959;4;1;1;1;0;0;1
14,5000;13920;15;2;0;54;0,2490;239;1;0;0;0;0;0;0
14,7500;14160;15;2;240;54;0,2490;239;1;0;0;0;0;0;0
15,0000;14400;16;1;0;49;0,9990;959;4;0;0;1;0;0;1
16,0000;15360;17;1;0;54;0,9990;959;4;1;0;0;0;1;1
17,0000;16320;18;1;0;56;0,2490;239;1;0;0;0;0;0;0
17,2500;16560;18;1;240;54;0,2490;239;1;0;0;0;0;0;0
17,5000;16800;18;2;0;54;0,9990;959;4;1;1;1;1;0;1
18,5000;17760;19;2;0;54;0,2490;239;1;0;0;0;0;0;0
18,7500;18000;19;2;240;54;0,2490;239;1;0;0;1;0;0;0
19,0000;18240;20;1;0;49;0,9990;959;4;1;1;1;1;1;1
