Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
1,2500;1200;0;3;240;60;0,2490;239;3;0;0;0;0;0;0
1,5000;1440;1;1;0;60;0,7490;719;9;1;1;1;1;0;0
2,2500;2160;1;2;240;57;0,2490;239;3;0;0;0;0;0;0
2,5000;2400;1;3;0;57;0,2490;239;3;0;0;1;0;0;0
2,7500;2640;1;3;240;60;0,2490;239;3;0;0;0;0;0;0
3,0000;2880;2;1;0;60;0,7490;719;9;1;0;0;0;1;0
3,7500;3600;2;2;240;60;0,2490;239;3;0;0;1;1;0;0
4,0000;3840;2;3;0;57;0,7490;719;9;1;1;0;0;0;0
4,7500;4560;3;1;240;57;0,2490;239;3;0;0;0;0;0;0
5,0000;4800;3;2;0;57;0,2490;239;3;0;0;0;0;0;0
5,2500;5040;3;2;240;57;0,2490;239;3;1;0;0;0;0;0
5,5000;5280;3;3;0;57;0,1656;159;2;0;0;1;0;0;0
5,6667;5440;3;3;160;53;0,1656;159;2;0;0;0;0;0;0
5,8333;5600;3;3;320;57;0,1656;159;2;0;0;0;0;0;0
6,0000;5760;4;1;0;53;0,7490;719;9;1;1;1;0;1;0
6,7500;6480;4;2;240;53;0,2490;239;3;0;0;0;0;0;0
7,0000;6720;4;3;0;53;0,2490;239;3;0;0;0;0;0;0
7,2500;6960;4;3;240;53;0,2490;239;3;0;0;0;0;0;0
7,5000;7200;5;1;0;53;0,2490;239;3;0;0;1;1;0;0
7,7500;7440;5;1;240;60;0,2490;239;3;0;0;0;0;0;0
8,0000;7680;5;2;0;57;0,7490;719;9;1;1;1;0;1;0
8,7500;8400;5;3;240;57;0,2490;239;3;0;0;0;0;0;0
9,0000;8640;6;1;0;57;0,2490;239;3;0;0;0;0;0;0
9,2500;8880;6;1;240;57;0,2490;239;3;0;0;0;0;0;0
9,5000;9120;6;2;0;57;0,1656;159;2;1;1;1;0;0;0
9,6667;9280;6;2;160;53;0,1656;159;2;0;0;0;0;0;0
9,8333;9440;6;2;320;57;0,1656;159;2;0;0;0;0;0;0
10,0000;9600;6;3;0;53;0,7490;719;9;1;1;1;1;1;0
10,7500;10320;7;1;240;53;0,2490;239;3;0;0;0;0;0;0
11,0000;10560;7;2;0;53;0,2490;239;3;0;0;0;0;0;0
11,2500;10800;7;2;240;57;0,2490;239;3;0;0;0;0;0;0
11,5000;11040;7;3;0;53;0,7490;719;9;1;0;1;0;0;0
12,2500;11760;8;1;240;53;0,2490;239;3;0;0;0;0;0;0
12,5000;12000;8;2;0;53;0,4990;479;6;1;1;1;1;0;0
13,0000;12480;8;3;0;57;0,7490;719;9;0;0;0;0;1;0
13,7500;13200;9;1;240;57;0,2490;239;3;0;0;0;0;0;0
14,0000;13440;9;2;0;57;0,2490;239;3;0;0;0;0;0;0
14,2500;13680;9;2;240;57;0,2490;239;3;0;0;0;0;0;0
14,5000;13920;9;3;0;57;0,1656;159;2;1;0;1;0;0;0
14,6667;14080;9;3;160;53;0,1656;159;2;0;0;0;0;0;0
14,8333;14240;9;3;320;57;0,1656;159;2;0;0;0;0;0;0
15,0000;14400;10;1;0;53;0,7490;719;9;1;1;1;1;0;0
15,7500;15120;10;2;240;53;0,2490;239;3;0;0;0;0;0;0
16,0000;15360;10;3;0;53;0,2490;239;3;0;0;0;0;0;0
16,2500;15600;10;3;240;53;0,2490;239;3;0;0;0;0;0;0
16,5000;15840;11;1;0;53;0,9990;959;12;1;1;1;1;1;1
