Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;54;0,1240;119;2;0;0;0;0;0;0
0,1250;120;1;1;120;61;0,3740;359;6;1;1;1;1;0;0
0,5000;480;1;2;0;57;0,1240;119;2;0;0;0;0;0;0
0,6250;600;1;2;120;57;0,3740;359;6;1;0;1;0;0;0
1,0000;960;2;1;0;56;0,1240;119;2;0;0;0;0;0;0
1,1250;1080;2;1;120;57;0,3740;359;6;1;1;1;1;0;0
1,5000;1440;2;2;0;56;0,1240;119;2;0;0;0;0;0;0
1,6250;1560;2;2;120;56;0,1240;119;2;0;0;1;0;0;0
1,7500;1680;2;2;240;54;0,1240;119;2;0;0;0;0;0;0
1,8750;1800;2;2;360;54;0,2490;239;4;1;0;1;0;1;0
2,1250;2040;3;1;120;56;0,1240;119;2;0;0;0;0;0;0
2,2500;2160;3;1;240;54;0,1240;119;2;1;0;0;0;0;0
2,3750;2280;3;1;360;54;0,2490;239;4;0;0;0;0;0;0
2,6250;2520;3;2;120;54;0,2490;239;4;1;1;1;1;0;0
2,8750;2760;3;2;360;49;0,1240;119;2;0;0;0;0;0;0
3,0000;2880;4;1;0;49;0,1240;119;2;0;0;1;0;0;0
3,1250;3000;4;1;120;54;0,2490;239;4;0;0;0;0;0;0
3,3750;3240;4;1;360;54;0,1865;179;3;0;0;1;0;0;0
3,5625;3420;4;2;60;54;0,0615;59;1;0;0;0;0;0;0
3,6250;3480;4;2;120;54;0,3740;359;6;1;1;1;1;1;0
4,0000;3840;5;1;0;54;0,1240;119;2;0;0;0;0;0;0
4,1250;3960;5;1;120;54;0,3740;359;6;1;1;1;0;0;0
4,5000;4320;5;2;0;54;0,1240;119;2;0;0;0;0;0;0
4,6250;4440;5;2;120;54;0,2490;239;4;1;1;1;1;0;0
4,8750;4680;5;2;360;49;0,1240;119;2;0;0;0;0;0;0
5,0000;4800;6;1;0;49;0,1240;119;2;0;0;1;0;0;0
5,1250;4920;6;1;120;54;0,2490;239;4;0;0;0;0;0;0
5,3750;5160;6;1;360;54;0,1865;179;3;0;0;1;0;0;0
5,5625;5340;6;2;60;54;0,0615;59;1;0;0;0;0;0;0
5,6250;5400;6;2;120;54;0,3740;359;6;1;1;1;1;0;0
6,0000;5760;7;1;0;54;0,1240;119;2;0;0;0;0;0;0
6,1250;5880;7;1;120;54;0,3740;359;6;1;0;1;0;0;0
6,5000;6240;7;2;0;54;0,1240;119;2;0;0;0;0;0;0
6,6250;6360;7;2;120;54;0,4990;479;8;1;1;1;1;1;1
7,6250;7320;8;2;120;61;0,3740;359;6;0;0;0;0;0;0
8,0000;7680;9;1;0;57;0,1240;119;2;0;0;0;0;0;0
8,1250;7800;9;1;120;57;0,3740;359;6;1;0;1;0;0;0
8,5000;8160;9;2;0;56;0,1240;119;2;0;0;0;0;0;0
8,6250;8280;9;2;120;57;0,3740;359;6;1;1;1;1;0;0
9,0000;8640;10;1;0;56;0,1240;119;2;0;0;0;0;0;0
9,1250;8760;10;1;120;56;0,1240;119;2;0;0;1;0;0;0
9,2500;8880;10;1;240;54;0,1240;119;2;0;0;0;0;0;0
9,3750;9000;10;1;360;54;0,2490;239;4;1;0;1;0;1;0
9,6250;9240;10;2;120;56;0,1240;119;2;0;0;0;0;0;0
9,7500;9360;10;2;240;54;0,1240;119;2;1;0;0;0;0;0
9,8750;9480;10;2;360;54;0,2490;239;4;0;0;0;0;0;0
10,1250;9720;11;1;120;54;0,2490;239;4;1;1;1;1;0;0
10,3750;9960;11;1;360;49;0,1240;119;2;0;0;0;0;0;0
10,5000;10080;11;2;0;49;0,1240;119;2;0;0;1;0;0;0
10,6250;10200;11;2;120;54;0,2490;239;4;0;0;0;0;0;0
10,8750;10440;11;2;360;54;0,1865;179;3;0;0;1;0;0;0
11,0625;10620;12;1;60;54;0,0615;59;1;0;0;0;0;0;0
11,1250;10680;12;1;120;54;0,3740;359;6;1;1;1;1;1;0
11,5000;11040;12;2;0;54;0,1240;119;2;0;0;0;0;0;0
11,6250;11160;12;2;120;54;0,3740;359;6;1;1;1;0;0;0
12,0000;11520;13;1;0;54;0,1240;119;2;0;0;0;0;0;0
12,1250;11640;13;1;120;54;0,2490;239;4;1;1;1;1;0;0
12,3750;11880;13;1;360;49;0,1240;119;2;0;0;0;0;0;0
12,5000;12000;13;2;0;49;0,1240;119;2;0;0;1;0;0;0
12,6250;12120;13;2;120;54;0,2490;239;4;0;0;0;0;0;0
12,8750;12360;13;2;360;54;0,1865;179;3;0;0;1;0;0;0
13,0625;12540;14;1;60;54;0,0615;59;1;0;0;0;0;0;0
13,1250;12600;14;1;120;54;0,3740;359;6;1;1;1;1;0;0
13,5000;12960;14;2;0;54;0,1240;119;2;0;0;0;0;0;0
13,6250;13080;14;2;120;54;0,3740;359;6;1;0;1;0;0;0
14,0000;13440;15;1;0;54;0,1240;119;2;0;0;0;0;0;0
14,1250;13560;15;1;120;54;0,4990;479;8;1;1;1;1;1;1
15,1250;14520;16;1;120;57;0,3740;359;6;0;0;0;0;0;0
15,5000;14880;16;2;0;57;0,1240;119;2;0;0;0;0;0;0
15,6250;15000;16;2;120;57;0,3740;359;6;1;0;1;0;0;0
16,0000;15360;17;1;0;56;0,1240;119;2;0;0;0;0;0;0
16,1250;15480;17;1;120;57;0,3740;359;6;1;1;1;0;0;0
16,5000;15840;17;2;0;57;0,1240;119;2;0;0;0;0;0;0
16,6250;15960;17;2;120;56;0,1865;179;3;1;0;1;1;0;0
16,8125;16140;17;2;300;54;0,0615;59;1;0;0;0;0;0;0
16,8750;16200;17;2;360;54;0,2490;239;4;0;0;1;0;0;0
17,1250;16440;18;1;120;56;0,1865;179;3;0;0;0;0;0;0
17,3125;16620;18;1;300;54;0,0615;59;1;1;0;0;0;0;0
17,3750;16680;18;1;360;54;0,2490;239;4;0;0;0;0;0;0
17,6250;16920;18;2;120;54;0,2490;239;4;1;0;1;1;1;0
17,8750;17160;18;2;360;49;0,1240;119;2;0;0;0;0;0;0
18,0000;17280;19;1;0;49;0,1240;119;2;0;0;1;0;0;0
18,1250;17400;19;1;120;54;0,2490;239;4;0;0;0;0;0;0
18,3750;17640;19;1;360;54;0,1865;179;3;0;0;1;0;0;0
18,5625;17820;19;2;60;54;0,0615;59;1;0;0;0;0;0;0
18,6250;17880;19;2;120;54;0,3740;359;6;1;1;1;1;0;0
19,0000;18240;20;1;0;54;0,1240;119;2;0;0;0;0;0;0
19,1250;18360;20;1;120;54;0,3740;359;6;1;1;1;0;0;0
19,5000;18720;20;2;0;54;0,1240;119;2;0;0;0;0;0;0
19,6250;18840;20;2;120;54;0,2490;239;4;1;1;1;1;1;0
20,1250;19320;21;1;120;54;0,2490;239;4;0;0;0;0;0;0
20,3750;19560;21;1;360;54;0,1865;179;3;0;0;1;0;0;0
20,5625;19740;21;2;60;54;0,0615;59;1;0;0;0;0;0;0
20,6250;19800;21;2;120;54;0,3740;359;6;1;1;1;1;0;0
21,0000;20160;22;1;0;54;0,1240;119;2;0;0;0;0;0;0
21,1250;20280;22;1;120;54;0,3740;359;6;1;1;1;0;0;0
21,5000;20640;22;2;0;54;0,1240;119;2;0;0;0;0;0;0
21,6250;20760;22;2;120;54;0,2490;239;4;1;1;1;1;1;1
