Signature: 4/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
1,7500;1680;0;4;240;56;0,2490;239;3;0;0;0;0;0;0
2,0000;1920;1;1;0;56;0,2490;239;3;0;0;0;0;0;0
2,2500;2160;1;1;240;56;0,2490;239;3;0;1;0;0;0;0
2,5000;2400;1;2;0;56;0,4990;479;6;0;1;1;0;0;0
3,0000;2880;1;3;0;56;0,4990;479;6;0;0;0;0;0;0
3,5000;3360;1;4;0;56;0,2490;239;3;1;0;1;0;0;0
4,0000;3840;2;1;0;56;0,4990;479;6;0;0;0;0;0;0
4,5000;4320;2;2;0;56;0,4990;479;6;0;0;0;0;0;0
5,0000;4800;2;3;0;56;0,9990;959;12;0;0;0;0;1;1
6,0000;5760;3;1;0;56;0,2490;239;3;1;1;1;1;0;0
6,5000;6240;3;2;0;56;0,2490;239;3;0;0;0;0;0;0
6,7500;6480;3;2;240;60;0,2490;239;3;0;0;0;0;0;0
7,0000;6720;3;3;0;56;0,2490;239;3;0;0;0;0;0;0
7,2500;6960;3;3;240;55;0,2490;239;3;0;0;0;0;0;0
7,5000;7200;3;4;0;56;0,2490;239;3;0;0;0;0;0;0
7,7500;7440;3;4;240;55;0,2490;239;3;0;0;0;0;0;0
8,0000;7680;4;1;0;56;0,2490;239;3;0;0;0;0;0;0
8,2500;7920;4;1;240;55;0,2490;239;3;1;1;1;1;1;0
9,0000;8640;4;3;0;56;0,1656;159;2;0;0;0;0;0;0
9,1667;8800;4;3;160;60;0,1656;159;2;0;0;1;0;0;0
9,3333;8960;4;3;320;56;0,1656;159;2;0;0;0;0;0;0
9,5000;9120;4;4;0;56;0,2490;239;3;0;1;1;0;0;0
9,7500;9360;4;4;240;55;0,2490;239;3;0;0;0;0;0;0
10,0000;9600;5;1;0;56;0,2490;239;3;0;0;0;0;0;0
10,2500;9840;5;1;240;55;0,2490;239;3;0;0;0;0;0;0
10,5000;10080;5;2;0;56;0,2490;239;3;0;0;0;0;0;0
10,7500;10320;5;2;240;55;0,2490;239;3;1;0;1;1;1;0
11,0000;10560;5;3;0;60;0,2490;239;3;0;0;0;0;0;0
11,2500;10800;5;3;240;60;0,2490;239;3;0;0;0;0;0;0
11,5000;11040;5;4;0;60;0,2490;239;3;0;0;1;0;0;0
11,7500;11280;5;4;240;56;0,2490;239;3;0;0;0;0;0;0
12,0000;11520;6;1;0;56;0,2490;239;3;1;0;1;0;0;0
12,5000;12000;6;2;0;56;0,4990;479;6;0;0;0;0;0;0
13,0000;12480;6;3;0;56;0,4990;479;6;0;0;0;0;0;0
13,5000;12960;6;4;0;56;0,4990;479;6;0;0;0;0;0;0
14,0000;13440;7;1;0;56;0,4990;479;6;1;1;1;1;1;0
15,0000;14400;7;3;0;56;0,2490;239;3;0;0;0;0;0;0
15,2500;14640;7;3;240;55;0,2490;239;3;0;0;0;0;0;0
15,5000;14880;7;4;0;56;0,2490;239;3;0;0;0;0;0;0
15,7500;15120;7;4;240;55;0,2490;239;3;0;0;0;0;0;0
16,0000;15360;8;1;0;56;0,4990;479;6;1;0;0;0;0;0
16,5000;15840;8;2;0;56;0,9990;959;12;0;0;0;1;0;0
17,5000;16800;8;4;0;56;0,1240;119;1;1;1;1;1;1;1
