Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,5000;480;1;2;0;59;0,2490;239;2;0;0;0;0;0;0
0,7500;720;1;2;240;59;0,2490;239;2;0;0;0;0;0;0
1,0000;960;1;3;0;60;0,3740;359;3;1;0;1;0;0;0
1,3750;1320;1;3;360;60;0,1240;119;1;0;0;0;0;0;0
1,5000;1440;2;1;0;60;0,4990;479;4;1;1;0;0;0;0
2,0000;1920;2;2;0;59;0,9990;959;8;0;0;1;1;1;1
3,0000;2880;3;1;0;59;0,2490;239;2;0;0;0;0;0;0
3,2500;3120;3;1;240;59;0,2490;239;2;0;0;0;0;0;0
3,5000;3360;3;2;0;57;0,3740;359;3;1;0;0;0;0;0
3,8750;3720;3;2;360;55;0,1240;119;1;0;0;1;0;0;0
4,0000;3840;3;3;0;52;0,4990;479;4;0;0;0;0;0;0
4,5000;4320;4;1;0;52;0,4990;479;4;0;0;0;0;0;0
5,0000;4800;4;2;0;52;0,2490;239;2;1;1;1;1;0;0
5,3750;5160;4;2;360;59;0,1240;119;1;0;0;0;0;0;0
5,5000;5280;4;3;0;59;0,4990;479;4;0;0;0;0;0;0
6,0000;5760;5;1;0;59;0,3740;359;3;0;0;1;0;0;0
6,3750;6120;5;1;360;57;0,1240;119;1;0;0;0;0;0;0
6,5000;6240;5;2;0;55;0,4990;479;4;0;0;0;0;0;0
7,0000;6720;5;3;0;57;0,9990;959;8;1;1;1;1;1;1
8,0000;7680;6;2;0;57;0,4990;479;4;0;0;0;0;0;0
8,5000;8160;6;3;0;55;0,3740;359;3;1;0;1;0;0;0
8,8750;8520;6;3;360;52;0,1240;119;1;0;0;0;0;0;0
9,0000;8640;7;1;0;52;0,4990;479;4;0;0;1;0;0;0
9,5000;9120;7;2;0;52;0,4990;479;4;0;0;0;0;0;0
10,0000;9600;7;3;0;52;0,2490;239;2;1;1;1;1;0;0
10,3750;9960;7;3;360;55;0,1240;119;1;0;0;0;0;0;0
10,5000;10080;8;1;0;55;0,4990;479;4;0;0;1;0;1;0
11,0000;10560;8;2;0;55;0,3740;359;3;0;0;0;0;0;0
11,3750;10920;8;2;360;55;0,1240;119;1;1;1;1;0;0;0
11,5000;11040;8;3;0;52;0,4990;479;4;0;0;0;0;0;0
12,0000;11520;9;1;0;52;0,4990;479;4;0;0;0;0;0;0
12,5000;12000;9;2;0;52;0,2490;239;2;1;0;1;1;0;0
13,0000;12480;9;3;0;52;0,2490;239;2;0;0;0;0;0;0
13,2500;12720;9;3;240;48;0,2490;239;2;0;0;0;0;0;0
13,5000;12960;10;1;0;47;0,4990;479;4;1;1;1;0;0;0
14,0000;13440;10;2;0;47;0,2490;239;2;0;0;0;0;0;0
14,2500;13680;10;2;240;45;0,2490;239;2;0;0;0;0;0;0
14,5000;13920;10;3;0;47;0,9990;959;8;1;1;1;1;1;1
15,5000;14880;11;2;0;47;0,2490;239;2;0;0;0;0;0;0
15,7500;15120;11;2;240;43;0,2490;239;2;0;0;0;0;0;0
16,0000;15360;11;3;0;40;0,9990;959;8;1;1;1;1;1;1
