Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,5000;480;0;2;0;55;0,2490;239;1;0;0;0;0;0;0
0,7500;720;0;2;240;55;0,2490;239;1;0;0;1;0;0;0
1,0000;960;1;1;0;62;0,4990;479;2;0;0;0;0;0;0
1,5000;1440;1;2;0;62;0,9990;959;4;1;1;1;1;0;1
2,5000;2400;2;2;0;60;0,2490;239;1;0;0;0;0;0;0
2,7500;2640;2;2;240;57;0,2490;239;1;0;0;0;0;0;0
3,0000;2880;3;1;0;60;0,4990;479;2;1;0;1;0;1;0
3,5000;3360;3;2;0;55;0,4990;479;2;0;0;0;0;0;0
4,0000;3840;4;1;0;55;0,2490;239;1;0;0;0;0;0;0
4,2500;4080;4;1;240;55;0,2490;239;1;0;0;0;0;0;0
4,5000;4320;4;2;0;55;0,2490;239;1;0;0;0;0;0;0
4,7500;4560;4;2;240;55;0,2490;239;1;0;0;0;0;0;0
5,0000;4800;5;1;0;55;0,4990;479;2;0;0;0;0;0;0
5,5000;5280;5;2;0;55;0,4990;479;2;1;0;0;0;0;0
6,0000;5760;6;1;0;55;0,2490;239;1;0;0;0;0;0;0
6,2500;6000;6;1;240;55;0,2490;239;1;0;0;0;0;0;0
6,5000;6240;6;2;0;55;0,2490;239;1;1;1;1;1;1;0
7,0000;6720;7;1;0;60;0,2490;239;1;0;0;0;0;0;0
7,2500;6960;7;1;240;60;0,2490;239;1;0;0;1;0;0;0
7,5000;7200;7;2;0;59;0,2490;239;1;0;0;0;0;0;0
7,7500;7440;7;2;240;57;0,2490;239;1;1;0;1;1;0;0
8,0000;7680;8;1;0;60;0,2490;239;1;0;0;0;0;0;0
8,2500;7920;8;1;240;60;0,2490;239;1;0;0;1;0;0;0
8,5000;8160;8;2;0;62;0,2490;239;1;0;0;0;0;0;0
8,7500;8400;8;2;240;60;0,2490;239;1;0;0;1;1;0;0
9,0000;8640;9;1;0;55;0,4990;479;2;1;1;0;0;0;0
9,5000;9120;9;2;0;55;0,2490;239;1;0;0;0;0;0;0
9,7500;9360;9;2;240;55;0,2490;239;1;0;0;0;0;0;0
10,0000;9600;10;1;0;55;0,2490;239;1;0;0;0;0;0;0
10,2500;9840;10;1;240;55;0,2490;239;1;0;0;0;0;0;0
10,5000;10080;10;2;0;55;0,4990;479;2;0;0;0;0;1;0
11,0000;10560;11;1;0;55;0,4990;479;2;1;0;0;0;0;0
11,5000;11040;11;2;0;55;0,2490;239;1;0;0;0;0;0;0
11,7500;11280;11;2;240;55;0,2490;239;1;0;0;0;0;0;0
12,0000;11520;12;1;0;55;0,2490;239;1;0;0;0;0;0;0
12,2500;11760;12;1;240;55;0,2490;239;1;0;0;0;0;0;0
12,5000;12000;12;2;0;55;0,2490;239;1;1;0;1;1;0;0
13,0000;12480;13;1;0;55;0,2490;239;1;0;0;0;0;0;0
13,2500;12720;13;1;240;55;0,2490;239;1;0;0;1;0;0;0
13,5000;12960;13;2;0;62;0,4990;479;2;0;0;0;0;0;0
14,0000;13440;14;1;0;62;0,9990;959;4;1;1;1;1;1;1
15,0000;14400;15;1;0;60;0,2490;239;1;0;0;0;0;0;0
15,2500;14640;15;1;240;57;0,2490;239;1;0;0;0;0;0;0
15,5000;14880;15;2;0;60;0,4990;479;2;1;0;1;0;0;0
16,0000;15360;16;1;0;55;0,4990;479;2;0;0;0;0;0;0
16,5000;15840;16;2;0;55;0,2490;239;1;0;0;0;0;0;0
16,7500;16080;16;2;240;55;0,2490;239;1;0;0;0;0;0;0
17,0000;16320;17;1;0;55;0,2490;239;1;0;0;0;0;0;0
17,2500;16560;17;1;240;55;0,2490;239;1;0;0;0;0;0;0
17,5000;16800;17;2;0;55;0,4990;479;2;0;0;0;0;1;0
18,0000;17280;18;1;0;55;0,4990;479;2;1;0;0;0;0;0
18,5000;17760;18;2;0;55;0,2490;239;1;0;0;0;0;0;0
18,7500;18000;18;2;240;55;0,2490;239;1;0;0;0;0;0;0
19,0000;18240;19;1;0;55;0,2490;239;1;1;1;1;1;0;0
19,5000;18720;19;2;0;60;0,2490;239;1;0;0;0;0;0;0
19,7500;18960;19;2;240;60;0,2490;239;1;0;0;1;0;0;0
20,0000;19200;20;1;0;59;0,2490;239;1;0;0;0;0;0;0
20,2500;19440;20;1;240;57;0,2490;239;1;1;0;1;1;0;0
20,5000;19680;20;2;0;60;0,2490;239;1;0;0;0;0;0;0
20,7500;19920;20;2;240;60;0,2490;239;1;0;0;1;0;1;0
21,0000;20160;21;1;0;62;0,2490;239;1;0;0;0;0;0;0
21,2500;20400;21;1;240;60;0,2490;239;1;0;0;1;1;0;0
21,5000;20640;21;2;0;55;0,4990;479;2;1;1;0;0;0;0
22,0000;21120;22;1;0;55;0,2490;239;1;0;0;0;0;0;0
22,2500;21360;22;1;240;55;0,2490;239;1;0;0;0;0;0;0
22,5000;21600;22;2;0;55;0,2490;239;1;0;0;0;0;0;0
22,7500;21840;22;2;240;55;0,2490;239;1;0;0;0;0;0;0
23,0000;22080;23;1;0;55;0,4990;479;2;0;0;0;0;0;0
23,5000;22560;23;2;0;55;0,4990;479;2;1;0;0;0;1;0
24,0000;23040;24;1;0;55;0,2490;239;1;0;0;0;0;0;0
24,2500;23280;24;1;240;55;0,2490;239;1;0;0;0;0;0;0
24,5000;23520;24;2;0;55;0,2490;239;1;0;0;0;0;0;0
24,7500;23760;24;2;240;55;0,2490;239;1;0;0;0;0;0;0
25,0000;24000;25;1;0;55;0,2490;239;1;1;1;1;1;0;0
25,5000;24480;25;2;0;55;0,2490;239;1;0;0;0;0;0;0
25,7500;24720;25;2;240;55;0,2490;239;1;0;0;0;0;0;0
26,0000;24960;26;1;0;55;0,4990;479;2;1;1;1;1;1;1
