Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;54;0,4990;479;4;0;0;0;0;0;0
0,5000;480;1;2;0;61;0,7490;719;6;1;0;0;0;0;0
1,2500;1200;2;1;240;57;0,2490;239;2;0;0;1;0;0;0
1,5000;1440;2;2;0;61;0,1240;119;1;0;0;0;0;0;0
1,6250;1560;2;2;120;61;0,3740;359;3;1;0;1;1;0;0
2,0000;1920;3;1;0;57;0,7490;719;6;0;0;0;0;0;0
2,7500;2640;3;2;240;56;0,2490;239;2;0;0;0;0;0;0
3,0000;2880;4;1;0;57;0,1240;119;1;0;0;0;0;0;0
3,1250;3000;4;1;120;57;0,3740;359;3;1;1;0;0;1;0
3,5000;3360;4;2;0;56;0,2490;239;2;0;0;1;0;0;0
3,7500;3600;4;2;240;54;0,4990;479;4;1;0;0;0;0;0
4,2500;4080;5;1;240;54;0,2490;239;2;0;0;1;0;0;0
4,5000;4320;5;2;0;56;0,1240;119;1;0;0;0;0;0;0
4,6250;4440;5;2;120;54;0,3740;359;3;0;0;0;0;0;0
5,0000;4800;6;1;0;54;0,7490;719;6;1;0;1;0;0;0
5,7500;5520;6;2;240;54;0,2490;239;2;0;0;0;0;0;0
6,0000;5760;7;1;0;54;0,1240;119;1;0;0;0;0;0;0
6,1250;5880;7;1;120;54;0,3740;359;3;0;0;0;0;0;0
6,5000;6240;7;2;0;49;0,9990;959;8;1;1;1;1;1;1
7,5000;7200;8;2;0;54;0,4990;479;4;0;0;0;0;0;0
8,0000;7680;9;1;0;56;0,4990;479;4;1;0;1;0;0;0
8,5000;8160;9;2;0;54;0,2490;239;2;0;0;0;0;0;0
8,7500;8400;9;2;240;54;0,2490;239;2;1;0;1;1;0;0
9,0000;8640;10;1;0;57;0,1240;119;1;0;0;0;0;0;0
9,1250;8760;10;1;120;57;0,3740;359;3;0;0;0;0;1;0
9,5000;9120;10;2;0;57;0,4990;479;4;1;1;1;0;0;0
10,0000;9600;11;1;0;56;0,2490;239;2;0;0;0;0;0;0
10,2500;9840;11;1;240;54;0,2490;239;2;0;0;0;0;0;0
10,5000;10080;11;2;0;56;0,1240;119;1;0;0;1;0;0;0
10,6250;10200;11;2;120;54;0,3740;359;3;0;0;0;0;0;0
11,0000;10560;12;1;0;54;0,7490;719;6;1;0;1;0;0;0
11,7500;11280;12;2;240;54;0,2490;239;2;0;0;0;0;0;0
12,0000;11520;13;1;0;54;0,1240;119;1;0;0;0;0;0;0
12,1250;11640;13;1;120;54;0,3740;359;3;0;1;1;1;0;0
12,5000;12000;13;2;0;49;0,9990;959;8;1;1;1;1;1;1
