Signature: 3/8, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,5000;480;1;2;0;53;0,1240;119;6;0;0;0;0;0;0
0,6250;600;1;2;120;53;0,1240;119;6;0;0;0;0;0;0
0,7500;720;1;2;240;53;0,2490;239;12;1;1;1;1;0;0
1,0000;960;1;3;0;62;0,1240;119;6;0;0;0;0;0;0
1,1250;1080;1;3;120;62;0,1240;119;6;0;0;0;0;0;0
1,2500;1200;1;3;240;62;0,2490;239;12;0;0;0;0;0;0
1,5000;1440;2;1;0;65;0,1865;179;9;0;1;1;0;0;0
1,6875;1620;2;1;180;60;0,0615;59;3;0;1;0;0;0;0
1,7500;1680;2;1;240;60;0,2490;239;12;0;0;1;0;0;0
2,0000;1920;2;2;0;58;0,1240;119;6;0;0;0;0;0;0
2,1250;2040;2;2;120;53;0,1240;119;6;0;0;0;0;0;0
2,2500;2160;2;2;240;58;0,2490;239;12;1;0;1;1;1;0
2,8750;2760;2;3;360;63;0,1240;119;6;0;0;0;0;0;0
3,0000;2880;3;1;0;62;0,4990;479;24;1;1;1;0;0;1
3,5000;3360;3;2;0;58;0,1240;119;6;0;0;0;0;0;0
3,6250;3480;3;2;120;58;0,1240;119;6;0;0;0;0;0;0
3,7500;3600;3;2;240;60;0,1240;119;6;0;0;0;0;0;0
3,8750;3720;3;2;360;58;0,1240;119;6;0;0;0;0;0;0
4,0000;3840;3;3;0;58;0,1240;119;6;0;0;0;0;0;0
4,1250;3960;3;3;120;53;0,1240;119;6;1;1;1;1;1;0
4,3750;4200;3;3;360;63;0,1240;119;6;0;0;0;0;0;0
4,5000;4320;4;1;0;62;0,2490;239;12;1;0;0;0;0;0
4,7500;4560;4;1;240;65;0,1240;119;6;0;0;1;0;0;0
4,8750;4680;4;1;360;60;0,1240;119;6;0;0;0;0;0;0
5,0000;4800;4;2;0;60;0,2490;239;12;1;0;0;0;0;0
5,2500;5040;4;2;240;60;0,1240;119;6;0;0;1;0;0;0
5,3750;5160;4;2;360;58;0,1240;119;6;0;0;0;0;0;0
5,5000;5280;4;3;0;58;0,1240;119;6;0;0;0;0;0;0
5,6250;5400;4;3;120;53;0,1240;119;6;1;1;1;1;1;0
5,8750;5640;4;3;360;63;0,1240;119;6;0;0;0;0;0;0
6,0000;5760;5;1;0;62;0,4990;479;24;1;1;1;0;0;1
6,5000;6240;5;2;0;58;0,1240;119;6;0;0;0;0;0;0
6,6250;6360;5;2;120;58;0,1240;119;6;0;0;0;0;0;0
6,7500;6480;5;2;240;60;0,1240;119;6;0;0;0;0;0;0
6,8750;6600;5;2;360;58;0,1240;119;6;0;0;0;0;0;0
7,0000;6720;5;3;0;58;0,1240;119;6;0;0;0;0;0;0
7,1250;6840;5;3;120;53;0,1240;119;6;1;1;1;1;1;0
7,3750;7080;5;3;360;65;0,1240;119;6;0;0;0;0;0;0
7,5000;7200;6;1;0;65;0,1240;119;6;0;0;1;0;0;0
7,6250;7320;6;1;120;62;0,1240;119;6;0;0;0;0;0;0
7,7500;7440;6;1;240;63;0,1240;119;6;0;0;1;0;0;0
7,8750;7560;6;1;360;62;0,1240;119;6;0;0;0;0;0;0
8,0000;7680;6;2;0;62;0,1240;119;6;0;0;0;0;0;0
8,1250;7800;6;2;120;60;0,1240;119;6;0;0;0;0;0;0
8,2500;7920;6;2;240;62;0,4990;479;24;1;1;1;0;1;1
8,7500;8400;6;3;240;58;0,1240;119;6;0;0;0;0;0;0
8,8750;8520;6;3;360;58;0,1240;119;6;0;0;0;0;0;0
9,0000;8640;7;1;0;58;0,2490;239;12;0;0;0;0;0;0
9,2500;8880;7;1;240;53;0,2490;239;12;1;1;1;1;1;0
9,6250;9240;7;2;120;65;0,1240;119;6;0;0;0;0;0;0
9,7500;9360;7;2;240;65;0,1240;119;6;0;0;0;0;0;0
9,8750;9480;7;2;360;65;0,1240;119;6;0;0;0;0;0;0
10,0000;9600;7;3;0;65;0,1240;119;6;1;0;1;0;0;0
10,1250;9720;7;3;120;62;0,1240;119;6;0;0;0;0;0;0
10,2500;9840;7;3;240;62;0,1240;119;6;0;0;0;0;0;0
10,3750;9960;7;3;360;60;0,1240;119;6;0;0;0;0;0;0
10,5000;10080;8;1;0;62;0,4990;479;24;1;1;1;1;0;1
11,0000;10560;8;2;0;58;0,1240;119;6;0;0;0;0;0;0
11,1250;10680;8;2;120;58;0,1240;119;6;0;0;0;0;0;0
11,2500;10800;8;2;240;58;0,2490;239;12;0;1;1;0;0;0
11,5000;11040;8;3;0;53;0,2490;239;12;1;1;1;1;1;1
