Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;62;0,4990;479;24;0;0;0;0;0;0
0,5000;480;1;2;0;61;0,4990;479;24;1;0;1;0;0;1
1,0000;960;1;3;0;57;0,2490;239;12;0;0;0;0;0;0
1,2500;1200;1;3;240;59;0,2490;239;12;0;0;0;0;0;0
1,5000;1440;2;1;0;57;0,3740;359;18;1;1;1;0;0;0
1,8750;1800;2;1;360;54;0,1240;119;6;0;0;0;0;0;0
2,0000;1920;2;2;0;54;0,2490;239;12;1;0;1;1;0;0
2,2500;2160;2;2;240;49;0,1240;119;6;0;0;0;0;0;0
2,3750;2280;2;2;360;49;0,1240;119;6;0;0;1;0;0;0
2,5000;2400;2;3;0;54;0,4990;479;24;0;0;0;0;0;1
3,0000;2880;3;1;0;54;0,4990;479;24;1;1;1;1;1;1
4,0000;3840;3;3;0;61;0,4990;479;24;0;0;0;0;0;1
4,5000;4320;4;1;0;57;0,1240;119;6;0;0;0;0;0;0
4,6250;4440;4;1;120;57;0,2490;239;12;1;0;1;0;0;0
4,8750;4680;4;1;360;56;0,1240;119;6;0;0;0;0;0;0
5,0000;4800;4;2;0;56;0,1865;179;9;1;1;1;0;0;0
5,1875;4980;4;2;180;54;0,0615;59;3;0;0;0;0;0;0
5,2500;5040;4;2;240;54;0,2490;239;12;0;0;0;0;0;0
5,5000;5280;4;3;0;54;0,2490;239;12;1;0;1;1;0;0
5,7500;5520;4;3;240;49;0,1240;119;6;0;0;0;0;0;0
5,8750;5640;4;3;360;49;0,1240;119;6;0;0;1;0;0;0
6,0000;5760;5;1;0;54;0,4990;479;24;0;0;0;0;0;1
6,5000;6240;5;2;0;54;0,4990;479;24;1;1;1;1;1;1
7,5000;7200;6;1;0;61;0,4990;479;24;0;0;0;0;0;1
8,0000;7680;6;2;0;57;0,7490;719;36;1;0;0;0;0;1
8,7500;8400;6;3;240;56;0,2490;239;12;0;0;0;0;0;0
9,0000;8640;7;1;0;57;0,4990;479;24;0;0;0;0;0;1
9,5000;9120;7;2;0;56;0,3740;359;18;1;0;1;0;0;0
9,8750;9480;7;2;360;54;0,1240;119;6;0;0;0;0;0;0
10,0000;9600;7;3;0;54;0,1656;159;8;1;1;1;0;0;0
10,1667;9760;7;3;160;56;0,1656;159;8;0;0;0;0;0;0
10,3333;9920;7;3;320;54;0,1656;159;8;0;0;0;0;0;0
10,5000;10080;8;1;0;54;0,3740;359;18;1;1;1;0;0;0
10,8750;10440;8;1;360;49;0,1240;119;6;0;0;0;0;0;0
11,0000;10560;8;2;0;54;0,2490;239;12;0;0;0;0;0;0
11,2500;10800;8;2;240;54;0,2490;239;12;0;0;0;0;0;0
11,5000;11040;8;3;0;54;0,4990;479;24;1;1;1;1;1;1
12,5000;12000;9;2;0;56;0,1240;119;6;0;0;0;0;0;0
12,6250;12120;9;2;120;54;0,3740;359;18;0;0;0;0;0;0
13,0000;12480;9;3;0;54;0,3740;359;18;1;0;1;0;0;0
13,3750;12840;9;3;360;49;0,1240;119;6;0;0;0;0;0;0
13,5000;12960;10;1;0;54;0,2490;239;12;0;0;0;0;0;0
13,7500;13200;10;1;240;54;0,2490;239;12;0;0;0;0;0;0
14,0000;13440;10;2;0;54;0,3740;359;18;1;1;1;1;0;0
14,3750;13800;10;2;360;49;0,1240;119;6;0;0;0;0;0;0
14,5000;13920;10;3;0;54;0,4990;479;24;0;0;0;0;0;0
15,0000;14400;11;1;0;54;0,9990;959;48;1;1;1;1;1;1
