Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,8750;840;0;2;360;60;0,1240;119;6;0;0;0;0;0;0
1,0000;960;1;1;0;60;0,3740;359;18;1;1;1;0;0;0
1,3750;1320;1;1;360;58;0,1240;119;6;0;0;0;0;0;0
1,5000;1440;1;2;0;60;0,0615;59;3;0;0;0;0;0;0
1,5625;1500;1;2;60;58;0,1865;179;9;1;1;1;0;0;0
1,8750;1800;1;2;360;58;0,0615;59;3;0;0;0;0;0;0
1,9375;1860;1;2;420;55;0,0615;59;3;0;0;0;0;0;0
2,0000;1920;2;1;0;58;0,1240;119;6;0;0;0;0;0;0
2,1250;2040;2;1;120;55;0,6240;599;30;1;1;0;0;1;1
2,7500;2640;2;2;240;51;0,1240;119;6;0;0;1;1;0;0
3,0000;2880;3;1;0;60;0,2490;239;12;0;0;0;0;0;0
3,2500;3120;3;1;240;60;0,2490;239;12;0;0;0;0;0;0
3,5000;3360;3;2;0;60;0,0615;59;3;0;0;0;0;0;0
3,5625;3420;3;2;60;58;0,1865;179;9;1;1;1;0;0;0
3,8750;3720;3;2;360;58;0,0615;59;3;0;0;0;0;0;0
3,9375;3780;3;2;420;55;0,0615;59;3;0;0;0;0;0;0
4,0000;3840;4;1;0;58;0,1240;119;6;0;0;1;0;0;0
4,1250;3960;4;1;120;55;0,3740;359;18;1;0;0;0;0;0
4,5000;4320;4;2;0;55;0,1240;119;6;0;0;0;0;0;0
4,6250;4440;4;2;120;55;0,2490;239;12;1;0;1;1;1;0
5,0000;4800;5;1;0;58;0,3740;359;18;0;0;0;0;0;0
5,3750;5160;5;1;360;60;0,1240;119;6;0;0;0;0;0;0
5,5000;5280;5;2;0;58;0,3740;359;18;1;1;1;0;0;0
5,8750;5640;5;2;360;60;0,1240;119;6;0;0;0;0;0;0
6,0000;5760;6;1;0;58;0,2490;239;12;1;0;0;0;0;0
6,2500;6000;6;1;240;58;0,1240;119;6;0;0;1;0;0;0
6,3750;6120;6;1;360;55;0,1240;119;6;0;0;0;0;0;0
6,5000;6240;6;2;0;58;0,1240;119;6;0;0;0;0;0;0
6,6250;6360;6;2;120;55;0,4990;479;24;0;0;0;0;1;1
7,1250;6840;7;1;120;51;0,2490;239;12;1;1;1;1;0;0
7,5000;7200;7;2;0;58;0,2490;239;12;0;0;0;0;0;0
7,7500;7440;7;2;240;55;0,2490;239;12;0;0;0;0;0;0
