Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,2500;240;1;1;240;47;0,2490;239;6;0;0;1;0;0;0
0,5000;480;1;2;0;49;0,1656;159;4;1;1;0;0;0;0
0,6667;640;1;2;160;49;0,1656;159;4;0;0;1;1;0;0
0,8333;800;1;2;320;59;0,1656;159;4;0;0;0;0;0;0
1,0000;960;2;1;0;59;0,4990;479;12;0;1;1;0;0;0
1,5000;1440;2;2;0;56;0,3740;359;9;0;0;0;0;0;0
1,8750;1800;2;2;360;52;0,1240;119;3;0;0;0;0;0;0
2,0000;1920;3;1;0;54;0,9990;959;24;1;1;1;1;1;1
3,2500;3120;4;1;240;56;0,2490;239;6;0;0;0;0;0;0
3,5000;3360;4;2;0;56;0,2490;239;6;0;0;1;0;0;0
3,7500;3600;4;2;240;54;0,2490;239;6;0;0;0;0;0;0
4,0000;3840;5;1;0;52;0,2490;239;6;0;0;1;0;0;0
4,2500;4080;5;1;240;54;0,2490;239;6;0;0;0;0;0;0
4,5000;4320;5;2;0;54;0,4990;479;12;1;0;1;0;0;0
5,0000;4800;6;1;0;52;0,3740;359;9;0;0;0;0;0;0
5,3750;5160;6;1;360;47;0,1240;119;3;0;0;0;0;0;0
5,5000;5280;6;2;0;52;0,9990;959;24;1;0;1;1;1;1
6,7500;6480;7;2;240;54;0,2490;239;6;0;0;0;0;0;0
7,0000;6720;8;1;0;54;0,2490;239;6;0;0;1;0;0;0
7,2500;6960;8;1;240;52;0,2490;239;6;0;0;0;0;0;0
7,5000;7200;8;2;0;49;0,2490;239;6;0;0;1;0;0;0
7,7500;7440;8;2;240;54;0,2490;239;6;0;0;0;0;0;0
8,0000;7680;9;1;0;52;0,4990;479;12;1;1;1;1;0;0
8,5000;8160;9;2;0;49;0,2490;239;6;0;0;0;0;0;0
8,7500;8400;9;2;240;47;0,2490;239;6;0;0;0;0;0;0
9,0000;8640;10;1;0;49;0,2490;239;6;1;0;1;0;0;0
9,2500;8880;10;1;240;47;0,2490;239;6;0;0;0;0;0;0
9,5000;9120;10;2;0;47;0,2490;239;6;0;0;0;0;0;0
9,7500;9360;10;2;240;47;0,2490;239;6;0;0;0;0;0;0
10,0000;9600;11;1;0;47;0,9990;959;24;1;1;1;1;1;1
11,0000;10560;12;1;0;47;0,2490;239;6;0;0;0;0;0;0
11,2500;10800;12;1;240;47;0,2490;239;6;0;0;0;0;0;0
11,5000;11040;12;2;0;47;0,2490;239;6;1;1;1;1;1;1
