Signature: 4/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
11,0000;10560;5;3;0;40;0,2490;239;1;1;0;1;0;0;0
11,5000;11040;5;4;0;40;0,2490;239;1;0;0;0;0;0;0
11,7500;11280;5;4;240;40;0,2490;239;1;0;0;0;0;0;0
12,0000;11520;6;1;0;40;0,2490;239;1;1;1;1;1;0;0
12,5000;12000;6;2;0;40;0,2490;239;1;0;0;0;0;0;0
12,7500;12240;6;2;240;40;0,2490;239;1;0;0;0;0;0;0
13,0000;12480;6;3;0;40;0,2490;239;1;1;1;1;1;1;0
13,5000;12960;6;4;0;40;0,2490;239;1;0;0;0;0;0;0
13,7500;13200;6;4;240;40;0,2490;239;1;0;0;0;0;0;0
14,0000;13440;7;1;0;40;0,2490;239;1;1;1;1;1;0;0
14,5000;13920;7;2;0;40;0,2490;239;1;0;0;0;0;0;0
14,7500;14160;7;2;240;40;0,2490;239;1;0;0;0;0;0;0
15,0000;14400;7;3;0;40;0,2490;239;1;1;1;1;1;0;0
15,5000;14880;7;4;0;40;0,2490;239;1;0;0;0;0;0;0
15,7500;15120;7;4;240;40;0,2490;239;1;0;0;0;0;0;0
16,0000;15360;8;1;0;40;0,2490;239;1;1;1;1;1;0;0
16,5000;15840;8;2;0;40;0,2490;239;1;0;0;0;0;0;0
16,7500;16080;8;2;240;40;0,2490;239;1;0;0;0;0;0;0
17,0000;16320;8;3;0;40;0,2490;239;1;1;1;1;1;1;0
17,5000;16800;8;4;0;40;0,2490;239;1;0;0;0;0;0;0
17,7500;17040;8;4;240;40;0,2490;239;1;0;0;0;0;0;0
18,0000;17280;9;1;0;40;0,2490;239;1;1;1;1;1;0;0
18,5000;17760;9;2;0;40;0,2490;239;1;0;0;0;0;0;0
18,7500;18000;9;2;240;40;0,2490;239;1;0;0;0;0;0;0
19,0000;18240;9;3;0;40;0,2490;239;1;1;1;1;1;0;0
19,5000;18720;9;4;0;40;0,2490;239;1;0;0;0;0;0;0
19,7500;18960;9;4;240;40;0,2490;239;1;0;0;0;0;0;0
20,0000;19200;10;1;0;40;0,2490;239;1;1;1;1;1;0;0
20,5000;19680;10;2;0;40;0,2490;239;1;0;0;0;0;0;0
20,7500;19920;10;2;240;40;0,2490;239;1;0;0;0;0;0;0
21,0000;20160;10;3;0;40;0,2490;239;1;0;0;1;0;0;0
21,5000;20640;10;4;0;40;0,2490;239;1;0;0;0;0;0;0
22,0000;21120;11;1;0;40;0,2490;239;1;1;0;1;0;0;0
22,5000;21600;11;2;0;40;0,2490;239;1;0;0;0;0;0;0
22,7500;21840;11;2;240;40;0,2490;239;1;0;0;0;0;0;0
23,0000;22080;11;3;0;40;0,2490;239;1;1;1;1;0;0;0
23,5000;22560;11;4;0;40;0,2490;239;1;0;0;0;0;0;0
23,7500;22800;11;4;240;40;0,2490;239;1;1;1;1;1;1;0
35,0000;33600;17;3;0;40;0,2490;239;1;0;0;0;0;0;0
35,5000;34080;17;4;0;40;0,2490;239;1;0;0;0;0;0;0
35,7500;34320;17;4;240;40;0,2490;239;1;0;0;0;0;0;0
36,0000;34560;18;1;0;40;0,2490;239;1;1;1;1;0;0;0
36,5000;35040;18;2;0;40;0,2490;239;1;0;0;0;0;0;0
36,7500;35280;18;2;240;40;0,2490;239;1;0;0;0;0;0;0
37,0000;35520;18;3;0;40;0,2490;239;1;1;1;1;1;0;0
37,5000;36000;18;4;0;40;0,2490;239;1;0;0;0;0;0;0
37,7500;36240;18;4;240;40;0,2490;239;1;0;0;0;0;0;0
38,0000;36480;19;1;0;40;0,2490;239;1;1;1;1;1;0;0
38,5000;36960;19;2;0;40;0,2490;239;1;0;0;0;0;0;0
38,7500;37200;19;2;240;40;0,2490;239;1;0;0;0;0;0;0
39,0000;37440;19;3;0;40;0,2490;239;1;1;1;1;1;0;0
39,5000;37920;19;4;0;40;0,2490;239;1;0;0;0;0;0;0
39,7500;38160;19;4;240;40;0,2490;239;1;0;0;0;0;0;0
40,0000;38400;20;1;0;40;0,2490;239;1;1;1;1;1;0;0
40,5000;38880;20;2;0;40;0,2490;239;1;0;0;0;0;0;0
40,7500;39120;20;2;240;40;0,2490;239;1;0;0;0;0;0;0
41,0000;39360;20;3;0;40;0,2490;239;1;1;1;1;1;1;0
41,5000;39840;20;4;0;40;0,2490;239;1;0;0;0;0;0;0
41,7500;40080;20;4;240;40;0,2490;239;1;0;0;0;0;0;0
42,0000;40320;21;1;0;40;0,2490;239;1;1;1;1;1;0;0
42,5000;40800;21;2;0;40;0,2490;239;1;0;0;0;0;0;0
42,7500;41040;21;2;240;40;0,2490;239;1;0;0;0;0;0;0
43,0000;41280;21;3;0;40;0,2490;239;1;1;1;1;1;0;0
43,5000;41760;21;4;0;40;0,2490;239;1;0;0;0;0;0;0
43,7500;42000;21;4;240;40;0,2490;239;1;0;0;0;0;0;0
44,0000;42240;22;1;0;40;0,2490;239;1;1;1;1;1;1;0
44,5000;42720;22;2;0;40;0,2490;239;1;0;0;0;0;0;0
44,7500;42960;22;2;240;40;0,2490;239;1;0;0;0;0;0;0
45,0000;43200;22;3;0;40;0,2490;239;1;0;0;1;0;0;0
45,5000;43680;22;4;0;40;0,2490;239;1;0;0;0;0;0;0
46,0000;44160;23;1;0;40;0,2490;239;1;1;0;1;0;0;0
46,5000;44640;23;2;0;40;0,2490;239;1;0;0;0;0;0;0
46,7500;44880;23;2;240;40;0,2490;239;1;0;0;0;0;0;0
47,0000;45120;23;3;0;40;0,2490;239;1;1;1;1;0;0;0
47,5000;45600;23;4;0;40;0,2490;239;1;0;0;0;0;0;0
47,7500;45840;23;4;240;40;0,2490;239;1;0;0;0;0;0;0
48,0000;46080;24;1;0;40;0,2490;239;1;0;0;0;0;0;0
48,2500;46320;24;1;240;40;0,2490;239;1;0;0;0;0;0;0
48,5000;46560;24;2;0;40;0,2490;239;1;1;1;1;1;1;0
50,5000;48480;25;2;0;40;0,2490;239;1;0;0;0;0;0;0
50,7500;48720;25;2;240;40;0,2490;239;1;1;1;1;0;0;0
52,0000;49920;26;1;0;40;0,2490;239;1;0;0;0;0;0;0
52,5000;50400;26;2;0;40;0,2490;239;1;1;1;1;1;1;1
