Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;64;0,4990;479;12;0;0;0;0;0;0
0,5000;480;1;2;0;64;0,4990;479;12;1;0;1;0;0;0
1,0000;960;1;3;0;61;0,4990;479;12;0;0;0;0;0;0
1,5000;1440;2;1;0;59;0,4990;479;12;0;0;0;0;0;0
2,0000;1920;2;2;0;54;0,4990;479;12;0;0;1;0;0;0
2,5000;2400;2;3;0;61;0,4990;479;12;0;0;0;0;0;0
3,0000;2880;3;1;0;59;0,8740;839;21;1;1;1;1;1;1
3,8750;3720;3;2;360;61;0,1240;119;3;0;0;0;0;0;0
4,0000;3840;3;3;0;56;0,1656;159;4;0;0;0;0;0;0
4,1667;4000;3;3;160;56;0,1656;159;4;0;0;0;0;0;0
4,3333;4160;3;3;320;54;0,1656;159;4;0;0;1;0;0;0
4,5000;4320;4;1;0;52;0,2490;239;6;1;0;0;0;0;0
4,7500;4560;4;1;240;52;0,0823;79;2;0;0;0;0;0;0
4,8333;4640;4;1;320;52;0,1656;159;4;0;0;0;0;0;0
5,0000;4800;4;2;0;49;0,4990;479;12;1;1;1;1;1;0
5,5000;5280;4;3;0;56;0,1240;119;3;0;0;0;0;0;0
5,6250;5400;4;3;120;56;0,1240;119;3;0;0;0;0;0;0
5,7500;5520;4;3;240;56;0,1240;119;3;0;0;0;0;0;0
5,8750;5640;4;3;360;54;0,1240;119;3;0;0;1;0;0;0
6,0000;5760;5;1;0;52;0,1656;159;4;0;0;0;0;0;0
6,1667;5920;5;1;160;52;0,1656;159;4;0;1;0;0;0;0
6,3333;6080;5;1;320;54;0,1656;159;4;0;1;0;1;0;0
6,5000;6240;5;2;0;52;0,1656;159;4;0;0;0;0;0;0
6,6667;6400;5;2;160;52;0,1656;159;4;1;1;1;0;0;0
6,8333;6560;5;2;320;51;0,1656;159;4;0;0;0;0;0;0
7,0000;6720;5;3;0;52;0,9990;959;24;1;1;1;1;1;1
