Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;60;0,3740;359;6;0;0;0;0;0;0
0,3750;360;1;1;360;60;0,1240;119;2;0;0;0;0;0;0
0,5000;480;1;2;0;62;0,3740;359;6;1;1;1;0;0;0
0,8750;840;1;2;360;60;0,1240;119;2;0;0;0;0;0;0
1,0000;960;1;3;0;60;0,8740;839;14;1;0;1;0;0;1
1,8750;1800;2;1;360;57;0,0615;59;1;0;0;0;0;0;0
1,9375;1860;2;1;420;60;0,0615;59;1;0;0;0;0;0;0
2,0000;1920;2;2;0;60;0,8740;839;14;1;1;1;1;0;1
2,8750;2760;2;3;360;57;0,1240;119;2;0;0;0;0;0;0
3,0000;2880;3;1;0;55;0,4990;479;8;1;0;0;0;0;1
3,5000;3360;3;2;0;53;1,4990;1439;24;0;0;0;0;1;1
5,0000;4800;4;2;0;53;0,4990;479;8;1;1;1;0;0;1
5,5000;5280;4;3;0;60;0,3740;359;6;0;0;0;0;0;0
5,8750;5640;4;3;360;60;0,1240;119;2;0;0;0;0;0;0
6,0000;5760;5;1;0;60;0,4990;479;8;1;0;1;0;0;1
6,5000;6240;5;2;0;55;0,4990;479;8;0;0;0;0;0;1
7,0000;6720;5;3;0;58;0,3740;359;6;1;0;1;0;0;0
7,3750;7080;5;3;360;55;0,1240;119;2;0;0;0;0;0;0
7,5000;7200;6;1;0;55;0,7490;719;12;1;1;1;0;0;1
8,2500;7920;6;2;240;53;0,2490;239;4;0;0;0;0;0;0
8,5000;8160;6;3;0;53;0,9990;959;16;1;1;1;1;1;1
9,5000;9120;7;2;0;48;0,4990;479;8;0;0;0;0;0;1
10,0000;9600;7;3;0;48;0,3740;359;6;0;0;0;0;0;0
10,3750;9960;7;3;360;48;0,1240;119;2;1;0;1;0;0;0
10,5000;10080;8;1;0;58;0,2490;239;4;0;0;0;0;0;0
10,7500;10320;8;1;240;55;0,2490;239;4;0;0;0;0;0;0
11,0000;10560;8;2;0;55;0,3740;359;6;1;1;1;0;0;0
11,3750;10920;8;2;360;53;0,1240;119;2;0;0;0;0;0;0
11,5000;11040;8;3;0;53;0,9990;959;16;0;0;1;1;1;1
12,5000;12000;9;2;0;53;0,3740;359;6;1;0;0;0;0;0
12,8750;12360;9;2;360;50;0,1240;119;2;0;0;0;0;0;0
13,0000;12480;9;3;0;50;0,4990;479;8;0;0;0;0;0;1
13,5000;12960;10;1;0;50;0,4990;479;8;0;0;1;0;0;1
14,0000;13440;10;2;0;48;0,4990;479;8;0;0;0;0;0;1
14,5000;13920;10;3;0;48;0,4990;479;8;0;0;0;0;0;1
15,0000;14400;11;1;0;48;0,2490;239;4;0;1;0;0;0;0
15,2500;14640;11;1;240;48;0,1240;119;2;0;0;0;0;0;0
15,3750;14760;11;1;360;48;0,1240;119;2;0;0;0;0;0;0
15,5000;14880;11;2;0;48;0,9990;959;16;0;1;1;1;0;0
16,5000;15840;12;1;0;48;0,4990;479;8;1;1;1;1;1;1
