Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,8750;840;0;2;360;60;0,1240;119;6;0;0;0;0;0;0
1,0000;960;0;3;0;60;0,2490;239;12;1;0;1;0;0;0
1,2500;1200;0;3;240;56;0,1865;179;9;0;0;0;0;0;0
1,4375;1380;0;3;420;53;0,0615;59;3;0;0;0;0;0;0
1,5000;1440;1;1;0;53;0,3740;359;18;1;1;1;1;0;0
1,8750;1800;1;1;360;55;0,1240;119;6;0;0;0;0;0;0
2,0000;1920;1;2;0;55;0,2490;239;12;0;0;0;0;0;0
2,2500;2160;1;2;240;56;0,1865;179;9;1;0;1;0;0;0
2,4375;2340;1;2;420;53;0,0615;59;3;0;0;0;0;0;0
2,5000;2400;1;3;0;53;0,3740;359;18;1;0;1;0;1;0
2,8750;2760;1;3;360;53;0,1240;119;6;0;0;0;0;0;0
3,0000;2880;2;1;0;53;0,2490;239;12;1;1;1;1;0;0
3,3750;3240;2;1;360;55;0,1240;119;6;0;0;0;0;0;0
3,5000;3360;2;2;0;55;0,2490;239;12;0;0;0;0;0;0
3,7500;3600;2;2;240;53;0,1865;179;9;0;0;1;0;0;0
3,9375;3780;2;2;420;51;0,0615;59;3;0;0;0;0;0;0
4,0000;3840;2;3;0;51;0,3740;359;18;1;1;1;1;1;0
4,3750;4200;2;3;360;48;0,1240;119;6;0;0;0;0;0;0
4,5000;4320;3;1;0;53;0,2490;239;12;0;0;0;0;0;0
4,7500;4560;3;1;240;51;0,1865;179;9;1;0;1;0;0;0
4,9375;4740;3;1;420;48;0,0615;59;3;0;0;0;0;0;0
5,0000;4800;3;2;0;48;0,3740;359;18;1;0;1;0;0;0
5,3750;5160;3;2;360;48;0,1240;119;6;0;0;0;0;0;0
5,5000;5280;3;3;0;48;0,2490;239;12;1;1;1;1;1;0
5,8750;5640;3;3;360;53;0,1240;119;6;0;0;0;0;0;0
6,0000;5760;4;1;0;53;0,2490;239;12;0;0;0;0;0;0
6,2500;6000;4;1;240;55;0,1865;179;9;0;0;1;0;0;0
6,4375;6180;4;1;420;53;0,0615;59;3;0;0;0;0;0;0
6,5000;6240;4;2;0;53;0,3740;359;18;1;1;1;1;0;0
6,8750;6600;4;2;360;53;0,1240;119;6;0;0;0;0;0;0
7,0000;6720;4;3;0;53;0,2490;239;12;0;0;0;0;0;0
7,2500;6960;4;3;240;56;0,1865;179;9;0;0;1;0;0;0
7,4375;7140;4;3;420;53;0,0615;59;3;0;0;0;0;0;0
7,5000;7200;5;1;0;53;0,3740;359;18;1;1;1;1;0;0
7,8750;7560;5;1;360;53;0,1240;119;6;0;0;0;0;0;0
8,0000;7680;5;2;0;53;0,2490;239;12;1;1;1;1;1;1
