Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;60;0,1656;159;4;0;0;1;0;0;0
0,1667;160;1;1;160;58;0,1656;159;4;1;0;0;0;0;0
0,3333;320;1;1;320;58;0,1656;159;4;0;0;0;0;0;0
0,5000;480;1;2;0;58;0,8740;839;21;1;0;1;0;1;0
1,3750;1320;2;1;360;58;0,1240;119;3;0;0;0;0;0;0
1,5000;1440;2;2;0;56;0,4990;479;12;0;0;0;0;0;0
2,0000;1920;3;1;0;55;0,2490;239;6;1;0;1;1;0;0
2,5000;2400;3;2;0;58;0,3740;359;9;0;0;0;0;0;0
2,8750;2760;3;2;360;56;0,1240;119;3;0;0;0;0;0;0
3,0000;2880;4;1;0;56;0,1240;119;3;0;0;0;0;0;0
3,1250;3000;4;1;120;55;0,3740;359;9;1;1;1;0;0;0
3,5000;3360;4;2;0;51;0,2490;239;6;0;0;0;0;0;0
3,7500;3600;4;2;240;51;0,2490;239;6;0;0;0;0;0;0
4,0000;3840;5;1;0;51;0,3740;359;9;1;0;1;0;1;0
4,3750;4200;5;1;360;51;0,1240;119;3;0;0;0;0;0;0
4,5000;4320;5;2;0;51;0,4990;479;12;1;0;1;1;0;0
5,0000;4800;6;1;0;56;0,1656;159;4;0;0;0;0;0;0
5,1667;4960;6;1;160;55;0,1656;159;4;0;0;0;0;0;0
5,3333;5120;6;1;320;56;0,1656;159;4;0;0;0;0;0;0
5,5000;5280;6;2;0;56;0,1240;119;3;0;0;0;0;0;0
5,6250;5400;6;2;120;55;0,3740;359;9;1;1;1;0;0;0
6,0000;5760;7;1;0;51;0,2490;239;6;0;0;0;0;0;0
6,2500;6000;7;1;240;51;0,6240;599;15;1;0;1;0;0;0
6,8750;6600;7;2;360;51;0,1240;119;3;0;0;0;0;0;0
7,0000;6720;8;1;0;51;0,2490;239;6;1;1;1;1;1;0
7,5000;7200;8;2;0;46;0,4990;479;12;0;0;0;0;0;0
8,0000;7680;9;1;0;46;0,4990;479;12;0;0;0;0;0;0
8,5000;8160;9;2;0;46;0,4990;479;12;1;0;1;0;0;0
9,0000;8640;10;1;0;50;0,2490;239;6;0;0;0;0;0;0
9,2500;8880;10;1;240;46;0,2490;239;6;0;0;0;0;0;0
9,5000;9120;10;2;0;51;0,9990;959;24;1;1;0;0;1;1
10,5000;10080;11;2;0;51;0,4990;479;12;0;0;1;1;0;0
11,0000;10560;12;1;0;58;0,3740;359;9;0;0;0;0;0;0
11,3750;10920;12;1;360;56;0,1240;119;3;0;0;0;0;0;0
11,5000;11040;12;2;0;56;0,1240;119;3;0;0;0;0;0;0
11,6250;11160;12;2;120;55;0,3740;359;9;1;1;1;0;0;0
12,0000;11520;13;1;0;51;0,2490;239;6;0;0;0;0;0;0
12,2500;11760;13;1;240;51;0,2490;239;6;0;0;0;0;0;0
12,5000;12000;13;2;0;51;0,3740;359;9;1;0;1;0;0;0
12,8750;12360;13;2;360;51;0,1240;119;3;0;0;0;0;0;0
13,0000;12480;14;1;0;51;0,4990;479;12;1;0;1;1;1;0
13,5000;12960;14;2;0;56;0,1656;159;4;0;0;0;0;0;0
13,6667;13120;14;2;160;55;0,1656;159;4;0;0;0;0;0;0
13,8333;13280;14;2;320;56;0,1656;159;4;0;0;0;0;0;0
14,0000;13440;15;1;0;56;0,1240;119;3;0;0;0;0;0;0
14,1250;13560;15;1;120;55;0,3740;359;9;1;1;1;0;0;0
14,5000;13920;15;2;0;51;0,2490;239;6;0;0;0;0;0;0
14,7500;14160;15;2;240;51;0,6240;599;15;1;0;1;0;0;0
15,3750;14760;16;1;360;51;0,1240;119;3;0;0;0;0;0;0
15,5000;14880;16;2;0;51;0,2490;239;6;1;1;1;1;1;0
16,0000;15360;17;1;0;46;0,4990;479;12;0;0;0;0;0;0
16,5000;15840;17;2;0;46;0,4990;479;12;0;0;0;0;0;0
17,0000;16320;18;1;0;46;0,4990;479;12;1;0;1;0;0;0
17,5000;16800;18;2;0;50;0,2490;239;6;0;0;0;0;0;0
17,7500;17040;18;2;240;46;0,2490;239;6;0;0;0;0;0;0
18,0000;17280;19;1;0;51;0,9990;959;24;1;1;1;0;0;1
19,0000;18240;20;1;0;51;0,4990;479;12;0;0;0;0;0;0
19,5000;18720;20;2;0;51;0,9990;959;24;1;1;1;1;0;1
20,5000;19680;21;2;0;58;1,2490;1199;30;0;0;0;0;0;1
21,7500;20880;22;2;240;51;0,1240;119;3;0;0;0;0;0;0
22,0000;21120;23;1;0;58;0,4990;479;12;1;1;1;1;1;1
