Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;62;0,7490;719;9;0;0;1;0;0;0
0,7500;720;1;2;240;59;0,1865;179;2;1;0;0;0;0;0
0,9375;900;1;2;420;57;0,0615;59;1;0;0;0;0;0;0
1,0000;960;2;1;0;57;0,4990;479;6;1;1;1;1;0;0
1,5000;1440;2;2;0;57;0,2490;239;3;0;0;0;0;0;0
1,7500;1680;2;2;240;55;0,2490;239;3;0;0;0;0;0;0
2,0000;1920;3;1;0;57;0,4990;479;6;1;0;1;0;0;0
2,5000;2400;3;2;0;59;0,2490;239;3;0;0;0;0;0;0
2,7500;2640;3;2;240;57;0,1865;179;2;0;0;1;0;0;0
2,9375;2820;3;2;420;55;0,0615;59;1;0;0;0;0;0;0
3,0000;2880;4;1;0;55;0,4990;479;6;1;0;1;1;1;0
3,5000;3360;4;2;0;55;0,2490;239;3;0;0;0;0;0;0
3,7500;3600;4;2;240;52;0,2490;239;3;0;0;0;0;0;0
4,0000;3840;5;1;0;55;0,4990;479;6;1;1;0;0;0;0
4,5000;4320;5;2;0;55;0,2490;239;3;0;0;1;0;0;0
4,7500;4560;5;2;240;52;0,1865;179;2;0;0;0;0;0;0
4,9375;4740;5;2;420;50;0,0615;59;1;0;0;0;0;0;0
5,0000;4800;6;1;0;50;0,4990;479;6;0;0;0;0;0;0
5,5000;5280;6;2;0;50;0,2490;239;3;0;0;1;1;1;0
6,0000;5760;7;1;0;57;0,4990;479;6;0;1;0;0;0;0
6,5000;6240;7;2;0;59;0,2490;239;3;0;0;0;0;0;0
6,7500;6480;7;2;240;57;0,1865;179;2;0;0;1;0;0;0
6,9375;6660;7;2;420;55;0,0615;59;1;0;0;0;0;0;0
7,0000;6720;8;1;0;55;0,4990;479;6;1;0;1;0;0;0
7,5000;7200;8;2;0;55;0,2490;239;3;0;0;0;0;0;0
7,7500;7440;8;2;240;52;0,2490;239;3;0;0;0;0;0;0
8,0000;7680;9;1;0;55;0,7490;719;9;1;1;1;0;0;0
8,7500;8400;9;2;240;52;0,1865;179;2;0;0;0;0;0;0
8,9375;8580;9;2;420;50;0,0615;59;1;0;0;0;0;0;0
9,0000;8640;10;1;0;50;0,4990;479;6;0;0;0;0;0;0
9,5000;9120;10;2;0;50;0,2490;239;3;0;0;1;1;1;0
10,0000;9600;11;1;0;50;0,7490;719;9;1;1;0;0;0;0
10,7500;10320;11;2;240;47;0,1865;179;2;0;0;0;0;0;0
10,9375;10500;11;2;420;43;0,0615;59;1;0;0;0;0;0;0
11,0000;10560;12;1;0;43;0,4990;479;6;0;0;0;0;0;0
11,5000;11040;12;2;0;43;0,2490;239;3;0;0;1;0;0;0
12,0000;11520;13;1;0;43;0,4990;479;6;1;0;0;0;0;0
12,5000;12000;13;2;0;43;0,2490;239;3;0;0;0;0;0;0
12,7500;12240;13;2;240;43;0,2490;239;3;0;0;0;0;0;0
13,0000;12480;14;1;0;43;0,4990;479;6;0;1;1;0;0;0
13,5000;12960;14;2;0;43;0,2490;239;3;1;1;1;1;1;1
