Signature: 5/8, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;62;0,4990;479;12;0;0;0;0;0;0
0,5000;480;1;2;0;62;0,3740;359;9;1;0;1;0;0;0
0,8750;840;1;2;360;60;0,1240;119;3;0;0;0;0;0;0
1,0000;960;1;3;0;58;0,2490;239;6;1;1;1;1;1;0
1,5000;1440;1;4;0;62;0,1656;159;4;0;0;0;0;0;0
1,6667;1600;1;4;160;60;0,1656;159;4;0;0;0;0;0;0
1,8333;1760;1;4;320;58;0,1656;159;4;1;0;1;0;0;0
2,0000;1920;1;5;0;53;0,2490;239;6;0;0;0;0;0;0
2,2500;2160;1;5;240;53;0,1240;119;3;0;0;0;0;0;0
2,3750;2280;1;5;360;53;0,1240;119;3;0;0;1;1;0;0
2,5000;2400;2;1;0;58;0,2490;239;6;0;0;0;0;0;0
2,7500;2640;2;1;240;60;0,3740;359;9;1;0;0;0;0;0
3,1250;3000;2;2;120;58;0,1240;119;3;0;0;1;0;0;0
3,2500;3120;2;2;240;55;0,2490;239;6;0;0;0;0;0;0
3,5000;3360;2;3;0;55;0,1240;119;3;0;0;0;0;0;0
3,6250;3480;2;3;120;55;0,1240;119;3;0;0;0;0;0;0
3,7500;3600;2;3;240;55;0,2490;239;6;1;1;1;1;1;0
4,2500;4080;2;4;240;60;0,3740;359;9;0;0;0;0;0;0
4,6250;4440;2;5;120;58;0,1240;119;3;0;0;1;0;0;0
4,7500;4560;2;5;240;53;0,2490;239;6;0;0;0;0;0;0
5,0000;4800;3;1;0;53;0,1240;119;3;0;0;0;0;0;0
5,1250;4920;3;1;120;53;0,1240;119;3;0;0;1;0;0;0
5,2500;5040;3;1;240;58;0,2490;239;6;0;0;0;0;0;0
5,5000;5280;3;2;0;60;0,3740;359;9;1;0;0;0;0;0
5,8750;5640;3;2;360;58;0,1240;119;3;0;0;1;0;0;0
6,0000;5760;3;3;0;55;0,2490;239;6;0;0;0;0;0;0
6,2500;6000;3;3;240;55;0,1240;119;3;0;0;0;0;0;0
6,3750;6120;3;3;360;55;0,1240;119;3;0;0;0;0;0;0
6,5000;6240;3;4;0;55;0,2490;239;6;1;1;1;1;1;0
7,0000;6720;3;5;0;60;0,3740;359;9;0;0;0;0;0;0
7,3750;7080;3;5;360;58;0,1240;119;3;0;0;1;0;0;0
7,5000;7200;4;1;0;53;0,2490;239;6;0;0;0;0;0;0
7,7500;7440;4;1;240;53;0,1240;119;3;0;0;0;0;0;0
7,8750;7560;4;1;360;53;0,1240;119;3;0;0;1;0;0;0
8,0000;7680;4;2;0;58;0,1240;119;3;1;1;1;1;1;1
