Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;63;0,4990;479;8;0;0;0;0;0;0
0,5000;480;1;2;0;63;0,4990;479;8;0;0;0;0;0;0
1,0000;960;1;3;0;63;0,3740;359;6;1;0;1;1;0;0
1,3750;1320;1;3;360;60;0,1240;119;2;0;0;0;0;0;0
1,5000;1440;2;1;0;63;0,4990;479;8;0;0;1;0;0;0
2,0000;1920;2;2;0;63;0,4990;479;8;0;0;0;0;0;0
2,5000;2400;2;3;0;63;0,2490;239;4;0;0;1;1;0;0
2,8750;2760;2;3;360;63;0,1240;119;2;0;0;0;0;0;0
3,0000;2880;3;1;0;67;0,4990;479;8;1;1;1;0;1;0
3,5000;3360;3;2;0;67;0,1240;119;2;0;0;0;0;0;0
3,6250;3480;3;2;120;63;0,1240;119;2;0;0;0;0;0;0
3,7500;3600;3;2;240;63;0,2490;239;4;0;0;0;0;0;0
4,0000;3840;3;3;0;63;0,4990;479;8;1;0;1;0;0;0
4,5000;4320;4;1;0;63;0,1240;119;2;0;0;0;0;0;0
4,6250;4440;4;1;120;58;0,1240;119;2;0;0;0;0;0;0
4,7500;4560;4;1;240;58;0,2490;239;4;0;0;0;0;0;0
5,0000;4800;4;2;0;60;0,3740;359;6;1;1;1;0;0;0
5,3750;5160;4;2;360;60;0,1240;119;2;0;0;0;0;0;0
5,5000;5280;4;3;0;58;0,2490;239;4;1;0;1;1;1;0
6,0000;5760;5;1;0;63;0,4990;479;8;0;0;0;0;0;0
6,5000;6240;5;2;0;63;0,1240;119;2;0;0;1;0;0;0
6,6250;6360;5;2;120;58;0,2490;239;4;0;0;0;0;0;0
6,8750;6600;5;2;360;58;0,1240;119;2;0;0;1;0;0;0
7,0000;6720;5;3;0;55;0,2490;239;4;0;0;0;0;0;0
7,2500;6960;5;3;240;55;0,2490;239;4;0;0;0;0;0;0
7,5000;7200;6;1;0;51;0,4990;479;8;1;1;1;1;1;0
8,0000;7680;6;2;0;55;0,2490;239;4;0;0;0;0;0;0
8,2500;7920;6;2;240;51;0,2490;239;4;0;0;0;0;0;0
8,5000;8160;6;3;0;51;0,2490;239;4;1;0;1;0;0;0
8,7500;8400;6;3;240;55;0,1240;119;2;0;0;0;0;0;0
8,8750;8520;6;3;360;55;0,1240;119;2;0;0;0;0;0;0
9,0000;8640;7;1;0;51;0,2490;239;4;1;0;1;1;0;0
9,3750;9000;7;1;360;55;0,1240;119;2;0;0;0;0;0;0
9,5000;9120;7;2;0;60;0,4990;479;8;1;1;1;0;1;0
10,0000;9600;7;3;0;60;0,2490;239;4;0;0;0;0;0;0
10,2500;9840;7;3;240;58;0,1240;119;2;0;0;0;0;0;0
10,3750;9960;7;3;360;58;0,1240;119;2;1;0;0;0;0;0
10,5000;10080;8;1;0;55;0,4990;479;8;0;0;0;0;0;0
11,0000;10560;8;2;0;51;0,4990;479;8;1;0;1;0;0;0
11,5000;11040;8;3;0;55;0,1240;119;2;0;0;0;0;0;0
11,6250;11160;8;3;120;55;0,1240;119;2;0;0;0;0;0;0
11,7500;11280;8;3;240;55;0,1240;119;2;0;0;0;0;0;0
11,8750;11400;8;3;360;55;0,1240;119;2;0;0;0;0;0;0
12,0000;11520;9;1;0;51;0,2490;239;4;1;0;1;1;1;0
12,3750;11880;9;1;360;55;0,1240;119;2;0;0;0;0;0;0
12,5000;12000;9;2;0;60;0,4990;479;8;1;1;1;0;0;0
13,0000;12480;9;3;0;60;0,1240;119;2;0;0;0;0;0;0
13,1250;12600;9;3;120;58;0,2490;239;4;0;0;0;0;0;0
13,3750;12840;9;3;360;55;0,1240;119;2;0;0;0;0;0;0
13,5000;12960;10;1;0;58;0,1240;119;2;0;0;0;0;0;0
13,6250;13080;10;1;120;55;0,3740;359;6;0;1;0;0;0;0
14,0000;13440;10;2;0;51;0,2490;239;4;0;1;1;1;1;0
14,5000;13920;10;3;0;55;0,2490;239;4;0;0;0;0;0;0
14,7500;14160;10;3;240;51;0,2490;239;4;0;0;0;0;0;0
15,0000;14400;11;1;0;55;0,2490;239;4;1;0;1;0;0;0
15,2500;14640;11;1;240;51;0,1240;119;2;0;0;0;0;0;0
15,3750;14760;11;1;360;51;0,1240;119;2;0;1;1;0;0;0
15,5000;14880;11;2;0;58;0,2490;239;4;0;0;0;0;0;0
15,7500;15120;11;2;240;55;0,1240;119;2;0;0;0;0;0;0
15,8750;15240;11;2;360;58;0,1240;119;2;0;0;0;0;0;0
16,0000;15360;11;3;0;58;0,1240;119;2;0;0;0;0;0;0
16,1250;15480;11;3;120;55;0,3740;359;6;0;0;0;0;1;0
16,5000;15840;12;1;0;51;0,2490;239;4;0;0;0;0;0;0
16,8750;16200;12;1;360;51;0,1240;119;2;0;0;0;0;0;0
17,0000;16320;12;2;0;60;0,4990;479;8;1;0;1;1;0;0
17,5000;16800;12;3;0;60;0,0615;59;1;0;0;0;0;0;0
17,5625;16860;12;3;60;55;0,1865;179;3;0;0;0;0;0;0
17,7500;17040;12;3;240;58;0,2490;239;4;0;0;0;0;0;0
18,0000;17280;13;1;0;55;0,4990;479;8;1;1;1;0;0;0
18,5000;17760;13;2;0;51;0,2490;239;4;0;0;0;0;0;0
18,7500;18000;13;2;240;51;0,2490;239;4;0;0;0;0;0;0
19,0000;18240;13;3;0;51;0,2490;239;4;1;0;1;1;1;0
19,5000;18720;14;1;0;55;0,1240;119;2;0;0;0;0;0;0
19,6250;18840;14;1;120;51;0,3740;359;6;0;0;0;0;0;0
20,0000;19200;14;2;0;51;0,4990;479;8;1;0;1;0;0;0
20,5000;19680;14;3;0;55;0,1240;119;2;0;0;0;0;0;0
20,6250;19800;14;3;120;51;0,3740;359;6;0;0;0;0;0;0
21,0000;20160;15;1;0;51;0,4990;479;8;1;0;1;1;1;0
21,7500;20880;15;2;240;51;0,2490;239;4;0;0;0;0;0;0
22,0000;21120;15;3;0;51;0,2490;239;4;1;0;0;0;0;0
22,3750;21480;15;3;360;51;0,1240;119;2;0;0;1;0;0;0
22,5000;21600;16;1;0;67;0,4990;479;8;1;1;0;0;0;0
23,0000;22080;16;2;0;67;0,1240;119;2;0;0;0;0;0;0
23,1250;22200;16;2;120;63;0,1240;119;2;0;0;0;0;0;0
23,2500;22320;16;2;240;63;0,2490;239;4;0;0;0;0;0;0
23,5000;22560;16;3;0;63;0,4990;479;8;1;0;1;0;1;0
24,0000;23040;17;1;0;63;0,1240;119;2;0;0;0;0;0;0
24,1250;23160;17;1;120;58;0,1240;119;2;0;0;0;0;0;0
24,2500;23280;17;1;240;58;0,2490;239;4;0;0;0;0;0;0
24,5000;23520;17;2;0;60;0,3740;359;6;1;1;1;0;0;0
24,8750;23880;17;2;360;60;0,1240;119;2;0;0;0;0;0;0
25,0000;24000;17;3;0;58;0,2490;239;4;1;0;1;1;1;0
25,5000;24480;18;1;0;63;0,4990;479;8;0;0;0;0;0;0
26,0000;24960;18;2;0;63;0,1240;119;2;0;0;1;0;0;0
26,1250;25080;18;2;120;58;0,2490;239;4;0;0;0;0;0;0
26,3750;25320;18;2;360;58;0,1240;119;2;0;0;1;0;0;0
26,5000;25440;18;3;0;55;0,2490;239;4;0;0;0;0;0;0
26,7500;25680;18;3;240;55;0,2490;239;4;0;0;0;0;0;0
27,0000;25920;19;1;0;51;0,4990;479;8;1;1;1;1;1;0
27,5000;26400;19;2;0;55;0,2490;239;4;0;0;0;0;0;0
27,7500;26640;19;2;240;51;0,2490;239;4;0;0;0;0;0;0
28,0000;26880;19;3;0;51;0,2490;239;4;1;0;1;0;0;0
28,2500;27120;19;3;240;55;0,1240;119;2;0;0;0;0;0;0
28,3750;27240;19;3;360;55;0,1240;119;2;0;0;0;0;0;0
28,5000;27360;20;1;0;51;0,2490;239;4;1;0;1;1;0;0
28,8750;27720;20;1;360;55;0,1240;119;2;0;0;0;0;0;0
29,0000;27840;20;2;0;60;0,4990;479;8;1;1;1;0;1;0
29,5000;28320;20;3;0;60;0,2490;239;4;0;0;0;0;0;0
29,7500;28560;20;3;240;58;0,1240;119;2;0;0;0;0;0;0
29,8750;28680;20;3;360;58;0,1240;119;2;1;0;0;0;0;0
30,0000;28800;21;1;0;55;0,4990;479;8;0;0;0;0;0;0
30,5000;29280;21;2;0;51;0,4990;479;8;1;0;1;0;0;0
31,0000;29760;21;3;0;55;0,1240;119;2;0;0;0;0;0;0
31,1250;29880;21;3;120;55;0,1240;119;2;0;0;0;0;0;0
31,2500;30000;21;3;240;55;0,1240;119;2;0;0;0;0;0;0
31,3750;30120;21;3;360;55;0,1240;119;2;0;0;0;0;0;0
31,5000;30240;22;1;0;51;0,2490;239;4;1;0;1;1;1;0
31,8750;30600;22;1;360;55;0,1240;119;2;0;0;0;0;0;0
32,0000;30720;22;2;0;60;0,4990;479;8;1;1;1;0;0;0
32,5000;31200;22;3;0;60;0,1240;119;2;0;0;0;0;0;0
32,6250;31320;22;3;120;58;0,2490;239;4;0;0;0;0;0;0
32,8750;31560;22;3;360;55;0,1240;119;2;0;0;0;0;0;0
33,0000;31680;23;1;0;58;0,1240;119;2;0;0;0;0;0;0
33,1250;31800;23;1;120;55;0,3740;359;6;0;1;0;0;0;0
33,5000;32160;23;2;0;51;0,2490;239;4;0;1;1;1;1;0
34,0000;32640;23;3;0;55;0,2490;239;4;0;0;0;0;0;0
34,2500;32880;23;3;240;51;0,2490;239;4;0;0;0;0;0;0
34,5000;33120;24;1;0;55;0,2490;239;4;1;0;1;0;0;0
34,7500;33360;24;1;240;51;0,1240;119;2;0;0;0;0;0;0
34,8750;33480;24;1;360;51;0,1240;119;2;0;1;1;0;0;0
35,0000;33600;24;2;0;58;0,2490;239;4;0;0;0;0;0;0
35,2500;33840;24;2;240;55;0,1240;119;2;0;0;0;0;0;0
35,3750;33960;24;2;360;58;0,1240;119;2;0;0;0;0;0;0
35,5000;34080;24;3;0;58;0,1240;119;2;0;0;0;0;0;0
35,6250;34200;24;3;120;55;0,3740;359;6;0;0;0;0;1;0
36,0000;34560;25;1;0;51;0,2490;239;4;0;0;0;0;0;0
36,3750;34920;25;1;360;51;0,1240;119;2;0;0;0;0;0;0
36,5000;35040;25;2;0;60;0,4990;479;8;1;0;1;1;0;0
37,0000;35520;25;3;0;60;0,0615;59;1;0;0;0;0;0;0
37,0625;35580;25;3;60;55;0,1865;179;3;0;0;0;0;0;0
37,2500;35760;25;3;240;58;0,2490;239;4;0;0;0;0;0;0
37,5000;36000;26;1;0;55;0,4990;479;8;1;1;1;0;0;0
38,0000;36480;26;2;0;51;0,2490;239;4;0;0;0;0;0;0
38,2500;36720;26;2;240;51;0,2490;239;4;0;0;0;0;0;0
38,5000;36960;26;3;0;51;0,2490;239;4;1;0;1;1;1;0
39,0000;37440;27;1;0;55;0,1240;119;2;0;0;0;0;0;0
39,1250;37560;27;1;120;51;0,3740;359;6;0;0;0;0;0;0
39,5000;37920;27;2;0;51;0,4990;479;8;1;0;1;0;0;0
40,0000;38400;27;3;0;55;0,1240;119;2;0;0;0;0;0;0
40,1250;38520;27;3;120;51;0,3740;359;6;0;0;0;0;0;0
40,5000;38880;28;1;0;51;0,4990;479;8;1;0;1;1;1;0
41,2500;39600;28;2;240;51;0,2490;239;4;0;0;0;0;0;0
41,5000;39840;28;3;0;51;0,2490;239;4;1;0;0;0;0;0
41,8750;40200;28;3;360;51;0,1240;119;2;0;0;1;0;0;0
42,0000;40320;29;1;0;67;0,4990;479;8;1;1;0;0;0;0
42,5000;40800;29;2;0;67;0,1240;119;2;0;0;0;0;0;0
42,6250;40920;29;2;120;63;0,1240;119;2;0;0;0;0;0;0
42,7500;41040;29;2;240;63;0,2490;239;4;0;0;0;0;0;0
43,0000;41280;29;3;0;63;0,4990;479;8;1;0;1;0;0;0
43,5000;41760;30;1;0;63;0,1240;119;2;0;0;0;0;0;0
43,6250;41880;30;1;120;58;0,1240;119;2;0;0;0;0;0;0
43,7500;42000;30;1;240;58;0,1240;119;2;1;1;1;1;0;0
44,0000;42240;30;2;0;60;0,4990;479;8;0;0;0;0;1;0
44,5000;42720;30;3;0;60;0,1240;119;2;0;0;0;0;0;0
44,6250;42840;30;3;120;58;0,1240;119;2;0;0;0;0;0;0
44,7500;42960;30;3;240;58;0,2490;239;4;0;0;0;0;0;0
45,0000;43200;31;1;0;58;0,2490;239;4;0;0;0;0;0;0
45,2500;43440;31;1;240;55;0,2490;239;4;1;0;1;0;0;0
45,5000;43680;31;2;0;51;0,2490;239;4;0;0;0;0;0;0
45,7500;43920;31;2;240;51;0,2490;239;4;1;0;1;0;0;0
46,0000;44160;31;3;0;55;0,2490;239;4;0;0;0;0;0;0
46,2500;44400;31;3;240;55;0,2490;239;4;0;0;0;0;0;0
46,5000;44640;32;1;0;51;0,2490;239;4;1;1;1;1;1;0
47,0000;45120;32;2;0;55;0,1240;119;2;0;0;0;0;0;0
47,1250;45240;32;2;120;51;0,1240;119;2;0;0;0;0;0;0
47,2500;45360;32;2;240;51;0,2490;239;4;1;0;1;0;0;0
47,5000;45600;32;3;0;55;0,1240;119;2;0;0;0;0;0;0
47,6250;45720;32;3;120;51;0,3740;359;6;1;1;1;0;0;0
48,0000;46080;33;1;0;55;0,2490;239;4;0;0;0;0;0;0
48,2500;46320;33;1;240;55;0,2490;239;4;0;0;0;0;0;0
48,5000;46560;33;2;0;51;0,2490;239;4;1;0;1;1;1;0
49,0000;47040;33;3;0;55;0,1240;119;2;0;0;0;0;0;0
49,1250;47160;33;3;120;51;0,1240;119;2;0;0;0;0;0;0
49,2500;47280;33;3;240;51;0,2490;239;4;0;0;1;0;0;0
49,5000;47520;34;1;0;51;0,1240;119;2;0;0;0;0;0;0
