Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
1,0000;960;2;1;0;60;0,3740;359;3;0;0;1;0;0;0
1,3750;1320;2;1;360;57;0,1240;119;1;0;0;0;0;0;0
1,5000;1440;2;2;0;57;1,2490;1199;10;1;0;1;1;0;1
2,7500;2640;3;2;240;55;0,2490;239;2;0;0;0;0;0;0
3,0000;2880;4;1;0;57;0,3740;359;3;1;1;1;0;0;0
3,3750;3240;4;1;360;53;0,1240;119;1;0;0;0;0;0;0
3,5000;3360;4;2;0;53;0,4990;479;4;0;0;0;0;0;0
4,0000;3840;5;1;0;53;0,9990;959;8;1;1;1;1;1;1
5,0000;4800;6;1;0;57;0,2490;239;2;0;0;0;0;0;0
5,2500;5040;6;1;240;55;0,2490;239;2;0;0;0;0;0;0
5,5000;5280;6;2;0;53;0,4990;479;4;1;0;1;0;0;0
6,0000;5760;7;1;0;50;0,4990;479;4;0;0;0;0;0;0
6,5000;6240;7;2;0;50;0,9990;959;8;1;1;1;1;0;1
7,5000;7200;8;2;0;55;0,2490;239;2;0;0;0;0;0;0
7,7500;7440;8;2;240;53;0,2490;239;2;0;0;1;0;0;0
8,0000;7680;9;1;0;50;0,3740;359;3;1;0;0;0;0;0
8,3750;8040;9;1;360;50;0,1240;119;1;0;0;0;0;0;0
8,5000;8160;9;2;0;50;0,4990;479;4;0;0;0;0;0;0
9,0000;8640;10;1;0;50;0,9990;959;8;0;0;0;0;1;1
10,0000;9600;11;1;0;50;0,4990;479;4;1;1;1;1;0;0
10,5000;10080;11;2;0;57;0,2490;239;2;0;0;0;0;0;0
10,7500;10320;11;2;240;53;0,2490;239;2;0;0;0;0;0;0
11,0000;10560;12;1;0;57;1,2490;1199;10;1;0;1;0;0;1
12,2500;11760;13;1;240;55;0,2490;239;2;0;0;0;0;0;0
12,5000;12000;13;2;0;57;0,3740;359;3;1;1;1;0;0;0
12,8750;12360;13;2;360;53;0,1240;119;1;0;0;0;0;0;0
13,0000;12480;14;1;0;53;0,4990;479;4;0;0;0;0;0;0
13,5000;12960;14;2;0;53;0,9990;959;8;1;1;1;1;1;1
14,5000;13920;15;2;0;57;0,2490;239;2;0;0;0;0;0;0
14,7500;14160;15;2;240;55;0,2490;239;2;0;0;1;0;0;0
15,0000;14400;16;1;0;60;0,4990;479;4;0;0;0;0;0;0
15,5000;14880;16;2;0;57;0,7490;719;6;0;0;1;0;0;0
16,2500;15600;17;1;240;55;0,2490;239;2;0;0;0;0;0;0
16,5000;15840;17;2;0;57;0,3740;359;3;1;1;1;0;0;0
16,8750;16200;17;2;360;53;0,1240;119;1;0;0;0;0;0;0
17,0000;16320;18;1;0;53;0,4990;479;4;0;0;0;0;0;0
17,5000;16800;18;2;0;53;0,9990;959;8;1;1;1;1;1;1
18,5000;17760;19;2;0;57;0,2490;239;2;0;0;0;0;0;0
18,7500;18000;19;2;240;55;0,2490;239;2;0;0;0;0;0;0
19,0000;18240;20;1;0;53;0,4990;479;4;1;0;1;0;0;0
19,5000;18720;20;2;0;50;0,4990;479;4;0;0;0;0;0;0
20,0000;19200;21;1;0;50;0,9990;959;8;1;1;1;1;0;1
21,0000;20160;22;1;0;57;0,2490;239;2;0;0;0;0;0;0
21,2500;20400;22;1;240;55;0,2490;239;2;0;0;1;0;0;0
21,5000;20640;22;2;0;50;0,3740;359;3;1;0;0;0;0;0
21,8750;21000;22;2;360;50;0,1240;119;1;0;0;0;0;0;0
22,0000;21120;23;1;0;50;0,4990;479;4;0;0;1;0;0;0
22,5000;21600;23;2;0;50;0,9990;959;8;1;1;1;1;1;1
