Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;52;0,4990;479;4;1;1;0;0;0;0
0,5000;480;1;2;0;49;0,2490;239;2;0;0;1;0;0;0
0,7500;720;1;2;240;52;0,2490;239;2;0;1;0;0;0;0
1,0000;960;2;1;0;52;0,4990;479;4;0;1;1;1;0;0
1,5000;1440;2;2;0;49;0,4990;479;4;0;0;0;0;0;0
2,0000;1920;3;1;0;52;0,4990;479;4;0;0;0;0;0;0
2,5000;2400;3;2;0;49;0,4990;479;4;0;0;0;0;0;0
3,0000;2880;4;1;0;52;0,4990;479;4;0;0;1;0;0;0
3,5000;3360;4;2;0;49;0,2490;239;2;0;0;0;0;0;0
3,7500;3600;4;2;240;49;0,2490;239;2;1;1;1;1;1;0
4,2500;4080;5;1;240;52;0,2490;239;2;0;0;0;0;0;0
4,5000;4320;5;2;0;49;0,4990;479;4;1;0;0;0;0;0
5,0000;4800;6;1;0;49;0,2490;239;2;0;0;0;0;0;0
5,2500;5040;6;1;240;49;0,2490;239;2;1;0;1;0;0;0
5,5000;5280;6;2;0;52;0,4990;479;4;0;0;0;0;0;0
6,0000;5760;7;1;0;52;0,4990;479;4;1;0;0;0;1;0
6,5000;6240;7;2;0;52;0,2490;239;2;0;0;1;0;0;0
6,7500;6480;7;2;240;49;0,2490;239;2;0;0;0;0;0;0
7,0000;6720;8;1;0;52;0,4990;479;4;1;1;1;1;0;0
7,5000;7200;8;2;0;49;0,2490;239;2;0;0;0;0;0;0
7,7500;7440;8;2;240;49;0,2490;239;2;1;0;1;0;0;0
8,0000;7680;9;1;0;52;0,4990;479;4;0;0;0;0;0;0
8,5000;8160;9;2;0;49;0,4990;479;4;1;0;1;0;0;0
9,0000;8640;10;1;0;54;0,2490;239;2;0;0;0;0;0;0
9,2500;8880;10;1;240;52;0,2490;239;2;0;0;0;0;0;0
9,5000;9120;10;2;0;52;0,4990;479;4;1;0;1;1;1;0
10,2500;9840;11;1;240;52;0,2490;239;2;0;0;0;0;0;0
10,5000;10080;11;2;0;49;0,2490;239;2;0;0;0;0;0;0
10,7500;10320;11;2;240;52;0,2490;239;2;0;0;0;0;0;0
11,0000;10560;12;1;0;52;0,4990;479;4;1;1;1;0;0;0
11,5000;11040;12;2;0;49;0,2490;239;2;0;0;0;0;0;0
11,7500;11280;12;2;240;52;0,2490;239;2;1;0;1;1;1;0
12,3750;11880;13;1;360;52;0,1240;119;1;0;0;0;0;0;0
12,5000;12000;13;2;0;52;0,4990;479;4;1;0;1;0;0;0
13,0000;12480;14;1;0;52;0,2490;239;2;0;0;0;0;0;0
13,2500;12720;14;1;240;52;0,2490;239;2;0;0;1;0;0;0
13,5000;12960;14;2;0;54;0,2490;239;2;0;0;0;0;0;0
13,7500;13200;14;2;240;52;0,2490;239;2;0;0;1;0;0;0
14,0000;13440;15;1;0;54;0,4990;479;4;1;1;0;0;1;0
14,5000;13920;15;2;0;54;0,2490;239;2;0;0;1;1;0;0
14,7500;14160;15;2;240;59;0,2490;239;2;0;0;0;0;0;0
15,0000;14400;16;1;0;57;0,4990;479;4;1;0;1;0;0;0
15,5000;14880;16;2;0;54;0,4990;479;4;0;0;0;0;0;0
16,0000;15360;17;1;0;52;0,4990;479;4;0;0;0;0;0;0
16,5000;15840;17;2;0;49;0,4990;479;4;1;0;1;0;0;0
17,0000;16320;18;1;0;52;0,2490;239;2;0;0;0;0;0;0
17,2500;16560;18;1;240;52;0,2490;239;2;1;1;1;1;1;0
17,8750;17160;18;2;360;52;0,1240;119;1;0;0;0;0;0;0
18,0000;17280;19;1;0;52;0,2490;239;2;0;0;0;0;0;0
18,2500;17520;19;1;240;52;0,2490;239;2;0;0;0;0;0;0
18,5000;17760;19;2;0;52;0,4990;479;4;0;0;0;0;0;0
19,0000;18240;20;1;0;52;0,4990;479;4;1;0;0;0;0;0
19,5000;18720;20;2;0;54;0,2490;239;2;0;0;1;0;0;0
19,7500;18960;20;2;240;49;0,2490;239;2;0;0;0;0;0;0
20,0000;19200;21;1;0;52;0,4990;479;4;1;0;0;0;0;0
20,5000;19680;21;2;0;49;0,2490;239;2;0;0;0;0;0;0
20,7500;19920;21;2;240;52;0,2490;239;2;1;1;1;1;1;0
21,3750;20520;22;1;360;52;0,1240;119;1;0;0;0;0;0;0
21,5000;20640;22;2;0;52;0,4990;479;4;1;0;1;0;0;0
22,0000;21120;23;1;0;49;0,3740;359;3;0;0;0;0;0;0
22,3750;21480;23;1;360;52;0,1240;119;1;0;0;0;0;0;0
22,5000;21600;23;2;0;52;0,2490;239;2;0;0;0;0;0;0
22,7500;21840;23;2;240;54;0,2490;239;2;0;0;1;0;0;0
23,0000;22080;24;1;0;49;0,2490;239;2;0;0;0;0;0;0
23,2500;22320;24;1;240;49;0,2490;239;2;1;1;1;1;1;0
23,7500;22800;24;2;240;52;0,2490;239;2;0;0;0;0;0;0
24,0000;23040;25;1;0;52;0,2490;239;2;0;0;0;0;0;0
24,2500;23280;25;1;240;52;0,2490;239;2;0;0;0;0;0;0
24,5000;23520;25;2;0;52;0,4990;479;4;0;0;0;0;0;0
25,0000;24000;26;1;0;52;0,4990;479;4;1;0;1;0;0;0
25,5000;24480;26;2;0;54;0,2490;239;2;0;0;0;0;0;0
25,7500;24720;26;2;240;52;0,2490;239;2;0;0;1;0;0;0
26,0000;24960;27;1;0;54;0,2490;239;2;0;0;0;0;0;0
26,2500;25200;27;1;240;54;0,4990;479;4;1;1;0;0;1;0
26,7500;25680;27;2;240;54;0,2490;239;2;0;0;1;1;0;0
27,0000;25920;28;1;0;59;0,2490;239;2;0;0;0;0;0;0
27,2500;26160;28;1;240;57;0,4990;479;4;1;0;1;0;0;0
27,7500;26640;28;2;240;54;0,4990;479;4;0;0;0;0;0;0
28,2500;27120;29;1;240;52;0,4990;479;4;0;0;0;0;0;0
28,7500;27600;29;2;240;49;0,2490;239;2;0;0;0;0;0;0
29,0000;27840;30;1;0;52;0,2490;239;2;1;1;1;1;1;0
29,6250;28440;30;2;120;52;0,1240;119;1;0;0;0;0;0;0
29,7500;28560;30;2;240;52;0,4990;479;4;0;0;0;0;0;0
30,2500;29040;31;1;240;52;0,4990;479;4;1;0;0;0;0;0
30,7500;29520;31;2;240;54;0,2490;239;2;0;0;1;0;0;0
31,0000;29760;32;1;0;49;0,2490;239;2;0;0;0;0;0;0
31,2500;30000;32;1;240;52;0,4990;479;4;1;0;0;0;0;0
31,7500;30480;32;2;240;49;0,2490;239;2;0;0;0;0;0;0
32,0000;30720;33;1;0;52;0,2490;239;2;1;1;1;1;1;0
32,6250;31320;33;2;120;52;0,1240;119;1;0;0;0;0;0;0
32,7500;31440;33;2;240;52;0,4990;479;4;0;0;1;0;0;0
