Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
1,3750;1320;0;3;360;59;0,1240;119;2;1;0;0;0;0;0
1,5000;1440;1;1;0;62;0,4990;479;8;0;0;1;0;0;0
2,0000;1920;1;2;0;62;0,4990;479;8;0;0;0;0;0;0
2,5000;2400;1;3;0;62;0,3740;359;6;1;0;1;0;0;0
2,8750;2760;1;3;360;59;0,1240;119;2;0;0;0;0;0;0
3,0000;2880;2;1;0;62;0,2490;239;4;0;0;0;0;0;0
3,2500;3120;2;1;240;62;0,2490;239;4;0;0;0;0;0;0
3,5000;3360;2;2;0;62;0,4990;479;8;1;1;1;1;1;0
4,5000;4320;3;1;0;59;0,2490;239;4;0;0;0;0;0;0
4,7500;4560;3;1;240;62;0,4990;479;8;0;0;0;0;0;0
5,2500;5040;3;2;240;62;0,3740;359;6;1;0;1;0;0;0
5,6250;5400;3;3;120;66;0,1240;119;2;0;0;0;0;0;0
5,7500;5520;3;3;240;66;0,1240;119;2;0;0;0;0;0;0
5,8750;5640;3;3;360;64;0,1240;119;2;0;0;0;0;0;0
6,0000;5760;4;1;0;62;0,1240;119;2;0;0;0;0;0;0
6,1250;5880;4;1;120;62;0,1240;119;2;0;0;0;0;0;0
6,2500;6000;4;1;240;59;0,2490;239;4;1;1;1;1;1;0
6,7500;6480;4;2;240;59;0,2490;239;4;0;0;0;0;0;0
7,0000;6720;4;3;0;62;0,4990;479;8;0;0;0;0;0;0
7,5000;7200;5;1;0;62;0,3740;359;6;1;0;1;0;0;0
7,8750;7560;5;1;360;66;0,1240;119;2;0;0;0;0;0;0
8,0000;7680;5;2;0;66;0,1240;119;2;0;0;0;0;0;0
8,1250;7800;5;2;120;64;0,1240;119;2;0;0;0;0;0;0
8,2500;7920;5;2;240;62;0,1240;119;2;0;0;0;0;0;0
8,3750;8040;5;2;360;62;0,1240;119;2;1;0;1;0;0;0
8,5000;8160;5;3;0;59;0,1240;119;2;0;0;0;0;0;0
8,6250;8280;5;3;120;57;0,1240;119;2;0;0;0;0;0;0
8,7500;8400;5;3;240;59;0,2490;239;4;0;0;0;0;0;0
9,0000;8640;6;1;0;59;0,4990;479;8;1;1;1;0;1;0
9,5000;9120;6;2;0;57;0,1240;119;2;0;0;0;0;0;0
9,6250;9240;6;2;120;55;0,1240;119;2;0;0;0;0;0;0
9,7500;9360;6;2;240;57;0,2490;239;4;0;0;0;0;0;0
10,0000;9600;6;3;0;57;0,4990;479;8;0;0;0;0;0;0
10,5000;10080;7;1;0;55;0,2490;239;4;1;0;1;1;1;0
11,0000;10560;7;2;0;50;0,2490;239;4;0;0;0;0;0;0
11,2500;10800;7;2;240;50;0,2490;239;4;0;0;0;0;0;0
11,5000;11040;7;3;0;50;0,2490;239;4;0;0;0;0;0;0
11,7500;11280;7;3;240;50;0,4990;479;8;1;1;1;0;0;0
12,2500;11760;8;1;240;54;0,2490;239;4;0;0;0;0;0;0
12,5000;12000;8;2;0;57;0,4990;479;8;0;0;1;0;0;0
13,0000;12480;8;3;0;54;0,4990;479;8;0;0;0;0;0;0
13,5000;12960;9;1;0;54;0,1240;119;2;0;0;1;1;0;0
13,6250;13080;9;1;120;50;0,3740;359;6;1;0;0;0;0;0
14,0000;13440;9;2;0;50;0,2490;239;4;0;0;0;0;0;0
14,2500;13680;9;2;240;50;0,4990;479;8;1;1;1;0;1;0
14,7500;14160;9;3;240;54;0,2490;239;4;0;0;0;0;0;0
15,0000;14400;10;1;0;57;0,2490;239;4;1;0;0;0;0;0
15,2500;14640;10;1;240;57;0,1240;119;2;0;0;1;1;0;0
15,3750;14760;10;1;360;50;0,1240;119;2;0;0;0;0;0;0
15,5000;14880;10;2;0;50;0,2490;239;4;0;0;1;0;0;0
15,7500;15120;10;2;240;54;0,4990;479;8;1;1;0;0;0;0
16,2500;15600;10;3;240;54;0,2490;239;4;0;0;1;0;0;0
16,5000;15840;11;1;0;50;0,2490;239;4;0;0;0;0;0;0
16,7500;16080;11;1;240;50;0,2490;239;4;1;1;1;1;1;0
17,7500;17040;11;3;240;54;0,1240;119;2;0;0;0;0;0;0
17,8750;17160;11;3;360;50;0,3740;359;6;0;0;0;0;0;0
18,2500;17520;12;1;240;50;0,4990;479;8;1;0;1;0;0;0
18,7500;18000;12;2;240;54;0,1240;119;2;0;0;0;0;0;0
18,8750;18120;12;2;360;50;0,3740;359;6;0;0;0;0;0;0
19,2500;18480;12;3;240;50;0,4990;479;8;1;0;1;0;1;0
20,0000;19200;13;2;0;50;0,2490;239;4;0;0;0;0;0;0
20,2500;19440;13;2;240;50;0,4990;479;8;1;1;0;0;0;0
20,7500;19920;13;3;240;50;0,2490;239;4;0;0;1;1;0;0
21,0000;20160;14;1;0;62;0,4990;479;8;0;0;0;0;0;0
21,5000;20640;14;2;0;62;0,3740;359;6;1;1;1;0;0;0
21,8750;21000;14;2;360;66;0,1240;119;2;0;0;0;0;0;0
22,0000;21120;14;3;0;66;0,1240;119;2;0;0;0;0;0;0
22,1250;21240;14;3;120;64;0,1240;119;2;0;0;0;0;0;0
22,2500;21360;14;3;240;62;0,1240;119;2;0;0;0;0;0;0
22,3750;21480;14;3;360;62;0,1240;119;2;0;0;0;0;0;0
22,5000;21600;15;1;0;59;0,2490;239;4;1;1;1;1;1;0
23,0000;22080;15;2;0;59;0,2490;239;4;0;0;0;0;0;0
23,2500;22320;15;2;240;62;0,4990;479;8;0;0;0;0;0;0
23,7500;22800;15;3;240;62;0,3740;359;6;1;0;1;0;0;0
24,1250;23160;16;1;120;66;0,1240;119;2;0;0;0;0;0;0
24,2500;23280;16;1;240;66;0,1240;119;2;0;0;0;0;0;0
24,3750;23400;16;1;360;64;0,1240;119;2;0;0;0;0;0;0
24,5000;23520;16;2;0;62;0,1240;119;2;0;0;0;0;0;0
24,6250;23640;16;2;120;62;0,1240;119;2;1;0;1;0;0;0
24,7500;23760;16;2;240;59;0,1240;119;2;0;0;0;0;0;0
24,8750;23880;16;2;360;57;0,1240;119;2;0;0;0;0;0;0
25,0000;24000;16;3;0;59;0,2490;239;4;0;0;0;0;0;0
25,2500;24240;16;3;240;59;0,4990;479;8;1;1;1;0;1;0
25,7500;24720;17;1;240;57;0,1240;119;2;0;0;0;0;0;0
25,8750;24840;17;1;360;55;0,1240;119;2;0;0;0;0;0;0
26,0000;24960;17;2;0;57;0,2490;239;4;0;0;0;0;0;0
26,2500;25200;17;2;240;57;0,4990;479;8;0;0;0;0;0;0
26,7500;25680;17;3;240;55;0,2490;239;4;1;0;1;1;1;0
27,2500;26160;18;1;240;50;0,2490;239;4;0;0;0;0;0;0
27,5000;26400;18;2;0;50;0,2490;239;4;0;0;0;0;0;0
27,7500;26640;18;2;240;50;0,2490;239;4;0;0;0;0;0;0
28,0000;26880;18;3;0;50;0,4990;479;8;1;1;1;0;0;0
28,5000;27360;19;1;0;54;0,2490;239;4;0;0;0;0;0;0
28,7500;27600;19;1;240;57;0,4990;479;8;0;0;1;0;0;0
29,2500;28080;19;2;240;54;0,4990;479;8;0;0;0;0;0;0
29,7500;28560;19;3;240;54;0,1240;119;2;0;0;1;1;0;0
29,8750;28680;19;3;360;50;0,3740;359;6;1;0;0;0;0;0
30,2500;29040;20;1;240;50;0,2490;239;4;0;0;0;0;0;0
30,5000;29280;20;2;0;50;0,4990;479;8;1;1;1;0;1;0
31,0000;29760;20;3;0;54;0,2490;239;4;0;0;0;0;0;0
31,2500;30000;20;3;240;57;0,2490;239;4;1;0;0;0;0;0
31,5000;30240;21;1;0;57;0,1240;119;2;0;0;1;1;0;0
31,6250;30360;21;1;120;50;0,1240;119;2;0;0;0;0;0;0
31,7500;30480;21;1;240;50;0,2490;239;4;0;0;1;0;0;0
32,0000;30720;21;2;0;54;0,4990;479;8;1;1;0;0;0;0
32,5000;31200;21;3;0;54;0,2490;239;4;0;0;1;0;0;0
32,7500;31440;21;3;240;50;0,2490;239;4;0;0;0;0;0;0
33,0000;31680;22;1;0;50;0,2490;239;4;1;1;1;1;1;0
34,0000;32640;22;3;0;54;0,1240;119;2;0;0;0;0;0;0
34,1250;32760;22;3;120;50;0,3740;359;6;0;0;0;0;0;0
34,5000;33120;23;1;0;50;0,4990;479;8;1;0;1;0;0;0
35,0000;33600;23;2;0;54;0,1240;119;2;0;0;0;0;0;0
35,1250;33720;23;2;120;50;0,3740;359;6;0;0;0;0;0;0
35,5000;34080;23;3;0;50;0,4990;479;8;1;0;1;1;1;0
36,2500;34800;24;1;240;50;0,2490;239;4;0;0;0;0;0;0
36,5000;35040;24;2;0;50;0,4990;479;8;1;1;1;0;0;0
37,0000;35520;24;3;0;50;0,2490;239;4;0;0;0;0;0;0
37,2500;35760;24;3;240;54;0,2490;239;4;0;0;0;0;0;0
37,5000;36000;25;1;0;50;0,2490;239;4;1;0;1;0;0;0
37,7500;36240;25;1;240;54;0,2490;239;4;0;0;0;0;0;0
38,0000;36480;25;2;0;57;0,2490;239;4;0;0;0;0;0;0
38,2500;36720;25;2;240;54;0,2490;239;4;1;0;1;0;0;0
38,5000;36960;25;3;0;50;0,2490;239;4;0;0;0;0;0;0
38,7500;37200;25;3;240;50;0,2490;239;4;0;0;0;0;0;0
39,0000;37440;26;1;0;50;0,2490;239;4;0;0;0;0;0;0
39,2500;37680;26;1;240;54;0,1240;119;2;0;0;1;0;0;0
39,3750;37800;26;1;360;50;0,3740;359;6;0;0;0;0;0;0
39,7500;38160;26;2;240;50;0,4990;479;8;1;1;1;0;1;0
40,5000;38880;27;1;0;50;0,2490;239;4;0;0;0;0;0;0
40,7500;39120;27;1;240;50;0,2490;239;4;1;0;1;1;0;0
41,2500;39600;27;2;240;62;0,4990;479;8;0;0;0;0;0;0
41,7500;40080;27;3;240;62;0,2490;239;4;0;0;0;0;0;0
42,0000;40320;28;1;0;62;0,1240;119;2;0;0;1;0;0;0
42,1250;40440;28;1;120;57;0,3740;359;6;1;1;0;0;0;0
42,5000;40800;28;2;0;59;0,2490;239;4;0;0;0;0;0;0
42,7500;41040;28;2;240;59;0,0615;59;1;0;0;0;0;0;0
42,8125;41100;28;2;300;57;0,3115;299;5;1;0;1;0;1;0
43,1250;41400;28;3;120;54;0,1240;119;2;0;0;0;0;0;0
43,2500;41520;28;3;240;57;0,0615;59;1;1;0;1;0;0;0
43,3125;41580;28;3;300;54;0,1865;179;3;0;0;0;0;0;0
43,5000;41760;29;1;0;54;0,2490;239;4;0;0;1;0;0;0
43,7500;42000;29;1;240;50;0,2490;239;4;0;0;0;0;0;0
44,0000;42240;29;2;0;50;0,2490;239;4;0;0;0;0;0;0
44,2500;42480;29;2;240;50;0,2490;239;4;0;0;0;0;0;0
44,5000;42720;29;3;0;50;0,4990;479;8;1;1;1;1;1;0
45,0000;43200;30;1;0;54;0,2490;239;4;0;0;0;0;0;0
45,2500;43440;30;1;240;57;0,3740;359;6;1;0;1;0;0;0
45,6250;43800;30;2;120;54;0,1240;119;2;0;0;0;0;0;0
45,7500;43920;30;2;240;57;0,1240;119;2;0;0;1;0;0;0
45,8750;44040;30;2;360;54;0,1240;119;2;0;0;0;0;0;0
46,0000;44160;30;3;0;54;0,2490;239;4;0;0;0;0;0;0
46,2500;44400;30;3;240;54;0,0615;59;1;1;0;1;0;0;0
46,3125;44460;30;3;300;50;0,1865;179;3;0;0;0;0;0;0
46,5000;44640;31;1;0;50;0,2490;239;4;0;0;0;0;0;0
46,7500;44880;31;1;240;50;0,2490;239;4;0;0;0;0;0;0
47,0000;45120;31;2;0;50;0,4990;479;8;1;1;1;0;1;0
47,5000;45600;31;3;0;54;0,2490;239;4;0;0;0;0;0;0
47,7500;45840;31;3;240;57;0,3740;359;6;1;1;1;0;0;0
48,1250;46200;32;1;120;50;0,1240;119;2;0;0;0;0;0;0
48,2500;46320;32;1;240;50;0,3740;359;6;1;1;1;1;0;0
48,6250;46680;32;2;120;54;0,1240;119;2;0;0;0;0;0;0
48,7500;46800;32;2;240;54;0,2490;239;4;0;0;0;0;0;0
49,0000;47040;32;3;0;54;0,2490;239;4;0;0;1;0;0;0
49,2500;47280;32;3;240;50;0,2490;239;4;0;0;0;0;0;0
49,5000;47520;33;1;0;45;0,2490;239;4;0;0;0;0;0;0
49,7500;47760;33;1;240;50;0,2490;239;4;1;1;1;1;1;0
50,2500;48240;33;2;240;50;0,2490;239;4;0;0;0;0;0;0
