Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
1,0000;960;0;3;0;61;0,1656;159;2;0;0;0;0;0;0
1,1667;1120;0;3;160;61;0,1656;159;2;0;1;0;0;0;0
1,3333;1280;0;3;320;61;0,1656;159;2;0;1;0;0;0;0
1,5000;1440;1;1;0;61;0,4990;479;6;0;0;1;1;1;0
2,0000;1920;1;2;0;61;0,4990;479;6;1;0;0;0;0;0
2,5000;2400;1;3;0;61;0,2490;239;3;0;0;0;0;0;0
2,7500;2640;1;3;240;61;0,2490;239;3;0;0;1;0;0;0
3,0000;2880;2;1;0;59;0,1656;159;2;1;0;0;0;0;0
3,1667;3040;2;1;160;59;0,1656;159;2;0;0;0;0;0;0
3,3333;3200;2;1;320;59;0,0823;79;1;1;1;1;1;0;0
3,5000;3360;2;2;0;61;0,1656;159;2;0;0;0;0;0;0
3,6667;3520;2;2;160;61;0,1656;159;2;0;0;0;0;0;0
3,8333;3680;2;2;320;61;0,1656;159;2;1;0;0;0;0;0
4,0000;3840;2;3;0;59;0,4990;479;6;0;0;1;0;1;0
4,5000;4320;3;1;0;59;0,4990;479;6;1;0;0;0;0;0
5,0000;4800;3;2;0;59;0,2490;239;3;0;0;1;0;0;0
5,2500;5040;3;2;240;56;0,2490;239;3;1;0;0;0;0;0
5,5000;5280;3;3;0;54;0,1656;159;2;0;0;0;0;0;0
5,6667;5440;3;3;160;54;0,1656;159;2;0;0;0;0;0;0
5,8333;5600;3;3;320;54;0,0823;79;1;1;1;1;1;0;0
6,0000;5760;4;1;0;59;0,1656;159;2;0;0;0;0;0;0
6,1667;5920;4;1;160;59;0,1656;159;2;0;0;0;0;0;0
6,3333;6080;4;1;320;61;0,1656;159;2;0;1;0;0;0;0
6,5000;6240;4;2;0;59;0,4990;479;6;0;0;1;0;1;0
7,0000;6720;4;3;0;59;0,4990;479;6;1;0;0;0;0;0
7,5000;7200;5;1;0;59;0,2490;239;3;0;0;1;0;0;0
7,7500;7440;5;1;240;56;0,2490;239;3;1;0;0;0;0;0
8,0000;7680;5;2;0;54;0,1656;159;2;0;0;0;0;0;0
