Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,7500;720;0;2;240;59;0,2490;239;2;0;0;0;0;0;0
1,0000;960;1;1;0;61;0,9990;959;8;1;0;1;1;0;1
2,0000;1920;2;1;0;61;0,1240;119;1;0;0;0;0;0;0
2,1250;2040;2;1;120;59;0,1240;119;1;1;1;1;0;0;0
2,3750;2280;2;1;360;63;0,1240;119;1;0;0;0;0;0;0
2,5000;2400;2;2;0;61;0,3740;359;3;1;0;1;0;0;0
2,8750;2760;2;2;360;59;0,1240;119;1;0;0;0;0;0;0
3,0000;2880;3;1;0;59;0,4990;479;4;1;0;1;1;1;1
3,8750;3720;3;2;360;59;0,1240;119;1;0;0;0;0;0;0
4,0000;3840;4;1;0;61;0,3740;359;3;1;0;0;0;0;0
4,3750;4200;4;1;360;59;0,1240;119;1;0;0;0;0;0;0
4,5000;4320;4;2;0;61;0,4990;479;4;0;0;0;0;0;1
5,0000;4800;5;1;0;59;0,4990;479;4;0;0;0;0;0;1
5,5000;5280;5;2;0;61;0,1240;119;1;0;0;0;0;0;0
5,6250;5400;5;2;120;59;0,2490;239;2;1;0;1;0;0;0
5,8750;5640;5;2;360;63;0,1240;119;1;0;0;0;0;0;0
6,0000;5760;6;1;0;61;0,3740;359;3;1;0;1;0;0;0
6,3750;6120;6;1;360;59;0,1240;119;1;0;0;0;0;0;0
6,5000;6240;6;2;0;59;0,4990;479;4;1;1;1;1;1;1
7,3750;7080;7;1;360;63;0,1240;119;1;0;0;0;0;0;0
7,5000;7200;7;2;0;63;0,4990;479;4;0;0;0;0;0;1
8,0000;7680;8;1;0;63;0,9990;959;8;1;0;1;0;0;1
9,0000;8640;9;1;0;63;0,1240;119;1;0;0;0;0;0;0
9,1250;8760;9;1;120;59;0,1240;119;1;1;0;1;1;0;0
9,3750;9000;9;1;360;63;0,1240;119;1;0;0;0;0;0;0
9,5000;9120;9;2;0;63;0,1240;119;1;0;0;0;0;0;0
9,6250;9240;9;2;120;59;0,1240;119;1;1;0;1;0;0;0
9,8750;9480;9;2;360;61;0,1240;119;1;0;0;0;0;0;0
10,0000;9600;10;1;0;61;0,3740;359;3;1;1;1;0;0;0
10,3750;9960;10;1;360;59;0,1240;119;1;0;0;0;0;0;0
10,5000;10080;10;2;0;59;0,4990;479;4;1;1;1;1;1;1
11,3750;10920;11;1;360;61;0,1240;119;1;0;0;0;0;0;0
11,5000;11040;11;2;0;61;0,3740;359;3;1;0;1;0;0;0
11,8750;11400;11;2;360;59;0,1240;119;1;0;0;0;0;0;0
12,0000;11520;12;1;0;61;0,4990;479;4;0;0;1;0;0;1
12,5000;12000;12;2;0;59;0,4990;479;4;0;0;0;0;0;1
13,0000;12480;13;1;0;59;0,3740;359;3;1;0;1;0;0;0
13,3750;12840;13;1;360;59;0,1240;119;1;0;0;0;0;0;0
13,5000;12960;13;2;0;59;0,3740;359;3;1;0;1;0;0;0
13,8750;13320;13;2;360;59;0,1240;119;1;0;0;0;0;0;0
14,0000;13440;14;1;0;59;0,4990;479;4;0;0;0;0;0;1
14,5000;13920;14;2;0;59;0,4990;479;4;1;1;1;1;1;1
15,2500;14640;15;1;240;61;0,2490;239;2;0;0;0;0;0;0
15,5000;14880;15;2;0;61;0,4990;479;4;1;0;0;0;0;1
16,0000;15360;16;1;0;61;0,2490;239;2;0;0;1;0;0;0
16,2500;15600;16;1;240;59;0,2490;239;2;0;0;0;0;0;0
16,5000;15840;16;2;0;59;0,4990;479;4;1;1;1;1;0;1
17,2500;16560;17;1;240;61;0,2490;239;2;0;0;0;0;0;0
17,5000;16800;17;2;0;61;0,2490;239;2;0;0;1;0;0;0
17,7500;17040;17;2;240;59;0,2490;239;2;0;0;0;0;0;0
18,0000;17280;18;1;0;59;0,2490;239;2;0;0;0;0;0;0
18,2500;17520;18;1;240;58;0,2490;239;2;0;0;0;0;0;0
18,5000;17760;18;2;0;59;0,4990;479;4;1;1;1;1;1;1
19,3750;18600;19;1;360;63;0,1240;119;1;0;0;0;0;0;0
19,5000;18720;19;2;0;63;0,7490;719;6;1;0;1;0;0;1
20,2500;19440;20;1;240;63;0,2490;239;2;0;0;0;0;0;0
20,5000;19680;20;2;0;63;0,2490;239;2;0;0;0;0;0;0
20,7500;19920;20;2;240;59;0,1240;119;1;0;0;1;0;0;0
21,0000;20160;21;1;0;63;0,3740;359;3;1;1;0;0;0;0
21,3750;20520;21;1;360;63;0,1240;119;1;0;0;0;0;0;0
21,5000;20640;21;2;0;63;0,2490;239;2;0;0;1;1;0;0
21,7500;20880;21;2;240;59;0,2490;239;2;0;0;0;0;0;0
22,0000;21120;22;1;0;59;0,2490;239;2;1;1;1;0;0;0
22,3750;21480;22;1;360;61;0,1240;119;1;0;0;0;0;0;0
22,5000;21600;22;2;0;59;0,4990;479;4;1;0;0;0;0;1
23,0000;22080;23;1;0;59;0,3740;359;3;0;0;1;0;0;0
23,3750;22440;23;1;360;58;0,1240;119;1;0;0;0;0;0;0
23,5000;22560;23;2;0;59;0,4990;479;4;1;0;1;1;1;1
24,5000;23520;24;2;0;61;0,9990;959;8;0;0;0;0;0;1
25,5000;24480;25;2;0;61;0,1240;119;1;0;0;0;0;0;0
25,6250;24600;25;2;120;59;0,1240;119;1;1;1;1;0;0;0
25,8750;24840;25;2;360;61;0,1240;119;1;0;0;0;0;0;0
26,0000;24960;26;1;0;61;0,1240;119;1;1;0;1;0;0;0
26,1250;25080;26;1;120;59;0,3740;359;3;0;0;0;0;0;0
26,5000;25440;26;2;0;61;0,9990;959;8;1;1;1;1;1;1
