Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;46;0,4990;479;2;0;0;0;0;0;0
0,5000;480;1;2;0;51;0,4990;479;2;1;1;1;0;0;0
1,0000;960;2;1;0;49;0,2490;239;1;0;0;0;0;0;0
1,2500;1200;2;1;240;49;0,2490;239;1;0;0;1;0;0;0
1,5000;1440;2;2;0;51;0,2490;239;1;0;0;0;0;0;0
1,7500;1680;2;2;240;51;0,2490;239;1;0;0;0;0;0;0
2,0000;1920;3;1;0;51;0,4990;479;2;0;0;0;0;0;0
2,5000;2400;3;2;0;51;0,7490;719;3;1;1;1;0;1;0
3,2500;3120;4;1;240;49;0,2490;239;1;0;0;0;0;0;0
3,5000;3360;4;2;0;51;0,4990;479;2;0;0;0;0;0;0
4,0000;3840;5;1;0;53;0,4990;479;2;1;0;1;1;0;0
4,5000;4320;5;2;0;49;0,2490;239;1;0;0;0;0;0;0
4,7500;4560;5;2;240;49;0,2490;239;1;0;0;1;0;0;0
5,0000;4800;6;1;0;51;0,2490;239;1;0;0;0;0;0;0
5,2500;5040;6;1;240;51;0,2490;239;1;0;0;0;0;0;0
5,5000;5280;6;2;0;51;0,4990;479;2;0;0;0;0;0;0
6,0000;5760;7;1;0;51;0,4990;479;2;1;0;1;1;1;0
7,0000;6720;8;1;0;51;0,4990;479;2;0;0;0;0;0;0
7,5000;7200;8;2;0;51;0,4990;479;2;0;0;0;0;0;0
8,0000;7680;9;1;0;51;0,7490;719;3;1;1;1;0;0;0
8,7500;8400;9;2;240;49;0,2490;239;1;0;0;0;0;0;0
9,0000;8640;10;1;0;51;0,2490;239;1;0;0;0;0;0;0
9,2500;8880;10;1;240;51;0,2490;239;1;0;0;0;0;0;0
9,5000;9120;10;2;0;51;0,4990;479;2;0;0;0;0;0;0
10,0000;9600;11;1;0;51;0,4990;479;2;1;1;1;1;1;0
11,0000;10560;12;1;0;46;0,4990;479;2;0;0;0;0;0;0
11,5000;11040;12;2;0;51;0,4990;479;2;1;0;1;0;0;0
12,0000;11520;13;1;0;49;0,2490;239;1;0;0;0;0;0;0
12,2500;11760;13;1;240;49;0,2490;239;1;0;0;1;0;0;0
12,5000;12000;13;2;0;51;0,2490;239;1;0;0;0;0;0;0
12,7500;12240;13;2;240;51;0,2490;239;1;0;0;0;0;0;0
13,0000;12480;14;1;0;51;0,4990;479;2;0;0;0;0;0;0
13,5000;12960;14;2;0;51;0,4990;479;2;1;1;1;1;1;0
14,5000;13920;15;2;0;46;0,4990;479;2;0;0;0;0;0;0
15,0000;14400;16;1;0;51;0,4990;479;2;1;0;1;0;0;0
15,5000;14880;16;2;0;49;0,2490;239;1;0;0;0;0;0;0
15,7500;15120;16;2;240;49;0,2490;239;1;0;0;1;0;0;0
16,0000;15360;17;1;0;51;0,2490;239;1;0;0;0;0;0;0
16,2500;15600;17;1;240;51;0,2490;239;1;0;0;0;0;0;0
16,5000;15840;17;2;0;51;0,4990;479;2;0;0;0;0;0;0
17,0000;16320;18;1;0;51;0,4990;479;2;1;0;1;1;1;0
18,0000;17280;19;1;0;51;0,4990;479;2;0;0;0;0;0;0
18,5000;17760;19;2;0;51;0,4990;479;2;0;0;0;0;0;0
19,0000;18240;20;1;0;51;0,7490;719;3;1;1;1;0;0;0
19,7500;18960;20;2;240;46;0,2490;239;1;0;0;0;0;0;0
20,0000;19200;21;1;0;51;0,2490;239;1;0;0;0;0;0;0
20,2500;19440;21;1;240;51;0,2490;239;1;0;0;0;0;0;0
20,5000;19680;21;2;0;51;0,4990;479;2;0;0;0;0;0;0
21,0000;20160;22;1;0;51;0,4990;479;2;1;0;1;1;1;0
22,0000;21120;23;1;0;51;0,4990;479;2;0;0;0;0;0;0
22,5000;21600;23;2;0;53;0,4990;479;2;1;0;0;0;0;0
23,0000;22080;24;1;0;51;0,2490;239;1;0;0;1;0;0;0
23,2500;22320;24;1;240;55;0,2490;239;1;0;0;0;0;0;0
23,5000;22560;24;2;0;53;0,2490;239;1;0;0;0;0;0;0
23,7500;22800;24;2;240;53;0,2490;239;1;0;0;0;0;0;0
24,0000;23040;25;1;0;53;0,4990;479;2;0;0;0;0;0;0
24,5000;23520;25;2;0;53;0,7490;719;3;1;1;1;1;0;0
25,2500;24240;26;1;240;51;0,2490;239;1;0;0;0;0;0;0
25,5000;24480;26;2;0;49;0,4990;479;2;0;0;0;0;1;0
26,0000;24960;27;1;0;51;0,4990;479;2;1;0;1;0;0;0
26,5000;25440;27;2;0;49;0,2490;239;1;0;0;0;0;0;0
26,7500;25680;27;2;240;49;0,2490;239;1;0;0;1;0;0;0
27,0000;25920;28;1;0;51;0,2490;239;1;0;0;0;0;0;0
27,2500;26160;28;1;240;51;0,2490;239;1;0;0;0;0;0;0
27,5000;26400;28;2;0;51;0,4990;479;2;0;0;0;0;0;0
28,0000;26880;29;1;0;51;0,4990;479;2;1;1;1;1;1;0
29,0000;27840;30;1;0;46;0,4990;479;2;0;0;0;0;0;0
29,5000;28320;30;2;0;53;0,4990;479;2;1;0;0;0;0;0
30,0000;28800;31;1;0;51;0,2490;239;1;0;0;1;0;0;0
30,2500;29040;31;1;240;55;0,2490;239;1;0;0;0;0;0;0
30,5000;29280;31;2;0;53;0,2490;239;1;0;0;0;0;0;0
30,7500;29520;31;2;240;53;0,2490;239;1;0;0;0;0;0;0
31,0000;29760;32;1;0;53;0,4990;479;2;0;0;0;0;0;0
31,5000;30240;32;2;0;53;0,7490;719;3;1;1;1;1;0;0
32,2500;30960;33;1;240;51;0,2490;239;1;0;0;0;0;0;0
32,5000;31200;33;2;0;50;0,4990;479;2;0;0;0;0;1;0
33,0000;31680;34;1;0;51;0,4990;479;2;1;0;1;0;0;0
33,5000;32160;34;2;0;49;0,2490;239;1;0;0;0;0;0;0
33,7500;32400;34;2;240;49;0,2490;239;1;0;0;1;0;0;0
34,0000;32640;35;1;0;51;0,2490;239;1;0;0;0;0;0;0
34,2500;32880;35;1;240;51;0,2490;239;1;0;0;0;0;0;0
34,5000;33120;35;2;0;51;0,4990;479;2;0;0;0;0;0;0
35,0000;33600;36;1;0;51;0,4990;479;2;1;1;1;1;1;0
36,0000;34560;37;1;0;51;0,2490;239;1;0;0;0;0;0;0
36,2500;34800;37;1;240;51;0,2490;239;1;0;0;0;0;0;0
36,5000;35040;37;2;0;51;0,4990;479;2;0;0;0;0;0;0
37,0000;35520;38;1;0;51;0,4990;479;2;1;0;1;0;0;0
38,0000;36480;39;1;0;51;0,2490;239;1;0;0;0;0;0;0
38,2500;36720;39;1;240;51;0,2490;239;1;0;0;0;0;0;0
38,5000;36960;39;2;0;51;0,4990;479;2;0;0;0;0;0;0
39,0000;37440;40;1;0;51;0,4990;479;2;1;1;1;1;1;0
40,0000;38400;41;1;0;46;0,4990;479;2;0;0;0;0;0;0
40,5000;38880;41;2;0;51;0,4990;479;2;1;0;1;0;0;0
