Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;58;0,4990;479;8;0;0;0;0;0;0
0,5000;480;1;2;0;58;0,4990;479;8;0;0;0;0;0;0
1,0000;960;1;3;0;58;0,3740;359;6;1;1;1;0;0;0
1,3750;1320;1;3;360;55;0,1240;119;2;0;0;0;0;0;0
1,5000;1440;2;1;0;58;0,4990;479;8;0;0;0;0;0;0
2,0000;1920;2;2;0;58;0,4990;479;8;0;0;0;0;0;0
2,5000;2400;2;3;0;58;0,2490;239;4;0;0;1;0;1;0
3,0000;2880;3;1;0;58;0,4990;479;8;0;0;0;0;0;0
3,5000;3360;3;2;0;58;0,1240;119;2;0;0;0;0;0;0
3,6250;3480;3;2;120;55;0,3740;359;6;0;0;0;0;0;0
4,0000;3840;3;3;0;58;0,7490;719;12;1;1;1;1;0;0
4,7500;4560;4;1;240;58;0,1240;119;2;0;0;0;0;0;0
4,8750;4680;4;1;360;55;0,1240;119;2;0;0;0;0;0;0
5,0000;4800;4;2;0;53;0,4990;479;8;1;1;1;0;0;0
5,5000;5280;4;3;0;53;0,1240;119;2;0;0;0;0;0;0
5,6250;5400;4;3;120;50;0,3740;359;6;0;0;1;0;1;0
6,0000;5760;5;1;0;55;0,4990;479;8;0;1;0;0;0;0
6,5000;6240;5;2;0;53;0,2490;239;4;0;0;0;0;0;0
6,7500;6480;5;2;240;53;0,1240;119;2;0;0;0;0;0;0
6,8750;6600;5;2;360;50;0,1240;119;2;0;0;0;0;0;0
7,0000;6720;5;3;0;46;0,4990;479;8;1;0;1;0;0;0
7,5000;7200;6;1;0;46;0,2490;239;4;0;0;0;0;0;0
7,7500;7440;6;1;240;46;0,2490;239;4;1;1;1;1;1;0
8,2500;7920;6;2;240;50;0,2490;239;4;0;0;0;0;0;0
8,5000;8160;6;3;0;53;0,4990;479;8;1;0;1;0;0;0
9,0000;8640;7;1;0;53;0,1240;119;2;0;0;0;0;0;0
9,1250;8760;7;1;120;50;0,3740;359;6;0;0;1;1;0;0
9,5000;9120;7;2;0;55;0,4990;479;8;0;1;0;0;0;0
10,0000;9600;7;3;0;53;0,2490;239;4;0;0;0;0;0;0
10,2500;9840;7;3;240;53;0,1240;119;2;0;0;0;0;0;0
10,3750;9960;7;3;360;50;0,1240;119;2;0;0;0;0;0;0
