Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
1,0000;960;2;1;0;58;0,3740;359;3;0;0;1;0;0;0
1,3750;1320;2;1;360;60;0,1240;119;1;0;0;0;0;0;0
1,5000;1440;2;2;0;60;1,4990;1439;12;1;1;1;1;1;1
3,0000;2880;4;1;0;63;0,1240;119;1;0;0;0;0;0;0
3,1250;3000;4;1;120;61;0,1240;119;1;0;0;1;0;0;0
3,2500;3120;4;1;240;60;0,1240;119;1;0;0;0;0;0;0
3,3750;3240;4;1;360;60;0,1240;119;1;0;0;0;0;0;0
3,5000;3360;4;2;0;60;0,3740;359;3;1;0;1;0;0;0
3,8750;3720;4;2;360;60;0,1240;119;1;0;0;0;0;0;0
4,0000;3840;5;1;0;60;0,2490;239;2;1;0;0;0;0;0
4,2500;4080;5;1;240;60;0,1240;119;1;0;0;1;0;0;0
4,3750;4200;5;1;360;61;0,1240;119;1;0;0;0;0;0;0
4,5000;4320;5;2;0;60;0,4990;479;4;0;0;0;0;0;1
5,0000;4800;6;1;0;58;0,4990;479;4;0;0;0;0;0;1
5,5000;5280;6;2;0;60;0,4990;479;4;0;1;1;1;1;1
6,5000;6240;7;2;0;60;0,3740;359;3;0;1;0;0;0;0
6,8750;6600;7;2;360;61;0,1240;119;1;0;0;0;0;0;0
7,0000;6720;8;1;0;61;0,9990;959;8;1;0;1;0;0;1
8,0000;7680;9;1;0;61;0,2490;239;2;0;0;0;0;0;0
8,2500;7920;9;1;240;61;0,1240;119;1;0;0;0;0;0;0
8,3750;8040;9;1;360;63;0,1240;119;1;0;0;1;0;0;0
8,5000;8160;9;2;0;61;0,1240;119;1;1;1;0;0;0;0
8,7500;8400;9;2;240;61;0,1240;119;1;0;0;1;0;0;0
8,8750;8520;9;2;360;63;0,1240;119;1;0;0;0;0;0;0
9,0000;8640;10;1;0;61;0,4990;479;4;0;0;0;0;0;1
9,5000;9120;10;2;0;58;0,4990;479;4;0;0;0;0;0;1
10,0000;9600;11;1;0;61;0,4990;479;4;1;1;1;1;1;1
10,8750;10440;11;2;360;61;0,1240;119;1;0;0;0;0;0;0
