Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;50;0,2490;239;6;0;0;0;0;0;0
0,2500;240;1;1;240;50;0,2490;239;6;1;0;1;1;0;0
0,5000;480;1;2;0;57;0,2490;239;6;0;0;0;0;0;0
0,7500;720;1;2;240;57;0,2490;239;6;0;0;0;0;0;0
1,0000;960;1;3;0;57;0,4990;479;12;1;1;0;0;0;0
1,5000;1440;2;1;0;57;0,2490;239;6;0;0;0;0;0;0
1,7500;1680;2;1;240;53;0,2490;239;6;1;0;0;0;0;0
2,0000;1920;2;2;0;57;0,4990;479;12;0;0;0;0;0;0
2,5000;2400;2;3;0;57;0,4990;479;12;1;0;0;0;1;0
3,0000;2880;3;1;0;57;0,2490;239;6;0;0;1;1;0;0
3,2500;3120;3;1;240;53;0,2490;239;6;0;0;0;0;0;0
3,5000;3360;3;2;0;53;0,2490;239;6;0;0;0;0;0;0
3,7500;3600;3;2;240;52;0,4990;479;12;1;1;1;0;0;0
4,2500;4080;3;3;240;53;0,2490;239;6;0;0;0;0;0;0
4,5000;4320;4;1;0;53;0,2490;239;6;0;0;0;0;0;0
4,7500;4560;4;1;240;53;0,4990;479;12;0;0;0;0;0;0
5,2500;5040;4;2;240;53;0,3740;359;9;0;0;1;0;0;0
5,6250;5400;4;3;120;52;0,1240;119;3;0;0;0;0;0;0
5,7500;5520;4;3;240;53;0,2490;239;6;0;0;0;0;0;0
6,0000;5760;5;1;0;53;0,2490;239;6;0;0;0;0;0;0
6,2500;6000;5;1;240;53;0,2490;239;6;1;1;1;1;1;0
6,7500;6480;5;2;240;52;0,2490;239;6;0;0;0;0;0;0
7,0000;6720;5;3;0;52;0,2490;239;6;0;0;1;0;0;0
7,2500;6960;5;3;240;53;0,2490;239;6;0;0;0;0;0;0
7,5000;7200;6;1;0;53;0,2490;239;6;0;0;0;0;0;0
7,7500;7440;6;1;240;53;0,4990;479;12;1;1;1;1;0;0
8,2500;7920;6;2;240;53;0,2490;239;6;0;0;0;0;0;0
8,5000;8160;6;3;0;52;0,2490;239;6;0;0;0;0;0;0
8,7500;8400;6;3;240;53;0,2490;239;6;0;0;0;0;0;0
9,0000;8640;7;1;0;53;0,2490;239;6;0;0;0;0;0;0
9,2500;8880;7;1;240;53;0,4990;479;12;1;0;1;0;1;0
9,7500;9360;7;2;240;53;0,2490;239;6;0;0;0;0;0;0
10,0000;9600;7;3;0;52;0,2490;239;6;0;0;0;0;0;0
10,2500;9840;7;3;240;52;0,2490;239;6;0;0;0;0;0;0
10,5000;10080;8;1;0;50;0,4990;479;12;1;1;1;1;0;0
11,0000;10560;8;2;0;52;0,2490;239;6;0;0;0;0;0;0
11,2500;10800;8;2;240;52;0,2490;239;6;0;0;0;0;0;0
11,5000;11040;8;3;0;52;0,4990;479;12;0;0;0;0;1;0
12,0000;11520;9;1;0;52;0,3740;359;9;0;0;1;0;0;0
12,3750;11880;9;1;360;50;0,1240;119;3;0;0;0;0;0;0
12,5000;12000;9;2;0;52;0,2490;239;6;0;0;0;0;0;0
12,7500;12240;9;2;240;52;0,2490;239;6;0;0;0;0;0;0
13,0000;12480;9;3;0;52;0,2490;239;6;1;0;1;1;0;0
13,5000;12960;10;1;0;52;0,2490;239;6;0;0;0;0;0;0
13,7500;13200;10;1;240;52;0,2490;239;6;0;0;0;0;0;0
14,0000;13440;10;2;0;52;0,2490;239;6;0;0;0;0;0;0
14,2500;13680;10;2;240;52;0,2490;239;6;0;0;0;0;0;0
14,5000;13920;10;3;0;53;0,4990;479;12;1;1;1;0;1;0
15,0000;14400;11;1;0;53;0,2490;239;6;0;0;0;0;0;0
15,2500;14640;11;1;240;52;0,2490;239;6;0;0;0;0;0;0
15,5000;14880;11;2;0;53;0,2490;239;6;0;0;0;0;0;0
15,7500;15120;11;2;240;53;0,2490;239;6;0;0;0;0;0;0
16,0000;15360;11;3;0;53;0,2490;239;6;0;0;0;0;0;0
16,2500;15600;11;3;240;53;0,2490;239;6;0;0;0;0;0;0
16,5000;15840;12;1;0;53;0,2490;239;6;1;0;1;0;0;0
16,7500;16080;12;1;240;52;0,2490;239;6;0;0;0;0;0;0
17,0000;16320;12;2;0;52;0,2490;239;6;0;0;0;0;0;0
17,2500;16560;12;2;240;50;0,4990;479;12;1;1;1;1;1;0
18,2500;17520;13;1;240;52;0,2490;239;6;0;0;0;0;0;0
18,5000;17760;13;2;0;52;0,2490;239;6;0;0;1;0;0;0
18,7500;18000;13;2;240;53;0,2490;239;6;0;0;0;0;0;0
19,0000;18240;13;3;0;53;0,2490;239;6;0;0;0;0;0;0
19,2500;18480;13;3;240;53;0,2490;239;6;0;0;0;0;0;0
19,5000;18720;14;1;0;52;0,2490;239;6;0;0;0;0;0;0
19,7500;18960;14;1;240;53;0,2490;239;6;1;1;1;0;0;0
20,2500;19440;14;2;240;53;0,1656;159;4;0;0;0;0;0;0
20,4167;19600;14;2;400;52;0,1656;159;4;0;0;0;0;0;0
20,5833;19760;14;3;80;52;0,1656;159;4;0;0;0;0;0;0
20,7500;19920;14;3;240;50;0,4990;479;12;1;1;1;1;1;0
21,7500;20880;15;2;240;52;0,2490;239;6;0;0;0;0;0;0
22,0000;21120;15;3;0;52;0,2490;239;6;0;0;0;0;0;0
22,2500;21360;15;3;240;53;0,4990;479;12;1;1;1;0;0;0
22,7500;21840;16;1;240;53;0,2490;239;6;0;0;0;0;0;0
23,0000;22080;16;2;0;52;0,2490;239;6;0;0;0;0;0;0
23,2500;22320;16;2;240;53;0,4990;479;12;1;0;1;0;0;0
23,7500;22800;16;3;240;52;0,2490;239;6;0;0;0;0;0;0
24,0000;23040;17;1;0;50;0,2490;239;6;0;0;0;0;0;0
24,2500;23280;17;1;240;52;0,4990;479;12;1;0;0;0;1;0
24,7500;23760;17;2;240;50;0,1656;159;4;0;0;1;0;0;0
24,9167;23920;17;2;400;45;0,1656;159;4;0;0;0;0;0;0
25,0833;24080;17;3;80;45;0,1656;159;4;1;1;1;0;0;0
25,2500;24240;17;3;240;50;0,2490;239;6;0;0;0;0;0;0
25,5000;24480;18;1;0;50;0,2490;239;6;1;0;1;0;0;0
26,0000;24960;18;2;0;50;0,2490;239;6;0;0;0;0;0;0
26,2500;25200;18;2;240;50;0,4990;479;12;0;0;0;0;0;0
26,7500;25680;18;3;240;45;0,4990;479;12;1;1;1;1;1;0
27,7500;26640;19;2;240;50;0,4990;479;12;0;0;0;0;0;0
28,2500;27120;19;3;240;52;0,1656;159;4;0;0;0;0;0;0
28,4167;27280;19;3;400;50;0,1656;159;4;1;0;0;0;0;0
28,5833;27440;20;1;80;50;0,1656;159;4;0;0;0;0;0;0
28,7500;27600;20;1;240;50;0,2490;239;6;0;0;0;0;0;0
29,0000;27840;20;2;0;50;0,2490;239;6;0;0;1;0;0;0
29,2500;28080;20;2;240;45;0,2490;239;6;0;0;0;0;0;0
29,5000;28320;20;3;0;45;0,2490;239;6;1;0;1;1;0;0
29,7500;28560;20;3;240;50;0,2490;239;6;0;0;0;0;0;0
30,0000;28800;21;1;0;50;0,2490;239;6;0;0;0;0;1;0
30,2500;29040;21;1;240;50;0,2490;239;6;0;0;0;0;0;0
30,5000;29280;21;2;0;50;0,2490;239;6;0;0;0;1;0;0
30,7500;29520;21;2;240;45;0,2490;239;6;0;0;0;0;0;0
31,0000;29760;21;3;0;50;0,2490;239;6;0;0;0;0;0;0
31,2500;30000;21;3;240;50;0,2490;239;6;0;0;0;0;0;0
31,5000;30240;22;1;0;50;0,2490;239;6;1;1;1;1;1;0
31,7500;30480;22;1;240;45;0,2490;239;6;0;0;0;0;0;0
32,0000;30720;22;2;0;45;0,2490;239;6;1;0;1;1;0;0
32,2500;30960;22;2;240;50;0,2490;239;6;0;0;0;0;0;0
32,5000;31200;22;3;0;50;0,2490;239;6;0;0;0;0;0;0
32,7500;31440;22;3;240;50;0,2490;239;6;0;0;0;0;0;0
33,0000;31680;23;1;0;50;0,2490;239;6;0;0;0;0;0;0
33,2500;31920;23;1;240;50;0,4990;479;12;0;0;0;1;0;0
33,7500;32400;23;2;240;45;0,4990;479;12;1;1;0;1;0;0
34,2500;32880;23;3;240;50;0,2490;239;6;0;0;0;0;0;0
34,5000;33120;24;1;0;50;0,2490;239;6;0;0;0;0;0;0
34,7500;33360;24;1;240;50;0,9990;959;24;1;1;1;1;1;1
