Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;64;0,1240;119;1;0;0;0;0;0;0
0,1250;120;1;1;120;64;0,3740;359;3;1;1;1;0;0;0
0,5000;480;1;2;0;64;0,1240;119;1;0;0;0;0;0;0
0,6250;600;1;2;120;62;0,4990;479;4;0;0;1;0;0;1
1,1250;1080;2;1;120;59;0,4990;479;4;0;0;0;0;0;1
1,6250;1560;2;2;120;59;0,4990;479;4;0;0;0;0;0;1
2,1250;2040;3;1;120;59;0,3740;359;3;1;1;1;1;0;0
2,5000;2400;3;2;0;64;0,1240;119;1;0;0;0;0;0;0
2,6250;2520;3;2;120;64;0,3740;359;3;1;1;1;0;1;0
3,0000;2880;4;1;0;64;0,1240;119;1;0;0;0;0;0;0
3,1250;3000;4;1;120;62;0,4990;479;4;0;0;1;0;0;1
3,6250;3480;4;2;120;59;0,4990;479;4;0;0;0;0;0;1
4,1250;3960;5;1;120;59;0,4990;479;4;0;0;0;0;0;1
4,6250;4440;5;2;120;59;0,3740;359;3;1;0;1;0;0;0
5,0000;4800;6;1;0;62;0,1240;119;1;0;0;0;0;0;0
5,1250;4920;6;1;120;62;0,3740;359;3;1;1;1;1;0;0
5,5000;5280;6;2;0;59;0,1240;119;1;0;0;0;0;0;0
5,6250;5400;6;2;120;59;0,3740;359;3;1;0;1;0;1;0
6,0000;5760;7;1;0;59;0,1240;119;1;0;0;0;0;0;0
6,1250;5880;7;1;120;57;0,3740;359;3;1;1;1;1;0;0
6,5000;6240;7;2;0;55;0,1240;119;1;0;0;0;0;0;0
6,6250;6360;7;2;120;55;0,3740;359;3;1;0;1;0;0;0
7,0000;6720;8;1;0;57;0,1240;119;1;0;0;0;0;0;0
7,1250;6840;8;1;120;55;0,3740;359;3;1;1;1;1;0;0
7,5000;7200;8;2;0;52;0,1240;119;1;0;0;0;0;0;0
7,6250;7320;8;2;120;52;0,4990;479;4;0;0;1;0;1;1
8,1250;7800;9;1;120;50;0,4990;479;4;0;0;0;0;0;1
8,6250;8280;9;2;120;47;0,3740;359;3;1;0;1;1;0;0
9,0000;8640;10;1;0;52;0,1240;119;1;0;0;0;0;0;0
9,1250;8760;10;1;120;52;0,4990;479;4;0;0;1;0;0;1
9,6250;9240;10;2;120;50;0,4990;479;4;1;0;0;0;0;1
10,1250;9720;11;1;120;47;0,2490;239;2;0;0;0;0;0;0
10,3750;9960;11;1;360;50;0,2490;239;2;0;0;0;0;0;0
10,6250;10200;11;2;120;47;0,3740;359;3;1;1;1;0;0;0
11,0000;10560;12;1;0;47;0,1240;119;1;0;0;0;0;0;0
11,1250;10680;12;1;120;47;0,9990;959;8;1;1;1;1;1;1
