Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;60;0,4990;479;8;0;0;0;0;0;0
0,5000;480;1;2;0;60;0,4990;479;8;0;0;0;0;0;0
1,0000;960;1;3;0;60;0,3740;359;6;1;0;1;1;0;0
1,3750;1320;1;3;360;57;0,1240;119;2;0;0;0;0;0;0
1,5000;1440;2;1;0;60;0,4990;479;8;0;0;1;0;1;0
2,0000;1920;2;2;0;60;0,4990;479;8;0;0;0;0;0;0
2,5000;2400;2;3;0;60;0,2490;239;4;1;1;1;1;0;0
2,8750;2760;2;3;360;60;0,1240;119;2;0;0;0;0;0;0
3,0000;2880;3;1;0;64;0,4990;479;8;1;1;1;0;0;0
3,5000;3360;3;2;0;60;0,3740;359;6;0;0;0;0;0;0
3,8750;3720;3;2;360;62;0,1240;119;2;0;0;0;0;0;0
4,0000;3840;3;3;0;60;0,4990;479;8;0;0;0;0;0;0
4,5000;4320;4;1;0;60;0,2490;239;4;0;0;0;0;1;0
5,0000;4800;4;2;0;60;0,3740;359;6;1;1;1;1;0;0
5,3750;5160;4;2;360;57;0,1240;119;2;0;0;0;0;0;0
5,5000;5280;4;3;0;57;0,0615;59;1;1;0;0;0;0;0
5,5625;5340;4;3;60;55;0,1865;179;3;0;0;1;0;0;0
5,7500;5520;4;3;240;57;0,4990;479;8;0;0;0;0;0;0
6,2500;6000;5;1;240;57;0,4990;479;8;0;0;1;1;0;0
6,7500;6480;5;2;240;57;0,1240;119;2;0;0;0;0;0;0
6,8750;6600;5;2;360;55;0,3740;359;6;1;1;1;0;0;0
7,2500;6960;5;3;240;52;0,2490;239;4;0;0;0;0;0;0
7,5000;7200;6;1;0;55;0,1240;119;2;0;0;0;0;0;0
7,6250;7320;6;1;120;55;0,1240;119;2;1;0;0;0;0;0
7,7500;7440;6;1;240;57;0,4990;479;8;0;0;0;1;1;0
8,2500;7920;6;2;240;57;0,4990;479;8;0;0;0;0;0;0
8,7500;8400;6;3;240;57;0,1240;119;2;0;0;0;0;0;0
8,8750;8520;6;3;360;55;0,3740;359;6;1;1;1;1;0;0
9,2500;8880;7;1;240;52;0,2490;239;4;0;0;0;0;0;0
9,5000;9120;7;2;0;48;0,2490;239;4;0;0;1;0;0;0
9,7500;9360;7;2;240;52;0,1240;119;2;0;0;0;0;0;0
9,8750;9480;7;2;360;52;0,3740;359;6;1;0;1;0;0;0
10,2500;9840;7;3;240;48;0,4990;479;8;0;0;0;0;0;0
10,7500;10320;8;1;240;48;0,4990;479;8;1;0;1;0;1;0
11,5000;11040;8;3;0;48;0,2490;239;4;0;0;0;0;0;0
11,7500;11280;8;3;240;48;0,3740;359;6;1;1;1;1;0;0
12,1250;11640;9;1;120;60;0,1240;119;2;0;0;0;0;0;0
12,2500;11760;9;1;240;64;0,4990;479;8;1;0;1;0;0;0
12,7500;12240;9;2;240;60;0,3740;359;6;0;0;0;0;0;0
13,1250;12600;9;3;120;62;0,1240;119;2;0;0;0;0;0;0
13,2500;12720;9;3;240;60;0,4990;479;8;0;0;0;0;0;0
13,7500;13200;10;1;240;60;0,2490;239;4;0;0;0;0;1;0
14,2500;13680;10;2;240;60;0,3740;359;6;1;1;1;1;0;0
14,6250;14040;10;3;120;57;0,1240;119;2;0;0;0;0;0;0
14,7500;14160;10;3;240;57;0,0615;59;1;1;0;0;0;0;0
14,8125;14220;10;3;300;55;0,1865;179;3;0;0;1;0;0;0
