Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,8750;840;0;2;360;61;0,1240;119;1;0;0;0;0;0;0
1,0000;960;1;1;0;61;0,3740;359;3;1;1;1;0;0;0
1,3750;1320;1;1;360;59;0,1240;119;1;0;0;0;0;0;0
1,5000;1440;1;2;0;61;0,4990;479;4;0;0;0;0;0;0
2,0000;1920;2;1;0;61;0,4990;479;4;1;0;1;1;1;0
2,8750;2760;2;2;360;61;0,1240;119;1;0;0;0;0;0;0
3,0000;2880;3;1;0;59;0,7490;719;6;1;1;1;0;0;0
3,7500;3600;3;2;240;59;0,2490;239;2;0;0;0;0;0;0
4,0000;3840;4;1;0;59;0,4990;479;4;0;0;0;0;0;0
4,5000;4320;4;2;0;59;0,3740;359;3;1;0;1;0;0;0
4,8750;4680;4;2;360;56;0,1240;119;1;0;0;0;0;0;0
5,0000;4800;5;1;0;56;0,9990;959;8;1;1;1;1;1;0
6,3750;6120;6;1;360;61;0,1240;119;1;0;0;0;0;0;0
6,5000;6240;6;2;0;61;0,3740;359;3;1;0;1;0;0;0
6,8750;6600;6;2;360;59;0,1240;119;1;0;0;0;0;0;0
7,0000;6720;7;1;0;61;0,4990;479;4;0;0;0;0;0;0
7,5000;7200;7;2;0;59;0,9990;959;8;1;1;1;1;1;0
8,7500;8400;8;2;240;59;0,2490;239;2;0;0;0;0;0;0
9,0000;8640;9;1;0;56;0,4990;479;4;0;0;0;0;0;0
9,5000;9120;9;2;0;54;0,4990;479;4;1;1;1;0;0;0
10,2500;9840;10;1;240;56;0,2490;239;2;0;0;0;0;0;0
10,5000;10080;10;2;0;56;0,4990;479;4;0;0;1;0;0;0
11,0000;10560;11;1;0;54;0,4990;479;4;0;0;0;0;0;0
11,5000;11040;11;2;0;54;1,4990;1439;12;1;1;1;1;1;0
13,2500;12720;13;1;240;59;0,2490;239;2;0;0;0;0;0;0
13,5000;12960;13;2;0;59;0,8740;839;7;1;1;1;0;0;0
14,3750;13800;14;1;360;54;0,1240;119;1;0;0;0;0;0;0
14,5000;13920;14;2;0;54;0,4990;479;4;0;0;0;0;0;0
15,0000;14400;15;1;0;54;0,2490;239;2;1;0;1;0;0;0
15,5000;14880;15;2;0;54;0,2490;239;2;0;0;0;0;0;0
15,7500;15120;15;2;240;54;0,2490;239;2;1;1;1;1;1;0
16,3750;15720;16;1;360;56;0,1240;119;1;0;0;0;0;0;0
16,5000;15840;16;2;0;54;0,4990;479;4;0;0;0;0;0;0
17,0000;16320;17;1;0;54;0,4990;479;4;0;0;0;0;0;0
17,5000;16800;17;2;0;51;0,2490;239;2;1;0;1;0;0;0
17,8750;17160;17;2;360;54;0,1240;119;1;0;0;0;0;0;0
18,0000;17280;18;1;0;54;0,3740;359;3;1;1;1;0;0;0
18,3750;17640;18;1;360;51;0,1240;119;1;0;0;0;0;0;0
18,5000;17760;18;2;0;54;0,4990;479;4;0;0;0;0;0;0
19,0000;18240;19;1;0;54;0,4990;479;4;1;0;1;1;1;0
19,7500;18960;19;2;240;54;0,2490;239;2;0;0;0;0;0;0
20,0000;19200;20;1;0;51;0,4990;479;4;1;1;0;0;0;0
20,5000;19680;20;2;0;47;0,2490;239;2;0;0;1;0;0;0
20,8750;20040;20;2;360;49;0,1240;119;1;0;0;0;0;0;0
21,0000;20160;21;1;0;49;0,4990;479;4;0;0;1;0;0;0
21,5000;20640;21;2;0;47;0,4990;479;4;0;0;0;0;0;0
22,0000;21120;22;1;0;47;1,4990;1439;12;1;1;1;1;1;0
23,8750;22920;23;2;360;61;0,1240;119;1;0;0;0;0;0;0
24,0000;23040;24;1;0;61;0,3740;359;3;1;1;1;0;0;0
24,3750;23400;24;1;360;59;0,1240;119;1;0;0;0;0;0;0
24,5000;23520;24;2;0;59;0,4990;479;4;0;0;0;0;0;0
25,0000;24000;25;1;0;59;0,2490;239;2;1;0;1;0;0;0
25,5000;24480;25;2;0;59;0,2490;239;2;0;0;0;0;0;0
25,7500;24720;25;2;240;59;0,2490;239;2;1;0;1;1;1;0
26,3750;25320;26;1;360;59;0,1240;119;1;0;0;0;0;0;0
26,5000;25440;26;2;0;59;0,4990;479;4;0;0;0;0;0;0
27,0000;25920;27;1;0;59;0,4990;479;4;0;0;0;0;0;0
27,5000;26400;27;2;0;56;0,2490;239;2;1;1;1;0;0;0
27,8750;26760;27;2;360;59;0,1240;119;1;0;0;0;0;0;0
28,0000;26880;28;1;0;59;0,3740;359;3;1;0;1;0;0;0
28,3750;27240;28;1;360;59;0,1240;119;1;0;0;0;0;0;0
28,5000;27360;28;2;0;61;0,4990;479;4;0;0;0;0;0;0
29,0000;27840;29;1;0;59;0,9990;959;8;1;1;1;1;1;0
30,2500;29040;30;1;240;59;0,2490;239;2;0;0;0;0;0;0
30,5000;29280;30;2;0;56;0,4990;479;4;0;0;0;0;0;0
31,0000;29760;31;1;0;54;0,4990;479;4;1;1;1;0;0;0
31,7500;30480;31;2;240;56;0,2490;239;2;0;0;0;0;0;0
32,0000;30720;32;1;0;56;0,4990;479;4;0;0;1;0;0;0
32,5000;31200;32;2;0;54;0,4990;479;4;0;0;0;0;0;0
33,0000;31680;33;1;0;54;0,9990;959;8;1;1;1;1;1;0
34,3750;33000;34;1;360;59;0,1240;119;1;0;0;0;0;0;0
34,5000;33120;34;2;0;59;0,8740;839;7;1;1;1;0;0;0
35,3750;33960;35;1;360;54;0,1240;119;1;0;0;0;0;0;0
35,5000;34080;35;2;0;54;0,4990;479;4;0;0;0;0;0;0
36,0000;34560;36;1;0;54;0,2490;239;2;1;0;1;0;0;0
36,5000;35040;36;2;0;54;0,2490;239;2;0;0;0;0;0;0
36,7500;35280;36;2;240;54;0,2490;239;2;1;1;1;1;1;0
37,3750;35880;37;1;360;56;0,1240;119;1;0;0;0;0;0;0
37,5000;36000;37;2;0;54;0,4990;479;4;0;0;0;0;0;0
38,0000;36480;38;1;0;54;0,4990;479;4;0;0;0;0;0;0
38,5000;36960;38;2;0;51;0,2490;239;2;1;0;1;0;0;0
38,8750;37320;38;2;360;54;0,1240;119;1;0;0;0;0;0;0
39,0000;37440;39;1;0;54;0,3740;359;3;1;0;1;0;0;0
39,3750;37800;39;1;360;54;0,1240;119;1;0;0;0;0;0;0
39,5000;37920;39;2;0;56;0,4990;479;4;0;0;0;0;0;0
40,0000;38400;40;1;0;54;0,4990;479;4;1;1;1;1;1;0
41,2500;39600;41;1;240;51;0,2490;239;2;0;0;0;0;0;0
41,5000;39840;41;2;0;51;0,4990;479;4;1;0;0;0;0;0
42,0000;40320;42;1;0;47;0,2490;239;2;0;0;1;0;0;0
42,3750;40680;42;1;360;49;0,1240;119;1;0;0;0;0;0;0
42,5000;40800;42;2;0;49;0,4990;479;4;0;0;1;0;0;0
43,0000;41280;43;1;0;47;0,4990;479;4;0;0;0;0;0;0
43,5000;41760;43;2;0;47;1,4990;1439;12;1;1;1;1;1;1
