Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,8750;840;0;2;360;50;0,1240;119;1;0;0;0;0;0;0
1,0000;960;1;1;0;62;1,8740;1799;15;0;0;1;1;0;1
2,8750;2760;2;2;360;65;0,1240;119;1;0;0;0;0;0;0
3,0000;2880;3;1;0;62;0,4990;479;4;1;0;1;0;0;0
3,5000;3360;3;2;0;60;0,2490;239;2;0;0;0;0;0;0
3,7500;3600;3;2;240;58;0,2490;239;2;0;0;0;0;0;0
4,0000;3840;4;1;0;55;0,2490;239;2;0;0;0;0;0;0
4,2500;4080;4;1;240;53;0,4990;479;4;0;1;0;0;0;0
4,7500;4560;4;2;240;50;0,4990;479;4;0;1;1;1;1;0
5,7500;5520;5;2;240;50;0,4990;479;4;0;0;0;0;0;0
6,2500;6000;6;1;240;53;0,4990;479;4;0;0;0;0;0;0
6,7500;6480;6;2;240;55;0,7490;719;6;1;1;0;0;0;0
7,5000;7200;7;2;0;55;0,2490;239;2;0;0;0;0;0;0
7,7500;7440;7;2;240;53;0,9990;959;8;0;0;1;0;0;0
8,7500;8400;8;2;240;50;0,9990;959;8;0;0;0;0;0;0
9,7500;9360;9;2;240;50;1,4990;1439;12;0;0;1;1;1;0
11,6250;11160;11;2;120;50;0,1240;119;1;0;1;0;0;0;0
11,7500;11280;11;2;240;62;1,8740;1799;15;0;0;1;0;0;1
13,6250;13080;13;2;120;65;0,1240;119;1;0;0;0;0;0;0
13,7500;13200;13;2;240;62;0,4990;479;4;1;0;1;0;0;0
14,2500;13680;14;1;240;60;0,2490;239;2;0;0;0;0;0;0
14,5000;13920;14;2;0;58;0,2490;239;2;0;0;0;0;0;0
14,7500;14160;14;2;240;55;0,2490;239;2;0;0;0;0;0;0
15,0000;14400;15;1;0;53;0,4990;479;4;0;1;0;0;0;0
15,5000;14880;15;2;0;50;0,4990;479;4;0;1;1;0;1;0
16,5000;15840;16;2;0;50;0,4990;479;4;0;0;0;0;0;0
17,0000;16320;17;1;0;53;0,4990;479;4;0;0;0;0;0;0
17,5000;16800;17;2;0;55;0,7490;719;6;1;1;0;0;0;0
18,2500;17520;18;1;240;55;0,2490;239;2;0;0;0;0;0;0
18,5000;17760;18;2;0;53;0,9990;959;8;0;1;0;0;0;0
19,5000;18720;19;2;0;50;1,4990;1439;12;0;1;1;1;1;0
21,5000;20640;21;2;0;50;0,4990;479;4;0;0;0;0;0;0
22,0000;21120;22;1;0;53;0,4990;479;4;0;0;0;0;0;0
22,5000;21600;22;2;0;55;0,1240;119;1;0;0;0;0;0;0
22,6250;21720;22;2;120;53;1,8740;1799;15;0;0;1;0;0;1
24,5000;23520;24;2;0;55;0,9990;959;8;1;1;0;0;0;0
25,5000;24480;25;2;0;55;0,1240;119;1;0;0;0;0;0;0
25,6250;24600;25;2;120;53;0,8740;839;7;0;0;1;0;0;0
26,5000;25440;26;2;0;50;1,9990;1919;16;1;1;1;1;1;1
