Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,8750;840;0;2;360;57;0,1240;119;1;0;0;0;0;0;0
1,0000;960;0;3;0;57;1,7490;1679;14;1;1;1;1;0;1
3,0000;2880;2;1;0;57;1,4990;1439;12;0;0;0;0;0;1
4,5000;4320;3;1;0;56;0,2490;239;2;0;0;0;0;0;0
4,7500;4560;3;1;240;55;0,2490;239;2;0;0;0;0;0;0
5,0000;4800;3;2;0;54;0,2490;239;2;0;0;0;0;0;0
5,5000;5280;3;3;0;55;0,2490;239;2;1;1;1;0;0;0
6,5000;6240;4;2;0;55;0,2490;239;2;0;0;0;0;0;0
6,7500;6480;4;2;240;55;0,2490;239;2;0;0;0;0;0;0
7,0000;6720;4;3;0;55;0,4990;479;4;1;0;1;1;1;1
8,0000;7680;5;2;0;55;0,2490;239;2;0;0;0;0;0;0
8,2500;7920;5;2;240;55;0,2490;239;2;0;0;0;0;0;0
8,5000;8160;5;3;0;54;0,9990;959;8;1;0;1;0;0;1
9,5000;9120;6;2;0;54;0,2490;239;2;0;0;0;0;0;0
9,7500;9360;6;2;240;53;0,2490;239;2;0;0;0;0;0;0
10,0000;9600;6;3;0;52;0,2490;239;2;0;0;0;0;0;0
10,2500;9840;6;3;240;51;0,2490;239;2;1;1;1;0;0;0
11,0000;10560;7;2;0;54;0,2490;239;2;0;0;0;0;0;0
11,2500;10800;7;2;240;54;0,2490;239;2;0;0;0;0;0;0
11,5000;11040;7;3;0;54;1,4990;1439;12;0;0;0;0;0;1
13,0000;12480;8;3;0;50;0,2490;239;2;1;0;1;1;1;0
14,5000;13920;9;3;0;54;0,4990;479;4;0;0;0;0;0;1
15,0000;14400;10;1;0;55;0,3740;359;3;1;1;1;0;0;0
15,3750;14760;10;1;360;57;0,1240;119;1;0;0;0;0;0;0
15,5000;14880;10;2;0;57;0,3740;359;3;0;1;1;0;0;0
15,8750;15240;10;2;360;55;0,4990;479;4;0;0;0;0;0;1
16,3750;15720;10;3;360;54;0,1240;119;1;0;0;0;0;0;0
16,5000;15840;11;1;0;54;0,4990;479;4;1;1;1;1;1;1
17,3750;16680;11;2;360;55;0,1240;119;1;0;0;0;0;0;0
17,5000;16800;11;3;0;57;0,1240;119;1;0;0;0;0;0;0
17,6250;16920;11;3;120;55;0,7490;719;6;1;0;1;0;0;1
18,3750;17640;12;1;360;54;0,1240;119;1;0;0;0;0;0;0
18,5000;17760;12;2;0;55;0,7490;719;6;1;0;1;0;0;1
19,2500;18480;12;3;240;54;0,1240;119;1;0;0;0;0;0;0
19,3750;18600;12;3;360;55;0,1240;119;1;0;0;1;0;0;0
19,5000;18720;13;1;0;54;0,3740;359;3;1;0;0;0;0;0
19,8750;19080;13;1;360;54;0,1240;119;1;0;0;0;0;0;0
20,0000;19200;13;2;0;54;0,2490;239;2;1;1;1;1;1;0
20,3750;19560;13;2;360;57;0,1240;119;1;0;0;0;0;0;0
20,5000;19680;13;3;0;57;0,1240;119;1;0;0;0;0;0;0
20,6250;19800;13;3;120;55;0,7490;719;6;1;0;1;0;0;1
21,3750;20520;14;1;360;54;0,1240;119;1;0;0;0;0;0;0
21,5000;20640;14;2;0;54;0,7490;719;6;1;0;1;1;0;1
22,2500;21360;14;3;240;50;0,1240;119;1;0;0;0;0;0;0
22,3750;21480;14;3;360;54;0,1240;119;1;0;0;0;0;0;0
22,5000;21600;15;1;0;54;0,4990;479;4;1;0;1;0;1;1
23,3750;22440;15;2;360;54;0,1240;119;1;0;0;0;0;0;0
23,5000;22560;15;3;0;57;0,1240;119;1;0;0;0;0;0;0
23,6250;22680;15;3;120;55;0,7490;719;6;1;0;1;0;0;1
24,3750;23400;16;1;360;54;0,1240;119;1;0;0;0;0;0;0
24,5000;23520;16;2;0;55;0,1240;119;1;0;0;0;0;0;0
24,6250;23640;16;2;120;54;0,8740;839;7;1;1;0;0;0;1
25,5000;24480;17;1;0;54;0,1240;119;1;0;0;1;1;0;0
25,6250;24600;17;1;120;52;0,2490;239;2;0;0;0;0;0;0
25,8750;24840;17;1;360;52;0,1240;119;1;0;0;1;0;0;0
26,0000;24960;17;2;0;54;0,3740;359;3;1;0;0;0;0;0
26,3750;25320;17;2;360;54;0,1240;119;1;0;0;0;0;0;0
26,5000;25440;17;3;0;54;0,2490;239;2;1;1;1;1;1;1
