Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,7500;720;0;2;240;59;0,2490;239;1;0;0;0;0;0;0
1,0000;960;1;1;0;61;0,4990;479;2;1;1;1;1;0;0
1,5000;1440;1;2;0;59;0,2490;239;1;0;0;0;0;0;0
1,7500;1680;1;2;240;59;0,2490;239;1;0;0;0;0;0;0
2,0000;1920;2;1;0;59;0,4990;479;2;1;0;1;0;0;0
2,5000;2400;2;2;0;59;0,2490;239;1;0;0;0;0;0;0
2,7500;2640;2;2;240;59;0,2490;239;1;0;0;0;0;0;0
3,0000;2880;3;1;0;59;0,9990;959;4;1;1;1;1;1;1
4,2500;4080;4;1;240;56;0,2490;239;1;0;0;0;0;0;0
4,5000;4320;4;2;0;54;0,2490;239;1;0;0;1;0;0;0
4,7500;4560;4;2;240;59;0,2490;239;1;0;0;0;0;0;0
5,0000;4800;5;1;0;59;1,4990;1439;6;1;0;1;0;0;1
6,5000;6240;6;2;0;59;0,2490;239;1;0;0;0;0;0;0
6,7500;6480;6;2;240;56;0,2490;239;1;0;0;0;0;0;0
7,0000;6720;7;1;0;54;0,9990;959;4;0;0;0;0;0;1
8,0000;7680;8;1;0;54;0,9990;959;4;1;1;1;1;1;1
9,7500;9360;9;2;240;59;0,2490;239;1;0;0;0;0;0;0
10,0000;9600;10;1;0;59;0,4990;479;2;1;1;1;0;0;0
10,5000;10080;10;2;0;54;0,2490;239;1;0;0;0;0;0;0
10,7500;10320;10;2;240;54;0,2490;239;1;0;0;0;0;0;0
11,0000;10560;11;1;0;54;0,4990;479;2;1;0;1;0;0;0
11,5000;11040;11;2;0;54;0,2490;239;1;0;0;0;0;0;0
11,7500;11280;11;2;240;54;0,2490;239;1;0;0;0;0;0;0
12,0000;11520;12;1;0;54;0,4990;479;2;1;1;1;0;1;0
12,7500;12240;12;2;240;56;0,2490;239;1;0;0;0;0;0;0
13,0000;12480;13;1;0;54;0,2490;239;1;0;0;0;0;0;0
13,2500;12720;13;1;240;56;0,2490;239;1;0;0;0;0;0;0
13,5000;12960;13;2;0;54;1,4990;1439;6;1;0;1;1;0;1
15,0000;14400;15;1;0;54;0,2490;239;1;0;0;0;0;0;0
15,2500;14640;15;1;240;51;0,2490;239;1;0;0;1;0;0;0
15,5000;14880;15;2;0;47;0,9990;959;4;0;0;0;0;0;1
16,5000;15840;16;2;0;47;0,9990;959;4;1;1;1;1;1;1
17,7500;17040;17;2;240;49;0,2490;239;1;0;0;0;0;0;0
18,0000;17280;18;1;0;47;0,2490;239;1;0;0;0;0;0;0
18,2500;17520;18;1;240;49;0,2490;239;1;0;0;1;0;0;0
18,5000;17760;18;2;0;47;0,4990;479;2;1;0;0;0;0;0
19,0000;18240;19;1;0;47;0,2490;239;1;0;0;0;0;0;0
19,2500;18480;19;1;240;47;0,2490;239;1;0;0;0;0;0;0
19,5000;18720;19;2;0;47;0,4990;479;2;1;1;1;0;0;0
20,0000;19200;20;1;0;44;0,2490;239;1;0;0;0;0;0;0
20,2500;19440;20;1;240;42;0,2490;239;1;0;0;1;0;0;0
20,5000;19680;20;2;0;47;0,2490;239;1;0;0;0;0;0;0
20,7500;19920;20;2;240;47;1,4990;1439;6;1;0;1;1;1;1
22,2500;21360;22;1;240;47;0,2490;239;1;0;0;0;0;0;0
22,5000;21600;22;2;0;44;0,2490;239;1;0;0;0;0;0;0
22,7500;21840;22;2;240;42;0,9990;959;4;0;0;0;0;0;0
23,7500;22800;23;2;240;42;0,9990;959;4;1;1;1;1;1;1
