Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
1,0000;960;0;3;0;52;0,4990;479;12;0;0;1;1;0;0
1,5000;1440;1;1;0;59;0,4990;479;12;0;0;0;0;0;1
2,0000;1920;1;2;0;59;0,1656;159;4;1;1;1;0;0;0
2,1667;2080;1;2;160;57;0,1656;159;4;0;0;0;0;0;0
2,3333;2240;1;2;320;57;0,1656;159;4;0;0;1;0;0;0
2,5000;2400;1;3;0;55;0,1656;159;4;1;0;0;0;0;0
2,6667;2560;1;3;160;55;0,1656;159;4;0;0;0;0;0;0
2,8333;2720;1;3;320;55;0,1656;159;4;0;0;0;0;0;0
3,0000;2880;2;1;0;55;0,3740;359;9;1;0;1;0;0;0
3,3750;3240;2;1;360;55;0,1240;119;3;0;0;0;0;0;0
3,5000;3360;2;2;0;55;0,4990;479;12;0;0;0;0;1;1
4,0000;3840;2;3;0;55;0,4990;479;12;0;0;1;0;0;1
4,5000;4320;3;1;0;57;0,4990;479;12;0;0;0;0;0;1
5,0000;4800;3;2;0;57;0,1656;159;4;0;1;1;0;0;0
5,1667;4960;3;2;160;55;0,1656;159;4;0;0;0;0;0;0
5,3333;5120;3;2;320;55;0,1656;159;4;0;0;0;0;0;0
5,5000;5280;3;3;0;55;0,1656;159;4;1;0;1;1;0;0
5,6667;5440;3;3;160;52;0,1656;159;4;0;0;0;0;0;0
5,8333;5600;3;3;320;52;0,1656;159;4;0;0;0;0;0;0
6,0000;5760;4;1;0;52;0,3740;359;9;1;0;1;0;0;0
6,3750;6120;4;1;360;52;0,1240;119;3;0;0;0;0;0;0
6,5000;6240;4;2;0;52;0,2490;239;6;1;1;1;1;1;0
7,0000;6720;4;3;0;52;0,1240;119;3;0;0;0;0;0;0
7,1250;6840;4;3;120;50;0,3740;359;9;0;0;0;0;0;0
7,5000;7200;5;1;0;55;0,3740;359;9;1;0;1;0;0;0
7,8750;7560;5;1;360;52;0,1240;119;3;0;0;0;0;0;0
8,0000;7680;5;2;0;52;0,3740;359;9;1;0;1;0;0;0
8,3750;8040;5;2;360;52;0,1240;119;3;0;0;0;0;0;0
8,5000;8160;5;3;0;52;0,4990;479;12;1;0;0;0;0;1
9,0000;8640;6;1;0;52;0,1240;119;3;0;0;0;0;0;0
9,1250;8760;6;1;120;50;0,3740;359;9;1;1;1;1;0;0
9,5000;9120;6;2;0;55;0,1240;119;3;0;0;0;0;0;0
9,6250;9240;6;2;120;52;0,3740;359;9;1;0;0;0;1;0
10,0000;9600;6;3;0;52;0,1240;119;3;0;0;1;0;0;0
10,2500;9840;6;3;240;55;0,2490;239;6;0;0;0;0;0;0
10,5000;10080;7;1;0;52;0,1240;119;3;0;0;0;0;0;0
10,6250;10200;7;1;120;52;0,1240;119;3;0;0;0;0;0;0
10,7500;10320;7;1;240;52;0,3740;359;9;1;1;1;0;0;0
11,1250;10680;7;2;120;52;0,1240;119;3;0;0;0;0;0;0
11,2500;10800;7;2;240;52;0,3740;359;9;1;1;1;1;0;0
11,6250;11160;7;3;120;52;0,1240;119;3;0;0;0;0;0;0
11,7500;11280;7;3;240;52;0,3740;359;9;1;1;1;0;0;0
12,1250;11640;8;1;120;52;0,1240;119;3;0;0;0;0;0;0
12,2500;11760;8;1;240;52;0,4990;479;12;0;0;1;1;0;0
13,7500;13200;9;1;240;52;0,4990;479;12;1;1;1;1;1;1
