Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
1,2500;1200;2;1;240;52;0,2490;239;2;0;0;1;1;0;0
1,5000;1440;2;2;0;62;0,4990;479;4;0;0;0;0;0;0
2,0000;1920;3;1;0;59;0,4990;479;4;1;0;0;0;0;0
2,5000;2400;3;2;0;59;0,2490;239;2;0;0;0;0;0;0
2,7500;2640;3;2;240;62;0,2490;239;2;0;0;0;0;0;0
3,0000;2880;4;1;0;59;0,4990;479;4;1;1;0;0;0;0
3,5000;3360;4;2;0;59;0,2490;239;2;0;0;0;0;0;0
3,7500;3600;4;2;240;57;0,2490;239;2;0;0;0;0;0;0
4,0000;3840;5;1;0;55;0,2490;239;2;0;0;0;0;0;0
4,2500;4080;5;1;240;55;0,2490;239;2;1;0;1;1;1;0
5,0000;4800;6;1;0;55;0,2490;239;2;0;0;0;0;0;0
5,2500;5040;6;1;240;62;0,4990;479;4;0;0;0;0;0;0
5,7500;5520;6;2;240;59;0,4990;479;4;1;0;0;0;0;0
6,2500;6000;7;1;240;59;0,2490;239;2;0;0;0;0;0;0
6,5000;6240;7;2;0;62;0,2490;239;2;0;0;0;0;0;0
6,7500;6480;7;2;240;59;0,4990;479;4;1;1;0;0;0;0
7,2500;6960;8;1;240;59;0,2490;239;2;0;0;0;0;0;0
7,5000;7200;8;2;0;57;0,2490;239;2;0;0;0;0;0;0
7,7500;7440;8;2;240;55;0,2490;239;2;0;0;0;0;0;0
8,0000;7680;9;1;0;55;0,2490;239;2;1;0;1;1;1;0
8,7500;8400;9;2;240;55;0,2490;239;2;0;0;0;0;0;0
9,0000;8640;10;1;0;59;0,4990;479;4;0;0;0;0;0;0
9,5000;9120;10;2;0;59;0,4990;479;4;1;0;1;0;0;0
10,0000;9600;11;1;0;55;0,2490;239;2;0;0;0;0;0;0
10,2500;9840;11;1;240;59;0,2490;239;2;0;0;0;0;0;0
10,5000;10080;11;2;0;55;0,4990;479;4;1;1;1;1;0;0
11,0000;10560;12;1;0;50;0,2490;239;2;0;0;0;0;0;0
11,2500;10800;12;1;240;50;0,2490;239;2;0;0;1;0;0;0
11,5000;11040;12;2;0;47;0,2490;239;2;0;0;0;0;0;0
11,7500;11280;12;2;240;47;0,4990;479;4;1;1;1;1;1;0
12,2500;11760;13;1;240;50;0,2490;239;2;0;0;0;0;0;0
12,5000;12000;13;2;0;50;0,2490;239;2;0;0;0;0;0;0
12,7500;12240;13;2;240;47;0,2490;239;2;0;0;0;0;0;0
13,0000;12480;14;1;0;50;0,2490;239;2;0;0;0;0;0;0
13,2500;12720;14;1;240;50;0,9990;959;8;1;0;1;0;1;1
14,2500;13680;15;1;240;50;0,4990;479;4;0;0;0;0;0;0
14,7500;14160;15;2;240;50;0,2490;239;2;0;0;0;0;0;0
15,0000;14400;16;1;0;50;0,2490;239;2;0;0;0;0;0;0
15,2500;14640;16;1;240;50;0,1240;119;1;1;0;1;1;0;0
15,5000;14880;16;2;0;55;0,2490;239;2;0;0;0;0;0;0
15,7500;15120;16;2;240;55;0,2490;239;2;0;0;1;0;0;0
16,0000;15360;17;1;0;52;0,2490;239;2;0;0;0;0;0;0
16,2500;15600;17;1;240;52;0,4990;479;4;1;1;1;1;1;0
16,7500;16080;17;2;240;55;0,2490;239;2;0;0;0;0;0;0
17,0000;16320;18;1;0;55;0,2490;239;2;0;0;0;0;0;0
17,2500;16560;18;1;240;55;0,2490;239;2;1;0;1;0;0;0
17,5000;16800;18;2;0;52;0,2490;239;2;0;0;0;0;0;0
17,7500;17040;18;2;240;52;0,2490;239;2;0;0;1;0;0;0
18,0000;17280;19;1;0;50;0,2490;239;2;0;0;0;0;0;0
18,2500;17520;19;1;240;52;0,2490;239;2;0;0;0;0;0;0
18,5000;17760;19;2;0;50;0,2490;239;2;1;0;1;0;0;0
18,7500;18000;19;2;240;47;0,2490;239;2;0;0;0;0;0;0
19,0000;18240;20;1;0;47;0,2490;239;2;0;0;0;0;0;0
