Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;62;0,4990;479;12;0;0;1;0;0;0
0,5000;480;1;2;0;64;0,3740;359;9;0;0;0;0;0;0
0,8750;840;1;2;360;64;0,1240;119;3;0;0;1;0;0;0
1,0000;960;2;1;0;62;0,3740;359;9;1;1;0;0;0;0
1,3750;1320;2;1;360;62;0,1240;119;3;0;0;1;0;0;0
1,5000;1440;2;2;0;60;0,7490;719;18;1;0;0;0;0;1
2,2500;2160;3;1;240;60;0,2490;239;6;0;0;0;0;0;0
2,5000;2400;3;2;0;60;1,2490;1199;30;0;1;1;1;1;1
3,7500;3600;4;2;240;55;0,2490;239;6;0;1;0;0;0;0
4,0000;3840;5;1;0;62;0,4990;479;12;0;0;0;0;0;1
4,5000;4320;5;2;0;64;0,3740;359;9;0;0;0;0;0;0
4,8750;4680;5;2;360;64;0,1240;119;3;0;0;1;0;0;0
5,0000;4800;6;1;0;62;0,3740;359;9;1;1;0;0;0;0
5,3750;5160;6;1;360;62;0,1240;119;3;0;0;1;0;0;0
5,5000;5280;6;2;0;60;0,4990;479;12;0;0;0;0;0;1
6,0000;5760;7;1;0;60;0,3740;359;9;0;0;0;0;0;0
6,3750;6120;7;1;360;60;0,1240;119;3;0;0;0;0;0;0
6,5000;6240;7;2;0;60;0,9990;959;24;1;1;1;1;1;1
8,0000;7680;9;1;0;62;0,3740;359;9;0;0;0;0;0;0
8,3750;8040;9;1;360;60;0,1240;119;3;0;0;0;0;0;0
8,5000;8160;9;2;0;60;0,3740;359;9;1;1;1;0;0;0
8,8750;8520;9;2;360;59;0,1240;119;3;0;0;0;0;0;0
9,0000;8640;10;1;0;60;0,9990;959;24;0;0;1;1;1;1
10,0000;9600;11;1;0;60;0,1656;159;4;1;1;0;0;0;0
10,1667;9760;11;1;160;58;0,1656;159;4;0;0;0;0;0;0
10,3333;9920;11;1;320;55;0,1656;159;4;0;0;1;0;0;0
10,5000;10080;11;2;0;58;0,2490;239;6;1;0;0;0;0;0
10,7500;10320;11;2;240;58;0,1240;119;3;0;0;1;0;0;0
10,8750;10440;11;2;360;55;0,1240;119;3;0;0;0;0;0;0
11,0000;10560;12;1;0;53;0,3740;359;9;1;1;0;0;0;0
11,3750;10920;12;1;360;53;0,1240;119;3;0;0;1;0;0;0
11,5000;11040;12;2;0;51;0,3740;359;9;1;0;0;0;0;0
11,8750;11400;12;2;360;51;0,1240;119;3;0;0;1;0;0;0
12,0000;11520;13;1;0;48;0,1240;119;3;0;0;0;0;0;0
12,1250;11640;13;1;120;48;0,1240;119;3;1;1;1;1;1;0
12,5000;12000;13;2;0;51;0,1240;119;3;0;0;0;0;0;0
12,6250;12120;13;2;120;53;0,3740;359;9;1;0;0;0;0;0
13,0000;12480;14;1;0;53;0,1240;119;3;0;0;1;0;0;0
13,1250;12600;14;1;120;51;0,3740;359;9;1;1;0;0;0;0
13,5000;12960;14;2;0;51;0,1240;119;3;0;0;1;1;0;0
13,6250;13080;14;2;120;48;0,3740;359;9;0;0;0;0;0;0
14,0000;13440;15;1;0;48;0,3740;359;9;0;0;0;0;0;0
14,3750;13800;15;1;360;48;0,1240;119;3;0;1;0;0;0;0
14,5000;13920;15;2;0;48;0,9990;959;24;0;0;1;1;0;0
15,5000;14880;16;2;0;48;0,4990;479;12;1;1;1;1;1;1
