Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,2500;240;1;1;240;60;0,4990;479;4;0;0;0;0;0;0
0,7500;720;1;2;240;64;0,4990;479;4;1;0;0;0;0;0
1,2500;1200;1;3;240;62;0,2490;239;2;0;0;1;1;0;0
1,5000;1440;2;1;0;60;0,2490;239;2;0;0;0;0;0;0
1,7500;1680;2;1;240;60;0,2490;239;2;0;0;0;0;0;0
2,0000;1920;2;2;0;60;0,3740;359;3;1;0;1;0;0;0
2,3750;2280;2;2;360;60;0,1240;119;1;0;0;0;0;0;0
2,5000;2400;2;3;0;60;0,9990;959;8;0;0;1;1;1;1
3,5000;3360;3;2;0;55;0,2490;239;2;1;1;0;0;0;0
4,0000;3840;3;3;0;62;0,2490;239;2;0;0;0;0;0;0
4,2500;4080;3;3;240;64;0,4990;479;4;1;0;0;0;0;0
4,7500;4560;4;1;240;62;0,2490;239;2;0;0;1;0;0;0
5,0000;4800;4;2;0;60;0,2490;239;2;0;0;0;0;0;0
5,2500;5040;4;2;240;60;0,2490;239;2;0;0;0;0;0;0
5,5000;5280;4;3;0;60;0,3740;359;3;1;0;1;0;0;0
5,8750;5640;4;3;360;60;0,1240;119;1;0;0;0;0;0;0
6,0000;5760;5;1;0;60;0,9990;959;8;1;1;1;1;1;1
7,0000;6720;5;3;0;60;0,2490;239;2;0;0;0;0;0;0
7,2500;6960;5;3;240;59;0,2490;239;2;0;0;0;0;0;0
7,5000;7200;6;1;0;60;0,2490;239;2;1;0;1;0;0;0
7,7500;7440;6;1;240;55;0,2490;239;2;0;0;0;0;0;0
8,0000;7680;6;2;0;53;0,2490;239;2;0;0;0;0;0;0
8,2500;7920;6;2;240;53;0,2490;239;2;0;0;0;0;0;0
8,5000;8160;6;3;0;53;0,1240;119;1;1;1;1;1;1;0
8,7500;8400;6;3;240;55;0,1240;119;1;0;0;0;0;0;0
8,8750;8520;6;3;360;55;0,1240;119;1;0;0;0;0;0;0
9,0000;8640;7;1;0;57;0,4990;479;4;1;0;1;0;0;0
9,5000;9120;7;2;0;55;0,2490;239;2;0;0;0;0;0;0
9,7500;9360;7;2;240;53;0,2490;239;2;0;0;0;0;0;0
10,0000;9600;7;3;0;53;0,2490;239;2;0;0;0;0;0;0
10,2500;9840;7;3;240;53;0,3740;359;3;1;1;1;0;0;0
10,6250;10200;8;1;120;52;0,1240;119;1;0;0;0;0;0;0
10,7500;10320;8;1;240;53;0,4990;479;4;1;1;1;1;1;0
11,7500;11280;8;3;240;53;0,2490;239;2;0;0;0;0;0;0
12,0000;11520;9;1;0;50;0,2490;239;2;0;0;0;0;0;0
12,2500;11760;9;1;240;48;0,2490;239;2;0;0;0;0;0;0
12,5000;12000;9;2;0;48;0,2490;239;2;0;0;0;0;0;0
12,7500;12240;9;2;240;48;0,1240;119;1;1;1;1;0;0;0
13,0000;12480;9;3;0;50;0,1240;119;1;0;0;0;0;0;0
13,1250;12600;9;3;120;50;0,1240;119;1;1;0;1;0;0;0
13,2500;12720;9;3;240;53;0,4990;479;4;0;0;0;0;0;0
13,7500;13200;10;1;240;53;0,4990;479;4;1;1;1;0;1;0
14,2500;13680;10;2;240;50;0,2490;239;2;0;0;0;0;0;0
14,5000;13920;10;3;0;53;0,2490;239;2;0;0;0;0;0;0
14,7500;14160;10;3;240;50;0,2490;239;2;1;0;1;0;0;0
15,0000;14400;11;1;0;48;0,2490;239;2;0;0;0;0;0;0
15,2500;14640;11;1;240;48;0,2490;239;2;0;0;0;0;0;0
15,5000;14880;11;2;0;48;0,3740;359;3;1;0;1;0;0;0
15,8750;15240;11;2;360;48;0,1240;119;1;0;0;0;0;0;0
16,0000;15360;11;3;0;48;0,9990;959;8;0;0;0;0;1;1
17,0000;16320;12;2;0;48;0,2490;239;2;1;1;1;1;0;0
17,3750;16680;12;2;360;55;0,1240;119;1;0;0;0;0;0;0
17,5000;16800;12;3;0;60;0,3740;359;3;1;0;0;0;0;0
17,8750;17160;12;3;360;59;0,1240;119;1;0;0;0;0;0;0
18,0000;17280;13;1;0;60;0,3740;359;3;1;0;1;0;0;0
18,3750;17640;13;1;360;59;0,1240;119;1;0;0;0;0;0;0
18,5000;17760;13;2;0;60;0,9990;959;8;1;1;1;1;1;1
19,5000;18720;14;1;0;60;0,1240;119;1;0;0;0;0;0;0
19,6250;18840;14;1;120;59;0,3740;359;3;1;0;0;0;0;0
20,0000;19200;14;2;0;60;0,1240;119;1;0;0;1;0;0;0
20,1250;19320;14;2;120;55;0,3740;359;3;1;1;0;0;0;0
20,5000;19680;14;3;0;53;0,2490;239;2;0;0;0;0;0;0
20,7500;19920;14;3;240;53;0,2490;239;2;0;0;0;0;0;0
21,0000;20160;15;1;0;53;0,1240;119;1;1;0;1;1;1;0
21,2500;20400;15;1;240;55;0,1240;119;1;0;0;0;0;0;0
21,3750;20520;15;1;360;55;0,1240;119;1;0;0;0;0;0;0
21,5000;20640;15;2;0;57;0,4990;479;4;1;0;1;0;0;0
22,0000;21120;15;3;0;55;0,2490;239;2;0;0;0;0;0;0
22,2500;21360;15;3;240;53;0,2490;239;2;0;0;0;0;0;0
22,5000;21600;16;1;0;53;0,2490;239;2;0;0;0;0;0;0
22,7500;21840;16;1;240;53;0,3740;359;3;1;1;1;0;0;0
23,1250;22200;16;2;120;52;0,1240;119;1;0;0;0;0;0;0
23,2500;22320;16;2;240;53;0,4990;479;4;1;1;1;1;1;0
24,2500;23280;17;1;240;53;0,2490;239;2;0;0;0;0;0;0
24,5000;23520;17;2;0;50;0,2490;239;2;0;0;0;0;0;0
24,7500;23760;17;2;240;48;0,2490;239;2;0;0;0;0;0;0
25,0000;24000;17;3;0;48;0,2490;239;2;0;0;0;0;0;0
25,2500;24240;17;3;240;48;0,1240;119;1;1;1;1;0;0;0
25,5000;24480;18;1;0;50;0,1240;119;1;0;0;0;0;0;0
25,6250;24600;18;1;120;50;0,1240;119;1;1;0;1;0;0;0
25,7500;24720;18;1;240;53;0,4990;479;4;0;0;0;0;0;0
26,2500;25200;18;2;240;53;0,4990;479;4;1;1;1;0;1;0
26,7500;25680;18;3;240;50;0,2490;239;2;0;0;0;0;0;0
27,0000;25920;19;1;0;53;0,2490;239;2;0;0;0;0;0;0
27,2500;26160;19;1;240;50;0,2490;239;2;1;0;1;0;0;0
27,5000;26400;19;2;0;48;0,2490;239;2;0;0;0;0;0;0
27,7500;26640;19;2;240;48;0,2490;239;2;0;0;0;0;0;0
28,0000;26880;19;3;0;48;0,3740;359;3;1;1;1;0;0;0
28,3750;27240;19;3;360;48;0,1240;119;1;0;0;0;0;0;0
28,5000;27360;20;1;0;48;0,9990;959;8;0;0;1;1;0;0
29,5000;28320;20;3;0;48;0,2490;239;2;1;1;1;1;1;1
