Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;55;0,3740;359;9;0;0;1;0;0;0
0,3750;360;1;1;360;58;0,1240;119;3;0;0;0;0;0;0
0,5000;480;1;2;0;58;0,4990;479;12;1;1;1;1;1;1
1,5000;1440;2;2;0;55;0,3740;359;9;0;0;0;0;0;0
1,8750;1800;2;2;360;58;0,1240;119;3;0;0;0;0;0;0
2,0000;1920;3;1;0;58;0,4990;479;12;1;0;1;0;0;1
2,5000;2400;3;2;0;60;0,3740;359;9;0;0;0;0;0;0
2,8750;2760;3;2;360;58;0,1240;119;3;1;0;0;0;0;0
3,0000;2880;4;1;0;55;0,2490;239;6;0;0;1;0;0;0
3,2500;3120;4;1;240;53;0,1240;119;3;1;0;0;0;0;0
3,5000;3360;4;2;0;53;0,1656;159;4;0;0;0;0;0;0
3,6667;3520;4;2;160;53;0,1656;159;4;0;0;0;0;0;0
3,8333;3680;4;2;320;53;0,1656;159;4;0;0;0;0;0;0
4,0000;3840;5;1;0;53;0,4990;479;12;1;1;1;1;1;1
4,5000;4320;5;2;0;55;0,1240;119;3;0;0;0;0;0;0
4,6250;4440;5;2;120;53;0,3740;359;9;1;0;1;0;0;0
5,0000;4800;6;1;0;55;0,1240;119;3;0;0;0;0;0;0
5,1250;4920;6;1;120;53;0,3740;359;9;1;0;1;0;0;0
5,5000;5280;6;2;0;55;0,1240;119;3;0;0;0;0;0;0
5,6250;5400;6;2;120;53;0,3740;359;9;1;1;1;1;0;0
6,0000;5760;7;1;0;50;0,1240;119;3;0;0;0;0;0;0
6,1250;5880;7;1;120;53;0,3740;359;9;1;0;1;0;0;0
6,5000;6240;7;2;0;55;0,1240;119;3;0;0;0;0;0;0
6,6250;6360;7;2;120;53;0,2490;239;6;1;0;1;0;0;0
6,8750;6600;7;2;360;50;0,1240;119;3;0;0;0;0;0;0
7,0000;6720;8;1;0;53;0,4990;479;12;1;1;1;1;1;1
7,5000;7200;8;2;0;55;0,1240;119;3;0;0;0;0;0;0
7,6250;7320;8;2;120;53;0,2490;239;6;1;0;1;0;0;0
7,8750;7560;8;2;360;50;0,1240;119;3;0;0;0;0;0;0
8,0000;7680;9;1;0;53;0,4990;479;12;0;0;0;0;0;1
8,5000;8160;9;2;0;55;0,3740;359;9;1;1;1;1;0;0
8,8750;8520;9;2;360;58;0,1240;119;3;0;0;0;0;0;0
9,0000;8640;10;1;0;58;0,4990;479;12;1;0;1;0;0;1
9,5000;9120;10;2;0;55;0,3740;359;9;0;0;0;0;0;0
9,8750;9480;10;2;360;58;0,1240;119;3;0;0;0;0;0;0
10,0000;9600;11;1;0;58;0,4990;479;12;1;1;1;0;1;1
10,5000;10080;11;2;0;60;0,3740;359;9;0;0;0;0;0;0
10,8750;10440;11;2;360;58;0,1240;119;3;1;0;0;0;0;0
11,0000;10560;12;1;0;55;0,2490;239;6;0;0;1;0;0;0
11,2500;10800;12;1;240;53;0,1240;119;3;1;1;0;0;0;0
11,5000;11040;12;2;0;53;0,1656;159;4;0;0;0;0;0;0
11,6667;11200;12;2;160;53;0,1656;159;4;0;0;0;0;0;0
11,8333;11360;12;2;320;53;0,1656;159;4;0;0;0;0;0;0
12,0000;11520;13;1;0;53;0,4990;479;12;1;1;1;1;1;1
