Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;62;1,4990;1439;24;1;0;1;0;0;0
1,5000;1440;2;1;0;62;0,2490;239;4;0;0;0;0;0;0
1,7500;1680;2;1;240;62;0,2490;239;4;0;0;0;0;0;0
2,0000;1920;2;2;0;62;0,2490;239;4;1;1;1;0;0;0
2,3750;2280;2;2;360;64;0,1240;119;2;0;0;0;0;0;0
2,5000;2400;2;3;0;64;1,4990;1439;24;1;0;1;1;1;1
4,0000;3840;3;3;0;64;0,2490;239;4;0;0;0;0;0;0
4,2500;4080;3;3;240;62;0,2490;239;4;0;0;0;0;0;0
4,5000;4320;4;1;0;62;0,2490;239;4;0;0;0;0;0;0
4,7500;4560;4;1;240;57;0,1865;179;3;0;0;1;0;0;0
4,9375;4740;4;1;420;62;0,0615;59;1;1;0;0;0;0;0
5,0000;4800;4;2;0;62;1,4990;1439;24;0;0;1;1;1;1
6,5000;6240;5;2;0;62;0,2490;239;4;0;0;0;0;0;0
6,7500;6480;5;2;240;62;0,2490;239;4;0;0;0;0;0;0
7,0000;6720;5;3;0;62;0,2490;239;4;1;1;1;0;0;0
7,3750;7080;5;3;360;64;0,1240;119;2;0;0;0;0;0;0
7,5000;7200;6;1;0;64;1,4990;1439;24;1;0;1;1;0;1
9,0000;8640;7;1;0;64;0,2490;239;4;0;0;0;0;0;0
9,2500;8880;7;1;240;62;0,2490;239;4;0;0;0;0;0;0
9,5000;9120;7;2;0;62;0,2490;239;4;0;0;0;0;0;0
9,7500;9360;7;2;240;57;0,1865;179;3;0;0;1;0;0;0
9,9375;9540;7;2;420;62;0,0615;59;1;1;0;0;0;0;0
10,0000;9600;7;3;0;62;1,4990;1439;24;0;0;1;0;1;1
11,5000;11040;8;3;0;62;0,2490;239;4;0;0;0;0;0;0
11,7500;11280;8;3;240;62;0,2490;239;4;0;0;0;0;0;0
12,0000;11520;9;1;0;62;0,2490;239;4;1;1;1;1;0;0
12,5000;12000;9;2;0;62;0,2490;239;4;0;0;0;0;0;0
12,7500;12240;9;2;240;59;0,2490;239;4;0;0;0;0;0;0
13,0000;12480;9;3;0;57;0,2490;239;4;0;0;0;0;0;0
13,2500;12720;9;3;240;57;0,1865;179;3;1;0;1;0;0;0
13,4375;12900;9;3;420;62;0,0615;59;1;0;0;0;0;0;0
13,5000;12960;10;1;0;62;1,2490;1199;20;1;1;1;1;1;1
15,0000;14400;11;1;0;57;0,2490;239;4;0;0;0;0;0;0
15,2500;14640;11;1;240;57;0,2490;239;4;0;0;1;0;0;0
15,5000;14880;11;2;0;52;0,4990;479;8;1;0;0;0;0;0
16,0000;15360;11;3;0;52;0,2490;239;4;0;0;0;0;0;0
16,2500;15600;11;3;240;52;0,2490;239;4;1;0;1;0;0;0
16,5000;15840;12;1;0;50;0,2490;239;4;0;0;0;0;0;0
16,7500;16080;12;1;240;50;0,2490;239;4;1;1;1;1;0;0
17,0000;16320;12;2;0;52;0,2490;239;4;0;0;0;0;0;0
17,2500;16560;12;2;240;52;0,2490;239;4;0;0;0;0;0;0
17,5000;16800;12;3;0;52;0,2490;239;4;0;0;0;1;1;0
17,7500;17040;12;3;240;52;0,2490;239;4;0;0;0;0;0;0
18,0000;17280;13;1;0;52;0,2490;239;4;0;0;0;0;0;0
18,2500;17520;13;1;240;52;0,2490;239;4;1;0;1;1;0;0
18,5000;17760;13;2;0;50;0,2490;239;4;0;0;0;0;0;0
18,7500;18000;13;2;240;50;0,2490;239;4;0;0;0;0;0;0
19,0000;18240;13;3;0;50;0,2490;239;4;0;0;0;0;0;0
19,2500;18480;13;3;240;50;0,2490;239;4;0;0;0;0;0;0
