Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;58;0,7490;719;6;0;0;0;0;0;0
0,7500;720;1;2;240;51;0,2490;239;2;0;0;1;0;0;0
1,0000;960;2;1;0;58;0,4990;479;4;0;0;0;0;0;0
1,5000;1440;2;2;0;58;0,7490;719;6;1;1;1;0;0;0
2,2500;2160;3;1;240;51;0,2490;239;2;0;0;0;0;0;0
2,5000;2400;3;2;0;58;0,4990;479;4;1;0;1;1;0;0
3,5000;3360;4;2;0;58;0,2490;239;2;0;0;0;0;0;0
3,7500;3600;4;2;240;58;0,2490;239;2;0;0;0;0;0;0
4,0000;3840;5;1;0;60;0,9990;959;8;1;1;1;0;1;1
5,0000;4800;6;1;0;58;0,4990;479;4;0;0;0;0;0;0
5,5000;5280;6;2;0;55;0,4990;479;4;0;0;0;0;0;0
6,0000;5760;7;1;0;55;0,9990;959;8;0;0;1;1;0;1
7,0000;6720;8;1;0;58;0,9990;959;8;0;0;0;0;0;1
8,0000;7680;9;1;0;58;0,1240;119;1;0;0;0;0;0;0
8,1250;7800;9;1;120;55;0,3740;359;3;1;0;0;0;0;0
8,5000;8160;9;2;0;58;0,1240;119;1;0;0;0;0;0;0
8,6250;8280;9;2;120;55;0,3740;359;3;0;0;0;0;0;0
9,0000;8640;10;1;0;53;0,9990;959;8;0;0;1;0;1;1
10,0000;9600;11;1;0;51;0,4990;479;4;1;1;0;0;0;0
10,5000;10080;11;2;0;46;0,2490;239;2;0;0;0;0;0;0
10,7500;10320;11;2;240;48;0,2490;239;2;0;0;0;0;0;0
11,0000;10560;12;1;0;46;0,9990;959;8;0;0;1;1;0;1
12,0000;11520;13;1;0;55;0,9990;959;8;0;0;0;0;0;1
13,0000;12480;14;1;0;55;0,2490;239;2;0;0;1;0;0;0
13,2500;12720;14;1;240;51;0,2490;239;2;0;0;0;0;0;0
13,5000;12960;14;2;0;51;0,9990;959;8;1;0;1;0;0;1
14,5000;13920;15;2;0;55;0,4990;479;4;0;0;0;0;0;0
15,0000;14400;16;1;0;51;0,2490;239;2;0;0;0;0;0;0
15,2500;14640;16;1;240;51;0,2490;239;2;0;0;0;0;0;0
15,5000;14880;16;2;0;51;1,4990;1439;12;0;0;0;0;1;1
17,0000;16320;18;1;0;51;0,7490;719;6;1;0;1;0;0;0
17,7500;17040;18;2;240;46;0,2490;239;2;0;0;0;0;0;0
18,0000;17280;19;1;0;46;0,7490;719;6;1;1;1;1;0;0
18,7500;18000;19;2;240;51;0,2490;239;2;0;0;0;0;0;0
19,0000;18240;20;1;0;51;0,9990;959;8;0;0;0;0;0;1
20,0000;19200;21;1;0;51;0,9990;959;8;0;0;1;0;0;1
21,0000;20160;22;1;0;55;0,9990;959;8;0;0;0;0;0;1
22,0000;21120;23;1;0;55;0,1240;119;1;0;0;0;0;0;0
22,1250;21240;23;1;120;53;0,3740;359;3;1;0;0;0;0;0
22,5000;21600;23;2;0;55;1,2490;1199;10;0;0;1;1;1;1
23,7500;22800;24;2;240;53;0,2490;239;2;0;0;0;0;0;0
24,0000;23040;25;1;0;55;0,3740;359;3;1;1;1;0;0;0
24,3750;23400;25;1;360;51;0,1240;119;1;0;0;0;0;0;0
24,5000;23520;25;2;0;51;0,9990;959;8;0;0;0;0;0;1
25,5000;24480;26;2;0;51;0,9990;959;8;0;0;1;0;0;1
26,5000;25440;27;2;0;55;0,4990;479;4;0;0;0;0;0;0
27,0000;25920;28;1;0;51;0,7490;719;6;1;1;1;0;0;0
27,7500;26640;28;2;240;50;0,2490;239;2;0;0;0;0;0;0
28,0000;26880;29;1;0;51;1,2490;1199;10;0;0;1;1;1;1
29,2500;28080;30;1;240;50;0,2490;239;2;0;0;0;0;0;0
29,5000;28320;30;2;0;51;0,9990;959;8;1;1;1;0;0;1
30,5000;29280;31;2;0;46;0,7490;719;6;0;0;0;0;0;0
31,2500;30000;32;1;240;50;0,2490;239;2;0;0;0;0;0;0
31,5000;30240;32;2;0;51;0,9990;959;8;0;0;1;0;0;0
32,5000;31200;33;2;0;51;0,9990;959;8;1;1;1;1;1;1
