Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
1,2500;1200;2;1;240;57;0,2490;239;6;0;0;1;0;0;0
1,5000;1440;2;2;0;62;0,4990;479;12;0;0;0;0;1;0
2,0000;1920;3;1;0;62;0,1656;159;4;1;1;0;0;0;0
2,1667;2080;3;1;160;59;0,1656;159;4;0;0;0;0;0;0
2,3333;2240;3;1;320;57;0,1656;159;4;0;0;0;0;0;0
2,5000;2400;3;2;0;57;0,4990;479;12;0;0;1;1;0;0
3,0000;2880;4;1;0;59;0,1656;159;4;0;1;0;0;0;0
3,1667;3040;4;1;160;57;0,1656;159;4;0;0;0;0;0;0
3,3333;3200;4;1;320;57;0,1656;159;4;0;0;0;0;0;0
3,5000;3360;4;2;0;57;0,3740;359;9;1;0;1;0;0;0
3,8750;3720;4;2;360;57;0,1240;119;3;0;0;0;0;0;0
4,0000;3840;5;1;0;57;0,9990;959;24;0;1;1;1;1;1
5,0000;4800;6;1;0;52;0,1240;119;3;0;1;0;0;0;0
5,2500;5040;6;1;240;57;0,1240;119;3;0;0;0;0;0;0
5,3750;5160;6;1;360;57;0,1240;119;3;0;0;1;0;0;0
5,5000;5280;6;2;0;62;0,4990;479;12;1;1;0;0;0;0
6,0000;5760;7;1;0;62;0,1656;159;4;0;0;0;0;0;0
6,1667;5920;7;1;160;59;0,1656;159;4;1;0;0;0;0;0
6,3333;6080;7;1;320;57;0,1656;159;4;0;0;0;0;0;0
6,5000;6240;7;2;0;57;0,4990;479;12;1;1;1;0;0;0
7,0000;6720;8;1;0;59;0,1656;159;4;0;0;0;0;0;0
7,1667;6880;8;1;160;57;0,1656;159;4;1;0;0;0;0;0
7,3333;7040;8;1;320;57;0,1656;159;4;0;0;0;0;0;0
7,5000;7200;8;2;0;57;0,2490;239;6;0;0;0;0;0;0
7,7500;7440;8;2;240;57;0,2490;239;6;0;0;0;0;0;0
8,0000;7680;9;1;0;57;0,9990;959;24;1;0;1;1;1;1
9,2500;8880;10;1;240;52;0,2490;239;6;0;0;0;0;0;0
9,5000;9120;10;2;0;57;0,4990;479;12;0;0;0;0;0;0
10,0000;9600;11;1;0;57;0,1656;159;4;1;1;0;0;0;0
10,1667;9760;11;1;160;54;0,1656;159;4;0;0;0;0;0;0
10,3333;9920;11;1;320;52;0,1656;159;4;0;0;0;0;0;0
10,5000;10080;11;2;0;50;0,4990;479;12;0;0;1;0;0;0
11,0000;10560;12;1;0;52;0,1656;159;4;1;0;0;0;0;0
11,1667;10720;12;1;160;50;0,1656;159;4;0;0;0;0;0;0
11,3333;10880;12;1;320;50;0,1656;159;4;0;0;0;0;0;0
11,5000;11040;12;2;0;50;0,2490;239;6;0;0;0;0;0;0
11,7500;11280;12;2;240;50;0,2490;239;6;0;0;0;0;0;0
12,0000;11520;13;1;0;50;0,9990;959;24;1;0;1;1;1;1
13,2500;12720;14;1;240;50;0,2490;239;6;0;0;0;0;0;0
13,5000;12960;14;2;0;52;0,4990;479;12;0;0;0;0;0;0
14,0000;13440;15;1;0;52;0,1656;159;4;1;1;0;0;0;0
14,1667;13600;15;1;160;50;0,1656;159;4;0;0;0;0;0;0
14,3333;13760;15;1;320;47;0,1656;159;4;0;0;0;0;0;0
14,5000;13920;15;2;0;45;0,4990;479;12;0;0;1;0;0;0
15,0000;14400;16;1;0;47;0,1656;159;4;1;0;0;0;0;0
15,1667;14560;16;1;160;45;0,1656;159;4;0;0;0;0;0;0
15,3333;14720;16;1;320;45;0,1656;159;4;0;0;0;0;0;0
15,5000;14880;16;2;0;45;0,2490;239;6;0;0;0;0;0;0
15,7500;15120;16;2;240;45;0,2490;239;6;0;0;0;0;0;0
16,0000;15360;17;1;0;45;0,9990;959;24;0;0;0;0;1;1
17,0000;16320;18;1;0;45;0,4990;479;12;1;1;1;1;0;0
17,7500;17040;18;2;240;57;0,2490;239;6;0;0;0;0;0;0
18,0000;17280;19;1;0;57;0,4990;479;12;0;0;1;0;0;0
18,5000;17760;19;2;0;62;0,4990;479;12;0;0;0;0;0;0
19,0000;18240;20;1;0;62;0,1656;159;4;0;0;1;0;0;0
19,1667;18400;20;1;160;59;0,1656;159;4;1;0;0;0;0;0
19,3333;18560;20;1;320;57;0,1656;159;4;0;0;0;0;0;0
19,5000;18720;20;2;0;57;0,4990;479;12;1;1;1;1;0;0
20,0000;19200;21;1;0;59;0,1656;159;4;0;0;0;0;0;0
20,1667;19360;21;1;160;57;0,1656;159;4;1;0;0;0;0;0
20,3333;19520;21;1;320;57;0,1656;159;4;0;0;0;0;0;0
20,5000;19680;21;2;0;57;0,3740;359;9;1;0;1;0;0;0
20,8750;20040;21;2;360;57;0,1240;119;3;0;0;0;0;0;0
21,0000;20160;22;1;0;57;0,9990;959;24;0;1;1;1;1;1
22,0000;21120;23;1;0;52;0,1240;119;3;0;1;0;0;0;0
22,2500;21360;23;1;240;57;0,1240;119;3;0;0;0;0;0;0
22,3750;21480;23;1;360;57;0,1240;119;3;0;0;1;0;0;0
22,5000;21600;23;2;0;62;0,4990;479;12;1;1;0;0;0;0
23,0000;22080;24;1;0;62;0,1656;159;4;0;0;0;0;0;0
23,1667;22240;24;1;160;59;0,1656;159;4;1;0;0;0;0;0
23,3333;22400;24;1;320;57;0,1656;159;4;0;0;0;0;0;0
23,5000;22560;24;2;0;57;0,4990;479;12;1;1;1;0;0;0
24,0000;23040;25;1;0;59;0,1656;159;4;0;0;0;0;0;0
24,1667;23200;25;1;160;57;0,1656;159;4;1;0;0;0;0;0
24,3333;23360;25;1;320;57;0,1656;159;4;0;0;0;0;0;0
