Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;58;1,4990;1439;12;0;0;0;0;0;0
1,5000;1440;2;1;0;58;1,4990;1439;12;1;0;1;0;0;1
3,0000;2880;3;1;0;60;0,2490;239;2;0;0;0;0;0;0
3,2500;3120;3;1;240;58;0,2490;239;2;0;0;0;0;0;0
3,5000;3360;3;2;0;60;0,9990;959;8;1;1;1;0;0;1
4,5000;4320;4;1;0;58;0,2490;239;2;0;0;0;0;0;0
4,7500;4560;4;1;240;58;0,1240;119;1;0;0;0;0;0;0
4,8750;4680;4;1;360;58;0,1240;119;1;0;0;0;0;0;0
5,0000;4800;4;2;0;58;1,4990;1439;12;1;0;0;0;1;1
6,5000;6240;5;2;0;58;0,4990;479;4;0;0;1;1;0;0
7,0000;6720;5;3;0;53;0,4990;479;4;0;0;0;0;0;0
7,5000;7200;6;1;0;53;0,4990;479;4;0;0;0;0;0;0
8,0000;7680;6;2;0;53;0,9990;959;8;1;1;1;0;0;1
9,0000;8640;7;1;0;55;0,2490;239;2;0;0;0;0;0;0
9,2500;8880;7;1;240;53;0,2490;239;2;0;0;0;0;0;0
9,5000;9120;7;2;0;55;0,9990;959;8;1;0;1;0;0;1
10,5000;10080;8;1;0;53;0,4990;479;4;0;0;0;0;0;0
11,0000;10560;8;2;0;55;0,3740;359;3;1;0;1;0;0;0
11,3750;10920;8;2;360;53;0,1240;119;1;0;0;0;0;0;0
11,5000;11040;8;3;0;55;0,7490;719;6;1;1;1;1;0;0
12,2500;11760;9;1;240;53;0,2490;239;2;0;0;0;0;0;0
12,5000;12000;9;2;0;53;1,4990;1439;12;0;0;1;0;1;1
14,0000;13440;10;2;0;53;1,2490;1199;10;0;0;0;0;0;1
15,2500;14640;11;1;240;53;0,2490;239;2;0;0;0;0;0;0
15,5000;14880;11;2;0;53;1,4990;1439;12;1;1;1;1;1;1
