Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;58;0,9990;959;8;1;0;1;0;0;0
1,0000;960;2;1;0;60;0,2490;239;2;0;0;0;0;0;0
1,2500;1200;2;1;240;58;0,2490;239;2;0;0;0;0;0;0
1,5000;1440;2;2;0;58;0,9990;959;8;1;1;1;1;0;1
2,5000;2400;3;2;0;56;0,3740;359;3;0;0;0;0;0;0
2,8750;2760;3;2;360;51;0,1240;119;1;0;0;0;0;0;0
3,0000;2880;4;1;0;51;0,2490;239;2;0;0;0;0;0;0
3,2500;3120;4;1;240;51;0,2490;239;2;0;0;0;0;0;0
3,5000;3360;4;2;0;51;0,9990;959;8;0;0;1;0;1;1
4,5000;4320;5;2;0;53;0,9990;959;8;0;0;0;0;0;1
5,5000;5280;6;2;0;53;0,4990;479;4;0;0;0;0;0;0
6,0000;5760;7;1;0;51;0,9990;959;8;1;1;1;0;0;1
7,0000;6720;8;1;0;48;0,3740;359;3;0;0;0;0;0;0
7,3750;7080;8;1;360;46;0,1240;119;1;0;0;0;0;0;0
7,5000;7200;8;2;0;46;0,2490;239;2;0;0;0;0;0;0
7,7500;7440;8;2;240;46;0,2490;239;2;0;0;0;0;0;0
8,0000;7680;9;1;0;46;0,9990;959;8;0;0;1;1;1;1
9,0000;8640;10;1;0;48;0,9990;959;8;0;0;0;0;0;1
10,0000;9600;11;1;0;48;0,4990;479;4;0;0;1;0;0;0
10,5000;10080;11;2;0;46;0,4990;479;4;0;0;0;0;0;0
11,0000;10560;12;1;0;46;0,3740;359;3;1;0;1;0;0;0
11,3750;10920;12;1;360;43;0,1240;119;1;0;0;0;0;0;0
11,5000;11040;12;2;0;46;0,2490;239;2;0;0;0;0;0;0
11,7500;11280;12;2;240;46;0,2490;239;2;0;0;0;0;0;0
12,0000;11520;13;1;0;46;0,3740;359;3;1;1;0;0;0;0
12,3750;11880;13;1;360;46;0,1240;119;1;0;0;1;1;0;0
12,5000;12000;13;2;0;51;0,9990;959;8;0;0;0;0;1;1
13,5000;12960;14;2;0;51;0,7490;719;6;0;0;0;0;0;0
14,2500;13680;15;1;240;51;0,2490;239;2;0;0;1;0;0;0
14,5000;13920;15;2;0;48;0,2490;239;2;0;0;0;0;0;0
14,7500;14160;15;2;240;48;0,2490;239;2;0;0;0;0;0;0
15,0000;14400;16;1;0;48;0,4990;479;4;1;1;1;1;1;0
16,2500;15600;17;1;240;48;0,2490;239;2;0;0;0;0;0;0
16,5000;15840;17;2;0;51;0,1240;119;1;0;0;0;0;0;0
16,6250;15960;17;2;120;51;0,3740;359;3;1;0;1;0;0;0
17,0000;16320;18;1;0;51;0,1240;119;1;0;0;0;0;0;0
17,1250;16440;18;1;120;51;0,3740;359;3;1;1;1;0;0;0
17,5000;16800;18;2;0;48;0,1240;119;1;0;0;0;0;0;0
17,6250;16920;18;2;120;48;0,1240;119;1;0;0;0;0;0;0
17,7500;17040;18;2;240;48;0,2490;239;2;0;0;1;1;0;0
18,0000;17280;19;1;0;55;0,2490;239;2;0;0;0;0;1;0
18,2500;17520;19;1;240;55;0,1240;119;1;0;0;0;0;0;0
18,3750;17640;19;1;360;53;0,1240;119;1;0;0;0;0;0;0
18,5000;17760;19;2;0;55;0,2490;239;2;1;1;0;0;0;0
18,7500;18000;19;2;240;55;0,1240;119;1;0;0;0;0;0;0
18,8750;18120;19;2;360;53;0,1240;119;1;1;0;1;1;0;0
19,0000;18240;20;1;0;48;0,2490;239;2;0;0;0;0;0;0
19,2500;18480;20;1;240;48;0,2490;239;2;0;0;0;0;0;0
19,5000;18720;20;2;0;48;0,2490;239;2;0;0;0;0;0;0
19,7500;18960;20;2;240;48;0,2490;239;2;1;0;1;0;0;0
20,0000;19200;21;1;0;46;0,2490;239;2;0;0;0;0;1;0
20,2500;19440;21;1;240;46;0,2490;239;2;0;0;0;0;0;0
20,5000;19680;21;2;0;46;0,2490;239;2;1;0;1;1;0;0
20,7500;19920;21;2;240;43;0,2490;239;2;0;0;0;0;0;0
21,0000;20160;22;1;0;43;0,2490;239;2;0;0;0;0;0;0
21,2500;20400;22;1;240;46;0,4990;479;4;1;0;1;0;0;0
21,7500;20880;22;2;240;43;0,2490;239;2;0;0;0;0;0;0
22,0000;21120;23;1;0;43;0,2490;239;2;0;0;0;0;0;0
22,2500;21360;23;1;240;43;0,2490;239;2;1;1;1;1;0;0
22,7500;21840;23;2;240;51;0,9990;959;8;0;0;0;0;1;1
23,7500;22800;24;2;240;53;0,4990;479;4;0;0;0;0;0;0
24,2500;23280;25;1;240;51;0,4990;479;4;0;0;0;0;0;0
24,7500;23760;25;2;240;49;0,3740;359;3;1;0;1;0;0;0
25,1250;24120;26;1;120;46;0,1240;119;1;0;0;0;0;0;0
25,2500;24240;26;1;240;46;0,4990;479;4;0;0;1;0;0;0
25,7500;24720;26;2;240;46;0,4990;479;4;1;1;1;1;1;1
