Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;57;0,4990;479;12;0;0;0;0;0;0
0,5000;480;1;2;0;59;0,3740;359;9;1;0;1;0;0;0
0,8750;840;1;2;360;61;0,1240;119;3;0;0;0;0;0;0
1,0000;960;2;1;0;59;0,2490;239;6;0;0;0;0;0;0
1,2500;1200;2;1;240;57;0,2490;239;6;0;0;1;0;0;0
1,5000;1440;2;2;0;61;0,4990;479;12;1;1;0;0;0;0
2,0000;1920;3;1;0;59;0,1656;159;4;0;0;0;0;0;0
2,1667;2080;3;1;160;61;0,1656;159;4;0;0;0;0;0;0
2,3333;2240;3;1;320;59;1,0406;999;25;0;0;1;0;0;0
3,3750;3240;4;1;360;57;0,1240;119;3;0;0;0;0;0;0
3,5000;3360;4;2;0;59;0,4990;479;12;0;0;0;0;0;0
4,0000;3840;5;1;0;57;0,7490;719;18;1;1;1;1;1;0
5,0000;4800;6;1;0;59;0,4990;479;12;0;0;0;0;0;0
5,5000;5280;6;2;0;61;0,4990;479;12;1;0;0;0;0;0
6,0000;5760;7;1;0;59;0,2490;239;6;0;0;0;0;0;0
6,2500;6000;7;1;240;57;0,2490;239;6;0;0;0;0;0;0
6,5000;6240;7;2;0;59;0,4990;479;12;1;0;1;0;0;0
7,0000;6720;8;1;0;57;0,1656;159;4;0;0;0;0;0;0
7,1667;6880;8;1;160;59;0,1656;159;4;0;0;0;0;0;0
7,3333;7040;8;1;320;57;0,9156;879;22;1;0;1;0;0;0
8,2500;7920;9;1;240;54;0,1240;119;3;0;0;0;0;0;0
8,5000;8160;9;2;0;57;0,4990;479;12;1;1;0;0;0;0
9,0000;8640;10;1;0;54;0,1240;119;3;0;0;0;0;0;0
9,1250;8760;10;1;120;52;0,6240;599;15;1;0;1;1;1;0
10,0000;9600;11;1;0;54;0,4990;479;12;0;0;0;0;0;0
10,5000;10080;11;2;0;52;0,4990;479;12;1;0;1;0;0;0
11,0000;10560;12;1;0;49;0,1240;119;3;0;0;0;0;0;0
11,1250;10680;12;1;120;47;0,3740;359;9;1;0;1;1;0;0
11,5000;11040;12;2;0;54;0,4990;479;12;0;0;0;0;0;0
12,0000;11520;13;1;0;52;0,4990;479;12;0;0;0;0;0;0
12,5000;12000;13;2;0;50;0,9990;959;24;1;1;1;0;0;0
13,5000;12960;14;2;0;50;0,2490;239;6;0;0;0;0;0;0
13,7500;13200;14;2;240;47;0,2490;239;6;0;0;0;0;0;0
14,0000;13440;15;1;0;45;0,7490;719;18;1;1;1;1;1;0
15,0000;14400;16;1;0;45;0,4990;479;12;0;0;0;0;0;0
15,5000;14880;16;2;0;47;0,4990;479;12;0;0;0;0;0;0
16,0000;15360;17;1;0;45;0,4990;479;12;1;0;1;0;0;0
16,5000;15840;17;2;0;50;0,4990;479;12;0;0;0;0;0;0
17,0000;16320;18;1;0;47;0,4990;479;12;0;0;0;0;0;0
17,5000;16800;18;2;0;45;0,9990;959;24;1;1;1;1;1;1
