Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,3750;360;1;1;360;60;0,1240;119;6;0;0;1;0;0;0
0,5000;480;1;2;0;58;0,2490;239;12;0;0;0;0;0;0
0,7500;720;1;2;240;58;0,1865;179;9;1;1;1;0;0;0
0,9375;900;1;2;420;55;0,0615;59;3;0;0;0;0;0;0
1,0000;960;2;1;0;53;0,7490;719;36;1;0;1;1;1;1
1,7500;1680;2;2;240;55;0,1240;119;6;0;0;0;0;0;0
1,8750;1800;2;2;360;53;0,1240;119;6;0;0;1;0;0;0
2,0000;1920;3;1;0;50;0,1656;159;8;1;0;0;0;0;0
2,1667;2080;3;1;160;50;0,1656;159;8;0;0;1;0;0;0
2,3333;2240;3;1;320;53;0,1656;159;8;0;0;0;0;0;0
2,5000;2400;3;2;0;53;0,2490;239;12;1;1;1;1;1;0
3,0000;2880;4;1;0;60;0,3740;359;18;0;0;0;0;0;0
3,3750;3240;4;1;360;60;0,1240;119;6;0;0;0;0;0;0
3,5000;3360;4;2;0;60;0,1656;159;8;1;0;1;0;0;0
3,6667;3520;4;2;160;58;0,1656;159;8;0;0;0;0;0;0
3,8333;3680;4;2;320;62;0,1656;159;8;0;0;0;0;0;0
4,0000;3840;5;1;0;58;0,2490;239;12;1;0;1;0;0;0
4,2500;4080;5;1;240;55;0,0823;79;4;0;0;0;0;0;0
4,3333;4160;5;1;320;53;0,1656;159;8;0;0;0;0;0;0
4,5000;4320;5;2;0;55;0,1656;159;8;1;0;1;1;1;0
4,8333;4640;5;2;320;58;0,0823;79;4;0;0;0;0;0;0
4,9167;4720;5;2;400;55;0,0823;79;4;0;0;0;0;0;0
5,0000;4800;6;1;0;53;0,2490;239;12;1;1;1;0;0;0
5,2500;5040;6;1;240;50;0,0823;79;4;0;0;0;0;0;0
5,3333;5120;6;1;320;50;0,1656;159;8;0;0;0;0;0;0
5,5000;5280;6;2;0;50;0,4990;479;24;0;0;0;0;0;0
6,0000;5760;7;1;0;50;0,2490;239;12;1;0;1;1;1;0
6,5000;6240;7;2;0;53;0,3740;359;18;0;0;0;0;0;0
6,8750;6600;7;2;360;53;0,1240;119;6;0;0;0;0;0;0
7,0000;6720;8;1;0;53;0,1656;159;8;1;0;1;0;0;0
7,1667;6880;8;1;160;50;0,1656;159;8;0;0;0;0;0;0
7,3333;7040;8;1;320;50;0,1656;159;8;0;0;0;0;0;0
7,5000;7200;8;2;0;50;0,1656;159;8;1;1;1;0;0;0
7,6667;7360;8;2;160;48;0,1656;159;8;0;0;0;0;0;0
7,8333;7520;8;2;320;48;0,1656;159;8;0;0;0;0;0;0
8,0000;7680;9;1;0;48;0,1656;159;8;0;0;1;0;0;0
8,1667;7840;9;1;160;46;0,1656;159;8;0;0;0;0;0;0
8,3333;8000;9;1;320;50;0,1656;159;8;0;0;0;0;0;0
8,5000;8160;9;2;0;46;0,7490;719;36;1;0;1;1;1;1
9,5000;9120;10;2;0;46;0,3740;359;18;0;0;0;0;0;0
9,8750;9480;10;2;360;46;0,1240;119;6;0;0;0;0;0;0
10,0000;9600;11;1;0;46;0,2490;239;12;1;1;1;0;0;0
10,3750;9960;11;1;360;58;0,1240;119;6;0;0;0;0;0;0
10,5000;10080;11;2;0;58;0,2490;239;12;1;0;0;0;0;0
10,7500;10320;11;2;240;58;0,1240;119;6;0;0;1;0;0;0
10,8750;10440;11;2;360;55;0,1240;119;6;0;0;0;0;0;0
11,0000;10560;12;1;0;53;0,7490;719;36;0;0;1;1;1;1
12,0000;11520;13;1;0;55;0,1656;159;8;1;0;0;0;0;0
12,1667;11680;13;1;160;50;0,1656;159;8;0;0;0;0;0;0
12,3333;11840;13;1;320;53;0,1656;159;8;0;0;0;0;0;0
12,5000;12000;13;2;0;53;0,2490;239;12;1;1;1;0;1;0
13,0000;12480;14;1;0;60;0,3740;359;18;0;0;0;0;0;0
13,3750;12840;14;1;360;60;0,1240;119;6;0;0;0;0;0;0
13,5000;12960;14;2;0;60;0,1656;159;8;1;0;1;0;0;0
13,6667;13120;14;2;160;58;0,1656;159;8;0;0;0;0;0;0
