Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
1,2500;1200;0;3;240;56;0,2490;239;2;0;0;0;0;0;0
1,5000;1440;1;1;0;57;0,4990;479;4;1;1;1;1;1;0
2,7500;2640;1;3;240;56;0,2490;239;2;0;0;0;0;0;0
3,0000;2880;2;1;0;57;1,4990;1439;12;1;0;1;0;0;1
4,5000;4320;3;1;0;59;0,1240;119;1;0;0;0;0;0;0
4,6250;4440;3;1;120;57;0,8740;839;7;1;1;1;0;0;0
5,7500;5520;3;3;240;56;0,2490;239;2;0;0;0;0;0;0
6,0000;5760;4;1;0;57;1,4990;1439;12;0;0;0;0;0;1
7,5000;7200;5;1;0;59;0,4990;479;4;1;0;1;0;0;0
8,2500;7920;5;2;240;57;0,2490;239;2;0;0;0;0;0;0
8,5000;8160;5;3;0;57;0,7490;719;6;0;0;0;0;0;0
9,5000;9120;6;2;0;57;1,9990;1919;16;1;1;1;1;1;1
11,8750;11400;7;3;360;59;0,1240;119;1;0;0;0;0;0;0
12,0000;11520;8;1;0;57;0,4990;479;4;1;0;1;0;0;0
13,2500;12720;8;3;240;56;0,2490;239;2;0;0;0;0;0;0
13,5000;12960;9;1;0;57;0,9990;959;8;1;1;0;0;0;1
15,0000;14400;10;1;0;59;0,4990;479;4;0;0;1;0;0;0
15,7500;15120;10;2;240;57;0,2490;239;2;0;0;0;0;0;0
16,0000;15360;10;3;0;57;0,9990;959;8;0;0;1;0;0;0
17,5000;16800;11;3;0;57;2,9990;2879;24;1;1;1;1;1;1
