Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,8750;840;0;2;360;63;0,1240;119;1;0;0;0;0;0;0
1,0000;960;1;1;0;62;0,4990;479;4;1;1;1;0;0;0
1,5000;1440;1;2;0;62;0,2490;239;2;0;0;0;0;0;0
1,7500;1680;1;2;240;61;0,2490;239;2;0;0;1;0;0;0
2,0000;1920;2;1;0;59;0,4990;479;4;1;0;0;0;0;0
2,5000;2400;2;2;0;59;0,3740;359;3;0;0;0;0;0;0
2,8750;2760;2;2;360;59;0,1240;119;1;1;0;1;0;0;0
3,0000;2880;3;1;0;63;0,2490;239;2;0;0;0;0;0;0
3,2500;3120;3;1;240;61;0,2490;239;2;0;0;0;0;0;0
3,5000;3360;3;2;0;63;1,9990;1919;16;0;0;1;1;1;1
5,5000;5280;5;2;0;63;0,2490;239;2;1;0;0;0;0;0
5,8750;5640;5;2;360;64;0,1240;119;1;0;0;0;0;0;0
6,0000;5760;6;1;0;63;0,4990;479;4;1;1;1;0;0;0
6,5000;6240;6;2;0;63;0,2490;239;2;0;0;0;0;0;0
6,7500;6480;6;2;240;61;0,2490;239;2;0;0;0;0;0;0
7,0000;6720;7;1;0;59;0,4990;479;4;1;0;0;0;0;0
7,5000;7200;7;2;0;59;0,3740;359;3;0;0;0;0;0;0
7,8750;7560;7;2;360;59;0,1240;119;1;0;0;1;1;0;0
8,0000;7680;8;1;0;61;0,2490;239;2;0;0;0;0;0;0
8,2500;7920;8;1;240;59;0,2490;239;2;0;0;1;0;0;0
8,5000;8160;8;2;0;57;0,1240;119;1;0;0;0;0;0;0
8,6250;8280;8;2;120;57;0,8740;839;7;0;0;0;0;0;0
9,5000;9120;9;2;0;57;1,9990;1919;16;0;0;0;0;1;1
11,5000;11040;11;2;0;57;0,4990;479;4;1;0;1;1;0;0
12,3750;11880;12;1;360;59;0,1240;119;1;0;0;0;0;0;0
12,5000;12000;12;2;0;57;0,4990;479;4;1;1;0;0;0;0
13,0000;12480;13;1;0;57;0,2490;239;2;0;0;1;0;0;0
13,2500;12720;13;1;240;54;0,2490;239;2;0;0;0;0;0;0
13,5000;12960;13;2;0;54;0,2490;239;2;0;0;1;0;0;0
13,7500;13200;13;2;240;52;0,4990;479;4;1;1;0;0;0;0
14,2500;13680;14;1;240;52;0,2490;239;2;0;0;1;0;0;0
14,5000;13920;14;2;0;56;0,2490;239;2;0;0;0;0;0;0
14,7500;14160;14;2;240;54;0,2490;239;2;0;0;0;0;0;0
15,0000;14400;15;1;0;57;1,9990;1919;16;0;0;1;1;1;1
17,0000;16320;17;1;0;57;0,2490;239;2;1;0;0;0;0;0
17,3750;16680;17;1;360;59;0,1240;119;1;0;0;0;0;0;0
17,5000;16800;17;2;0;57;0,4990;479;4;1;0;0;0;0;0
18,0000;17280;18;1;0;57;0,2490;239;2;0;0;1;0;0;0
18,2500;17520;18;1;240;54;0,2490;239;2;0;0;0;0;0;0
18,5000;17760;18;2;0;54;0,2490;239;2;0;0;0;0;0;0
18,7500;18000;18;2;240;52;0,7490;719;6;1;1;1;1;0;0
19,5000;18720;19;2;0;57;0,4990;479;4;0;0;0;0;1;0
20,0000;19200;20;1;0;57;0,2490;239;2;0;0;1;0;0;0
20,2500;19440;20;1;240;54;0,2490;239;2;0;0;0;0;0;0
20,5000;19680;20;2;0;54;0,2490;239;2;0;0;1;0;0;0
20,7500;19920;20;2;240;52;0,2490;239;2;0;0;0;0;0;0
21,0000;20160;21;1;0;50;0,2490;239;2;0;0;0;0;0;0
21,2500;20400;21;1;240;54;0,2490;239;2;1;0;1;0;0;0
21,5000;20640;21;2;0;52;0,4990;479;4;0;0;0;0;0;0
22,0000;21120;22;1;0;52;0,4990;479;4;0;0;0;0;0;0
22,5000;21600;22;2;0;52;0,4990;479;4;0;0;0;0;0;0
23,0000;22080;23;1;0;52;0,4990;479;4;1;1;1;1;1;0
24,0000;23040;24;1;0;54;0,1240;119;1;0;0;0;0;0;0
24,1250;23160;24;1;120;52;0,3740;359;3;1;0;0;0;0;0
24,5000;23520;24;2;0;54;0,1240;119;1;0;0;1;0;0;0
24,6250;23640;24;2;120;52;0,3740;359;3;1;1;0;0;0;0
25,0000;24000;25;1;0;52;0,1240;119;1;0;0;0;0;0;0
25,1250;24120;25;1;120;52;0,8740;839;7;1;0;1;0;0;0
26,0000;24960;26;1;0;52;0,4990;479;4;0;0;0;0;0;0
26,5000;25440;26;2;0;52;0,4990;479;4;0;0;0;0;0;0
27,0000;25920;27;1;0;52;1,9990;1919;16;0;0;1;0;1;1
29,0000;27840;29;1;0;52;0,4990;479;4;1;0;0;0;0;0
29,5000;28320;29;2;0;52;0,2490;239;2;0;0;0;0;0;0
29,7500;28560;29;2;240;52;0,2490;239;2;1;0;1;0;1;0
31,0000;29760;31;1;0;52;0,4990;479;4;0;0;0;0;0;0
31,5000;30240;31;2;0;52;0,4990;479;4;0;0;0;0;0;0
32,0000;30720;32;1;0;52;1,9990;1919;16;0;0;0;0;1;1
34,0000;32640;34;1;0;52;0,4990;479;4;1;1;1;1;0;0
35,0000;33600;35;1;0;62;0,4990;479;4;0;0;0;0;0;0
35,5000;34080;35;2;0;62;0,2490;239;2;0;0;0;0;0;0
35,7500;34320;35;2;240;61;0,2490;239;2;0;0;1;0;0;0
36,0000;34560;36;1;0;59;0,4990;479;4;1;0;0;0;0;0
36,5000;35040;36;2;0;59;0,3740;359;3;0;0;0;0;0;0
36,8750;35400;36;2;360;59;0,1240;119;1;1;0;1;0;0;0
37,0000;35520;37;1;0;63;0,2490;239;2;0;0;0;0;0;0
37,2500;35760;37;1;240;61;0,2490;239;2;0;0;0;0;0;0
37,5000;36000;37;2;0;63;1,9990;1919;16;0;0;1;1;1;1
39,5000;37920;39;2;0;63;0,2490;239;2;1;0;0;0;0;0
39,8750;38280;39;2;360;64;0,1240;119;1;0;0;0;0;0;0
40,0000;38400;40;1;0;63;0,4990;479;4;1;1;1;0;0;0
40,5000;38880;40;2;0;63;0,2490;239;2;0;0;0;0;0;0
40,7500;39120;40;2;240;61;0,2490;239;2;0;0;0;0;0;0
41,0000;39360;41;1;0;59;0,4990;479;4;1;0;0;0;0;0
41,5000;39840;41;2;0;59;0,3740;359;3;0;0;0;0;0;0
41,8750;40200;41;2;360;59;0,1240;119;1;0;0;1;1;0;0
42,0000;40320;42;1;0;61;0,2490;239;2;0;0;0;0;0;0
