Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,8750;840;0;2;360;62;0,1240;119;1;0;0;0;0;0;0
1,0000;960;1;1;0;62;0,4990;479;4;1;0;1;0;0;0
1,5000;1440;1;2;0;63;0,4990;479;4;0;0;0;0;0;0
2,0000;1920;2;1;0;62;0,4990;479;4;0;0;0;0;0;0
2,5000;2400;2;2;0;62;0,7490;719;6;0;0;1;0;0;0
3,5000;3360;3;2;0;62;0,3740;359;3;1;1;0;0;0;0
3,8750;3720;3;2;360;60;0,1240;119;1;0;0;0;0;0;0
4,0000;3840;4;1;0;60;0,4990;479;4;0;1;0;0;0;0
4,5000;4320;4;2;0;62;1,4990;1439;12;0;1;1;1;1;0
6,3750;6120;6;1;360;62;0,1240;119;1;0;0;0;0;0;0
6,5000;6240;6;2;0;60;0,4990;479;4;0;0;1;0;0;0
7,0000;6720;7;1;0;62;0,4990;479;4;1;0;0;0;0;0
7,5000;7200;7;2;0;62;0,2490;239;2;0;0;0;0;0;0
7,7500;7440;7;2;240;60;0,2490;239;2;0;0;1;0;0;0
8,0000;7680;8;1;0;57;0,9990;959;8;0;1;0;0;0;0
9,0000;8640;9;1;0;57;0,3740;359;3;0;0;1;0;0;0
9,3750;9000;9;1;360;55;0,1240;119;1;0;0;0;0;0;0
9,5000;9120;9;2;0;55;0,4990;479;4;0;0;0;0;0;0
10,0000;9600;10;1;0;55;1,4990;1439;12;1;1;1;1;1;0
12,3750;11880;12;1;360;60;0,1240;119;1;0;0;0;0;0;0
12,5000;12000;12;2;0;60;0,4990;479;4;0;0;1;0;0;0
13,0000;12480;13;1;0;60;0,4990;479;4;0;0;0;0;0;0
13,5000;12960;13;2;0;60;0,4990;479;4;0;0;0;0;0;0
14,0000;13440;14;1;0;60;0,2490;239;2;0;0;1;0;0;0
15,0000;14400;15;1;0;60;0,3740;359;3;1;0;0;0;0;0
15,3750;14760;15;1;360;57;0,1240;119;1;0;0;0;0;0;0
15,5000;14880;15;2;0;57;0,4990;479;4;0;1;0;0;0;0
16,0000;15360;16;1;0;60;1,4990;1439;12;0;1;1;1;1;0
17,8750;17160;17;2;360;60;0,1240;119;1;0;0;0;0;0;0
18,0000;17280;18;1;0;57;0,4990;479;4;0;0;1;0;0;0
18,5000;17760;18;2;0;62;0,4990;479;4;0;0;0;0;0;0
19,0000;18240;19;1;0;62;0,2490;239;2;0;0;0;0;0;0
19,2500;18480;19;1;240;60;0,2490;239;2;0;0;0;0;0;0
19,5000;18720;19;2;0;57;0,7490;719;6;0;1;1;0;0;0
20,5000;19680;20;2;0;57;0,3740;359;3;0;0;0;0;0;0
20,8750;20040;20;2;360;55;0,1240;119;1;0;0;0;0;0;0
21,0000;20160;21;1;0;55;0,4990;479;4;0;0;1;0;0;0
21,5000;20640;21;2;0;55;0,9990;959;8;0;0;0;0;0;0
22,5000;21600;22;2;0;55;0,4990;479;4;1;1;1;1;1;0
23,7500;22800;23;2;240;58;0,2490;239;2;0;0;0;0;0;0
24,0000;23040;24;1;0;57;0,4990;479;4;0;0;0;0;0;0
24,5000;23520;24;2;0;60;0,9990;959;8;1;1;1;0;0;0
25,5000;24480;25;2;0;55;0,4990;479;4;0;0;0;0;0;0
26,0000;24960;26;1;0;55;0,7490;719;6;1;0;1;0;0;0
27,0000;25920;27;1;0;55;0,4990;479;4;0;0;0;0;0;0
27,5000;26400;27;2;0;55;0,3740;359;3;1;0;1;0;0;0
27,8750;26760;27;2;360;52;0,1240;119;1;0;0;0;0;0;0
28,0000;26880;28;1;0;52;0,2490;239;2;1;1;1;1;0;0
28,3750;27240;28;1;360;57;0,1240;119;1;0;0;0;0;0;0
28,5000;27360;28;2;0;55;0,4990;479;4;1;0;1;0;1;0
29,0000;27840;29;1;0;57;0,2490;239;2;0;0;0;0;0;0
29,2500;28080;29;1;240;55;0,2490;239;2;0;0;0;0;0;0
29,5000;28320;29;2;0;57;0,2490;239;2;0;0;1;0;0;0
29,7500;28560;29;2;240;55;0,2490;239;2;0;0;0;0;0;0
30,0000;28800;30;1;0;55;0,4990;479;4;0;0;0;0;0;0
30,5000;29280;30;2;0;55;0,4990;479;4;1;1;1;1;0;0
31,0000;29760;31;1;0;52;0,2490;239;2;0;0;0;0;0;0
31,2500;30000;31;1;240;50;0,2490;239;2;1;0;1;0;0;0
31,5000;30240;31;2;0;48;0,4990;479;4;0;0;0;0;0;0
32,0000;30720;32;1;0;48;0,4990;479;4;0;0;0;0;0;0
32,5000;31200;32;2;0;48;1,9990;1919;16;1;1;1;1;1;1
