Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
1,5000;1440;2;1;0;60;0,1240;119;2;0;0;0;0;0;0
1,6250;1560;2;1;120;60;0,1240;119;2;0;0;0;0;0;0
1,7500;1680;2;1;240;62;0,4990;479;8;1;1;1;1;0;1
2,2500;2160;2;2;240;62;0,2490;239;4;0;0;0;0;0;0
2,5000;2400;2;3;0;62;0,2490;239;4;1;0;1;0;0;0
2,7500;2640;2;3;240;60;0,1240;119;2;0;0;0;0;0;0
2,8750;2760;2;3;360;60;0,1240;119;2;0;0;0;0;0;0
3,0000;2880;3;1;0;60;0,2490;239;4;0;0;0;0;0;0
3,2500;3120;3;1;240;60;0,1865;179;3;0;0;1;0;0;0
3,4375;3300;3;1;420;60;0,0615;59;1;0;0;0;0;0;0
3,5000;3360;3;2;0;60;0,7490;719;12;1;1;1;1;1;1
4,2500;4080;3;3;240;60;0,2490;239;4;0;0;0;0;0;0
4,5000;4320;4;1;0;62;0,4990;479;8;1;1;0;0;0;1
5,0000;4800;4;2;0;62;0,2490;239;4;0;0;0;0;0;0
5,2500;5040;4;2;240;62;0,2490;239;4;1;0;1;0;0;0
5,5000;5280;4;3;0;60;0,1240;119;2;0;0;0;0;0;0
5,6250;5400;4;3;120;60;0,1240;119;2;0;0;0;0;0;0
5,7500;5520;4;3;240;60;0,2490;239;4;0;0;0;0;0;0
6,0000;5760;5;1;0;60;0,1865;179;3;0;0;1;0;0;0
6,1875;5940;5;1;180;60;0,0615;59;1;0;0;0;0;0;0
6,2500;6000;5;1;240;60;0,7490;719;12;1;1;1;1;1;1
7,0000;6720;5;3;0;55;0,2490;239;4;0;0;0;0;0;0
7,2500;6960;5;3;240;60;0,4990;479;8;0;0;0;0;0;1
7,7500;7440;6;1;240;60;0,8740;839;14;1;0;1;0;0;1
8,6250;8280;6;3;120;60;0,1240;119;2;0;0;0;0;0;0
8,7500;8400;6;3;240;60;0,4990;479;8;0;0;0;0;0;1
9,2500;8880;7;1;240;60;0,9990;959;16;1;1;1;1;1;1
10,2500;9840;7;3;240;62;0,2490;239;4;0;0;0;0;0;0
10,5000;10080;8;1;0;60;0,1240;119;2;0;0;0;0;0;0
10,6250;10200;8;1;120;60;0,1240;119;2;0;0;0;0;0;0
10,7500;10320;8;1;240;60;0,2490;239;4;0;0;1;0;0;0
11,0000;10560;8;2;0;55;0,2490;239;4;0;0;0;0;0;0
11,2500;10800;8;2;240;60;0,2490;239;4;1;0;0;0;0;0
11,5000;11040;8;3;0;58;0,1240;119;2;0;0;1;0;0;0
11,6250;11160;8;3;120;55;0,1240;119;2;0;0;0;0;0;0
11,7500;11280;8;3;240;55;0,9990;959;16;1;1;1;1;1;1
12,7500;12240;9;2;240;55;0,2490;239;4;0;0;0;0;0;0
13,0000;12480;9;3;0;55;0,1240;119;2;0;0;0;0;0;0
13,1250;12600;9;3;120;53;0,1240;119;2;1;0;0;0;0;0
13,2500;12720;9;3;240;50;0,2490;239;4;0;0;0;0;0;0
13,5000;12960;10;1;0;48;0,2490;239;4;0;0;0;0;0;0
13,7500;13200;10;1;240;50;0,2490;239;4;1;0;1;0;0;0
14,0000;13440;10;2;0;48;0,1240;119;2;0;0;0;0;0;0
14,1250;13560;10;2;120;48;0,1240;119;2;0;0;0;0;0;0
14,2500;13680;10;2;240;48;0,4990;479;8;1;1;1;1;1;1
14,7500;14160;10;3;240;55;0,1240;119;2;0;0;0;0;0;0
14,8750;14280;10;3;360;50;0,3740;359;6;1;0;0;0;0;0
15,2500;14640;11;1;240;50;0,2490;239;4;0;0;0;0;0;0
15,5000;14880;11;2;0;50;0,1240;119;2;0;0;1;0;0;0
15,6250;15000;11;2;120;48;0,1240;119;2;0;0;0;0;0;0
15,7500;15120;11;2;240;48;0,2490;239;4;1;0;1;0;0;0
16,0000;15360;11;3;0;48;0,1240;119;2;0;0;0;0;0;0
16,1250;15480;11;3;120;48;0,1240;119;2;0;0;0;0;0;0
16,2500;15600;11;3;240;48;0,4990;479;8;1;1;1;1;1;1
16,7500;16080;12;1;240;50;0,1240;119;2;0;0;0;0;0;0
16,8750;16200;12;1;360;48;0,3740;359;6;1;0;1;0;0;0
17,2500;16560;12;2;240;50;0,1240;119;2;0;0;0;0;0;0
17,3750;16680;12;2;360;48;0,3740;359;6;0;0;0;0;0;0
17,7500;17040;12;3;240;48;0,4990;479;8;1;1;1;1;1;1
18,2500;17520;13;1;240;60;0,2490;239;4;0;0;0;0;0;0
18,5000;17760;13;2;0;62;0,4990;479;8;1;0;0;0;0;1
19,0000;18240;13;3;0;62;0,2490;239;4;0;0;0;0;0;0
19,2500;18480;13;3;240;62;0,2490;239;4;1;0;1;0;0;0
19,5000;18720;14;1;0;60;0,1240;119;2;0;0;0;0;0;0
19,6250;18840;14;1;120;60;0,1240;119;2;0;0;0;0;0;0
19,7500;18960;14;1;240;60;0,2490;239;4;1;0;1;0;0;0
20,0000;19200;14;2;0;60;0,1240;119;2;0;0;0;0;0;0
20,1250;19320;14;2;120;60;0,1240;119;2;0;0;0;0;0;0
20,2500;19440;14;2;240;60;0,7490;719;12;1;1;1;1;1;1
21,0000;20160;15;1;0;55;0,2490;239;4;0;0;0;0;0;0
21,2500;20400;15;1;240;60;0,4990;479;8;0;0;0;0;0;1
21,7500;20880;15;2;240;60;0,7490;719;12;1;1;1;0;0;1
22,5000;21600;16;1;0;55;0,2490;239;4;0;0;0;0;0;0
22,7500;21840;16;1;240;60;0,4990;479;8;0;0;0;0;0;0
23,2500;22320;16;2;240;60;0,4990;479;8;1;1;1;1;1;1
