Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,7500;720;0;2;240;60;0,2490;239;2;0;0;1;0;0;0
1,0000;960;1;1;0;62;0,4990;479;4;1;0;0;0;0;0
1,5000;1440;1;2;0;62;0,2490;239;2;0;0;0;0;0;0
1,7500;1680;1;2;240;62;0,2490;239;2;0;0;0;0;0;0
2,0000;1920;2;1;0;62;0,4990;479;4;1;1;1;1;0;0
2,5000;2400;2;2;0;61;0,2490;239;2;0;0;0;0;0;0
2,7500;2640;2;2;240;62;0,2490;239;2;0;0;0;0;0;0
3,0000;2880;3;1;0;62;0,4990;479;4;1;1;1;0;0;0
3,5000;3360;3;2;0;61;0,2490;239;2;0;0;0;0;0;0
3,7500;3600;3;2;240;60;0,2490;239;2;0;0;0;0;0;0
4,0000;3840;4;1;0;58;0,4990;479;4;1;0;1;0;1;0
4,7500;4560;4;2;240;58;0,2490;239;2;0;0;0;0;0;0
5,0000;4800;5;1;0;58;0,2490;239;2;0;0;0;0;0;0
5,2500;5040;5;1;240;53;0,2490;239;2;1;0;1;1;0;0
5,5000;5280;5;2;0;62;0,2490;239;2;0;0;0;0;0;0
5,7500;5520;5;2;240;62;0,2490;239;2;0;0;1;0;0;0
6,0000;5760;6;1;0;58;0,2490;239;2;0;0;0;0;0;0
6,2500;6000;6;1;240;62;0,1240;119;1;0;0;1;0;0;0
6,5000;6240;6;2;0;61;0,2490;239;2;0;0;0;0;0;0
6,7500;6480;6;2;240;62;0,4990;479;4;1;1;1;0;0;0
7,2500;6960;7;1;240;60;0,1865;179;1;0;0;0;0;0;0
7,4375;7140;7;1;420;62;0,0615;59;1;0;0;0;0;0;0
7,5000;7200;7;2;0;60;0,2490;239;2;0;0;0;0;0;0
7,7500;7440;7;2;240;58;0,9990;959;8;1;1;1;1;1;1
9,2500;8880;9;1;240;53;0,2490;239;2;0;0;0;0;0;0
9,5000;9120;9;2;0;58;0,4990;479;4;1;1;0;0;0;0
10,0000;9600;10;1;0;58;0,2490;239;2;0;0;1;0;0;0
10,2500;9840;10;1;240;60;0,2490;239;2;0;0;0;0;0;0
10,5000;10080;10;2;0;62;0,4990;479;4;1;0;1;1;0;0
11,2500;10800;11;1;240;60;0,2490;239;2;0;0;0;0;0;0
11,5000;11040;11;2;0;62;0,4990;479;4;1;1;1;0;0;0
12,0000;11520;12;1;0;60;0,1865;179;1;0;0;0;0;0;0
12,1875;11700;12;1;180;62;0,0615;59;1;0;0;0;0;0;0
12,2500;11760;12;1;240;60;0,2490;239;2;0;0;0;0;0;0
12,5000;12000;12;2;0;58;0,9990;959;8;1;1;1;1;1;1
14,0000;13440;14;1;0;53;0,2490;239;2;0;0;0;0;0;0
14,2500;13680;14;1;240;58;0,4990;479;4;1;1;0;0;0;0
14,7500;14160;14;2;240;58;0,2490;239;2;0;0;0;0;0;0
15,0000;14400;15;1;0;60;0,2490;239;2;0;0;0;0;0;0
15,2500;14640;15;1;240;62;0,4990;479;4;1;0;1;0;1;0
16,0000;15360;16;1;0;62;0,2490;239;2;0;0;0;0;0;0
16,2500;15600;16;1;240;62;0,4990;479;4;1;0;1;0;0;0
16,7500;16080;16;2;240;62;0,2490;239;2;0;0;0;0;0;0
17,0000;16320;17;1;0;62;0,2490;239;2;0;0;0;0;0;0
17,2500;16560;17;1;240;62;0,4990;479;4;1;1;1;1;0;0
17,7500;17040;17;2;240;61;0,2490;239;2;0;0;0;0;0;0
18,0000;17280;18;1;0;62;0,2490;239;2;0;0;0;0;0;0
18,2500;17520;18;1;240;62;0,4990;479;4;1;1;1;0;0;0
18,7500;18000;18;2;240;61;0,2490;239;2;0;0;0;0;0;0
19,0000;18240;19;1;0;60;0,2490;239;2;0;0;0;0;0;0
19,2500;18480;19;1;240;58;0,4990;479;4;1;0;1;0;1;0
20,0000;19200;20;1;0;58;0,2490;239;2;0;0;0;0;0;0
20,2500;19440;20;1;240;58;0,2490;239;2;0;0;0;0;0;0
20,5000;19680;20;2;0;53;0,2490;239;2;1;0;1;1;0;0
20,7500;19920;20;2;240;62;0,2490;239;2;0;0;0;0;0;0
21,0000;20160;21;1;0;62;0,2490;239;2;0;0;1;0;0;0
21,2500;20400;21;1;240;58;0,2490;239;2;0;0;0;0;0;0
21,5000;20640;21;2;0;62;0,1240;119;1;0;0;1;0;0;0
21,7500;20880;21;2;240;61;0,2490;239;2;0;0;0;0;0;0
22,0000;21120;22;1;0;62;0,4990;479;4;1;1;1;0;0;0
22,5000;21600;22;2;0;60;0,1865;179;1;0;0;0;0;0;0
22,6875;21780;22;2;180;62;0,0615;59;1;0;0;0;0;0;0
22,7500;21840;22;2;240;60;0,2490;239;2;0;0;0;0;0;0
23,0000;22080;23;1;0;58;0,9990;959;8;1;1;1;1;1;1
24,5000;23520;24;2;0;53;0,2490;239;2;0;0;0;0;0;0
24,7500;23760;24;2;240;58;0,4990;479;4;1;1;0;0;0;0
25,2500;24240;25;1;240;58;0,2490;239;2;0;0;1;0;0;0
25,5000;24480;25;2;0;60;0,2490;239;2;0;0;0;0;0;0
25,7500;24720;25;2;240;62;0,4990;479;4;1;0;1;1;0;0
26,5000;25440;26;2;0;60;0,2490;239;2;0;0;0;0;0;0
26,7500;25680;26;2;240;62;0,4990;479;4;1;1;1;0;0;0
27,2500;26160;27;1;240;60;0,1865;179;1;0;0;0;0;0;0
27,4375;26340;27;1;420;62;0,0615;59;1;0;0;0;0;0;0
27,5000;26400;27;2;0;60;0,2490;239;2;0;0;0;0;0;0
27,7500;26640;27;2;240;58;0,9990;959;8;1;1;1;1;1;1
29,2500;28080;29;1;240;53;0,2490;239;2;0;0;0;0;0;0
29,5000;28320;29;2;0;58;0,4990;479;4;1;1;0;0;0;0
30,0000;28800;30;1;0;58;0,2490;239;2;0;0;0;0;0;0
30,2500;29040;30;1;240;60;0,2490;239;2;0;0;0;0;0;0
30,5000;29280;30;2;0;62;0,4990;479;4;1;0;1;0;0;0
31,2500;30000;31;1;240;62;0,2490;239;2;0;0;0;0;0;0
31,5000;30240;31;2;0;62;0,4990;479;4;1;0;1;0;0;0
32,0000;30720;32;1;0;62;0,2490;239;2;0;0;0;0;0;0
32,2500;30960;32;1;240;62;0,2490;239;2;0;0;0;0;0;0
32,5000;31200;32;2;0;62;0,2490;239;2;1;0;1;1;0;0
32,7500;31440;32;2;240;58;0,2490;239;2;1;1;1;1;1;1
