Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
1,2500;1200;0;3;240;57;0,2490;239;2;0;0;1;0;0;0
1,5000;1440;1;1;0;59;0,2490;239;2;0;0;0;0;0;0
1,7500;1680;1;1;240;59;0,2490;239;2;0;0;0;0;0;0
2,0000;1920;1;2;0;57;0,4990;479;4;1;1;1;1;1;0
2,7500;2640;1;3;240;59;0,2490;239;2;0;0;0;0;0;0
3,0000;2880;2;1;0;59;0,2490;239;2;0;0;1;0;0;0
3,2500;3120;2;1;240;57;0,2490;239;2;0;0;0;0;0;0
3,5000;3360;2;2;0;54;0,4990;479;4;1;1;1;1;0;0
4,2500;4080;2;3;240;57;0,2490;239;2;0;0;0;0;0;0
4,5000;4320;3;1;0;57;0,2490;239;2;0;0;1;0;0;0
4,7500;4560;3;1;240;54;0,2490;239;2;0;0;0;0;0;0
5,0000;4800;3;2;0;50;0,4990;479;4;1;0;1;1;1;0
5,7500;5520;3;3;240;54;0,2490;239;2;0;0;0;0;0;0
6,0000;5760;4;1;0;54;0,2490;239;2;0;0;0;0;0;0
6,2500;6000;4;1;240;54;0,2490;239;2;0;0;0;0;0;0
6,5000;6240;4;2;0;54;0,4990;479;4;1;1;1;1;0;0
7,2500;6960;4;3;240;52;0,2490;239;2;0;0;0;0;0;0
7,5000;7200;5;1;0;52;0,2490;239;2;0;0;0;0;0;0
7,7500;7440;5;1;240;52;0,2490;239;2;0;0;0;0;0;0
8,0000;7680;5;2;0;52;0,4990;479;4;1;0;1;0;1;0
8,7500;8400;5;3;240;50;0,2490;239;2;0;0;0;0;0;0
9,0000;8640;6;1;0;54;0,2490;239;2;0;0;0;0;0;0
9,2500;8880;6;1;240;54;0,2490;239;2;0;0;0;0;0;0
9,5000;9120;6;2;0;54;0,4990;479;4;1;1;1;1;0;0
10,2500;9840;6;3;240;57;0,2490;239;2;0;0;0;0;0;0
10,5000;10080;7;1;0;57;0,2490;239;2;0;0;1;0;0;0
10,7500;10320;7;1;240;54;0,2490;239;2;0;0;0;0;0;0
11,0000;10560;7;2;0;50;0,4990;479;4;1;0;1;1;1;0
11,7500;11280;7;3;240;54;0,2490;239;2;0;0;0;0;0;0
12,0000;11520;8;1;0;54;0,2490;239;2;0;0;0;0;0;0
12,2500;11760;8;1;240;54;0,2490;239;2;0;0;0;0;0;0
12,5000;12000;8;2;0;54;0,4990;479;4;1;1;1;1;0;0
13,2500;12720;8;3;240;52;0,2490;239;2;0;0;0;0;0;0
13,5000;12960;9;1;0;52;0,2490;239;2;0;0;0;0;0;0
13,7500;13200;9;1;240;50;0,2490;239;2;0;0;0;0;0;0
14,0000;13440;9;2;0;52;0,4990;479;4;1;0;1;0;1;0
14,7500;14160;9;3;240;52;0,2490;239;2;0;0;0;0;0;0
15,0000;14400;10;1;0;54;0,2490;239;2;0;0;0;0;0;0
15,2500;14640;10;1;240;54;0,2490;239;2;0;0;0;0;0;0
15,5000;14880;10;2;0;54;0,4990;479;4;1;1;1;1;0;0
16,2500;15600;10;3;240;57;0,2490;239;2;0;0;0;0;0;0
16,5000;15840;11;1;0;59;0,2490;239;2;0;0;0;0;0;0
16,7500;16080;11;1;240;59;0,2490;239;2;0;0;0;0;0;0
17,0000;16320;11;2;0;57;0,4990;479;4;1;0;1;0;1;0
17,7500;17040;11;3;240;59;0,2490;239;2;0;0;0;0;0;0
18,0000;17280;12;1;0;59;0,2490;239;2;0;0;1;0;0;0
18,2500;17520;12;1;240;57;0,2490;239;2;0;0;0;0;0;0
18,5000;17760;12;2;0;54;0,4990;479;4;1;1;1;1;0;0
19,2500;18480;12;3;240;57;0,2490;239;2;0;0;0;0;0;0
19,5000;18720;13;1;0;57;0,2490;239;2;0;0;1;0;0;0
19,7500;18960;13;1;240;54;0,2490;239;2;0;0;0;0;0;0
20,0000;19200;13;2;0;50;0,4990;479;4;1;0;1;1;1;0
20,7500;19920;13;3;240;54;0,2490;239;2;0;0;0;0;0;0
21,0000;20160;14;1;0;54;0,2490;239;2;0;0;0;0;0;0
21,2500;20400;14;1;240;54;0,2490;239;2;0;0;0;0;0;0
21,5000;20640;14;2;0;54;0,4990;479;4;1;1;1;1;0;0
22,2500;21360;14;3;240;52;0,2490;239;2;0;0;0;0;0;0
22,5000;21600;15;1;0;52;0,2490;239;2;0;0;0;0;0;0
22,7500;21840;15;1;240;52;0,2490;239;2;0;0;0;0;0;0
23,0000;22080;15;2;0;52;0,4990;479;4;1;0;1;0;1;0
23,7500;22800;15;3;240;50;0,2490;239;2;0;0;0;0;0;0
24,0000;23040;16;1;0;54;0,2490;239;2;0;0;0;0;0;0
24,2500;23280;16;1;240;54;0,2490;239;2;0;0;0;0;0;0
24,5000;23520;16;2;0;54;0,4990;479;4;1;1;1;1;0;0
25,2500;24240;16;3;240;57;0,2490;239;2;0;0;0;0;0;0
25,5000;24480;17;1;0;57;0,2490;239;2;0;0;1;0;0;0
25,7500;24720;17;1;240;54;0,2490;239;2;0;0;0;0;0;0
