Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;57;0,4990;479;8;1;0;0;0;0;0
0,5000;480;1;2;0;57;0,2490;239;4;0;0;0;1;0;0
0,7500;720;1;2;240;53;0,2490;239;4;0;0;0;0;0;0
1,0000;960;2;1;0;57;0,4990;479;8;1;1;0;0;0;1
1,5000;1440;2;2;0;57;0,2490;239;4;0;0;0;0;0;0
1,7500;1680;2;2;240;57;0,2490;239;4;0;0;1;0;0;0
2,0000;1920;3;1;0;52;0,3740;359;6;1;1;0;0;0;0
2,3750;2280;3;1;360;50;0,1240;119;2;0;0;0;0;0;0
2,5000;2400;3;2;0;52;0,4990;479;8;1;0;1;1;0;1
3,0000;2880;4;1;0;58;0,4990;479;8;0;0;0;0;1;1
3,5000;3360;4;2;0;58;0,4990;479;8;0;0;0;0;0;1
4,0000;3840;5;1;0;57;0,2490;239;4;1;0;1;0;0;0
4,2500;4080;5;1;240;52;0,1865;179;3;0;0;0;0;0;0
4,4375;4260;5;1;420;52;0,0615;59;1;1;1;1;0;0;0
4,5000;4320;5;2;0;50;0,2490;239;4;0;0;0;0;0;0
4,7500;4560;5;2;240;50;0,2490;239;4;0;0;1;0;0;0
5,0000;4800;6;1;0;45;0,2490;239;4;0;0;0;0;0;0
5,2500;5040;6;1;240;50;0,1865;179;3;0;0;0;0;0;0
5,4375;5220;6;1;420;45;0,0615;59;1;0;0;0;0;0;0
5,5000;5280;6;2;0;50;0,4990;479;8;0;1;1;1;1;1
6,5000;6240;7;2;0;50;0,3740;359;6;0;1;0;0;0;0
6,8750;6600;7;2;360;52;0,1240;119;2;0;0;0;0;0;0
7,0000;6720;8;1;0;52;0,1240;119;2;0;0;1;0;0;0
7,1250;6840;8;1;120;50;0,3740;359;6;1;0;0;0;0;0
7,5000;7200;8;2;0;50;0,1240;119;2;0;0;0;0;0;0
7,6250;7320;8;2;120;50;0,1240;119;2;0;0;0;0;0;0
7,7500;7440;8;2;240;52;0,2490;239;4;0;0;1;0;0;0
8,0000;7680;9;1;0;50;0,3740;359;6;1;1;0;0;0;0
8,3750;8040;9;1;360;50;0,1240;119;2;0;0;0;0;0;0
8,5000;8160;9;2;0;50;0,4990;479;8;0;0;1;1;0;1
9,0000;8640;10;1;0;45;0,2490;239;4;0;0;0;0;1;0
9,5000;9120;10;2;0;50;0,4990;479;8;1;0;0;0;0;1
10,0000;9600;11;1;0;52;0,1240;119;2;0;0;0;0;0;0
10,1250;9720;11;1;120;50;0,1240;119;2;0;0;0;0;0;0
10,2500;9840;11;1;240;52;0,1240;119;2;0;0;1;0;0;0
10,3750;9960;11;1;360;50;0,1240;119;2;0;0;0;0;0;0
10,5000;10080;11;2;0;50;0,2490;239;4;0;0;0;0;0;0
10,7500;10320;11;2;240;50;0,7490;719;12;1;1;0;0;1;1
11,5000;11040;12;2;0;50;0,3740;359;6;0;0;1;1;0;0
11,8750;11400;12;2;360;45;0,1240;119;2;0;0;0;0;0;0
12,0000;11520;13;1;0;50;0,3740;359;6;1;1;0;0;0;0
12,3750;11880;13;1;360;50;0,1240;119;2;0;0;0;0;0;0
12,5000;12000;13;2;0;50;0,3740;359;6;1;0;1;0;0;0
12,8750;12360;13;2;360;50;0,1240;119;2;0;0;0;0;0;0
13,0000;12480;14;1;0;50;0,9990;959;16;1;1;1;1;1;1
