Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
1,0000;960;2;1;0;62;0,2490;239;2;0;0;0;0;0;0
1,2500;1200;2;1;240;62;0,2490;239;2;1;1;1;0;0;0
1,5000;1440;2;2;0;64;0,4990;479;4;0;0;0;0;0;0
2,0000;1920;3;1;0;64;0,2490;239;2;1;1;1;1;0;0
2,5000;2400;3;2;0;64;0,2490;239;2;0;0;0;0;0;0
2,7500;2640;3;2;240;64;0,2490;239;2;1;0;1;0;0;0
3,0000;2880;4;1;0;66;0,1240;119;1;0;0;0;0;0;0
3,1250;3000;4;1;120;64;1,6240;1559;13;1;1;1;1;1;1
5,0000;4800;6;1;0;62;0,2490;239;2;0;0;0;0;0;0
5,2500;5040;6;1;240;62;0,2490;239;2;1;0;1;0;0;0
5,5000;5280;6;2;0;64;0,4990;479;4;0;0;0;0;0;0
6,0000;5760;7;1;0;64;0,2490;239;2;1;0;1;0;0;0
6,5000;6240;7;2;0;64;0,2490;239;2;0;0;0;0;0;0
6,7500;6480;7;2;240;62;0,2490;239;2;0;0;0;0;0;0
7,0000;6720;8;1;0;62;1,7490;1679;14;1;1;1;1;1;1
9,0000;8640;10;1;0;62;0,2490;239;2;0;0;0;0;0;0
9,2500;8880;10;1;240;62;0,2490;239;2;1;0;1;0;0;0
9,5000;9120;10;2;0;66;0,4990;479;4;0;0;0;0;0;0
10,0000;9600;11;1;0;66;0,2490;239;2;1;1;1;0;0;0
10,5000;10080;11;2;0;66;0,2490;239;2;0;0;0;0;0;0
10,7500;10320;11;2;240;66;0,2490;239;2;0;0;1;0;0;0
11,0000;10560;12;1;0;67;0,1240;119;1;0;0;0;0;0;0
11,1250;10680;12;1;120;66;1,6240;1559;13;1;1;1;1;1;1
13,0000;12480;14;1;0;64;0,2490;239;2;0;0;0;0;0;0
13,2500;12720;14;1;240;64;0,2490;239;2;1;0;1;0;0;0
13,5000;12960;14;2;0;66;0,4990;479;4;0;0;0;0;0;0
14,0000;13440;15;1;0;66;0,2490;239;2;1;0;1;0;0;0
14,5000;13920;15;2;0;66;0,2490;239;2;0;0;0;0;0;0
14,7500;14160;15;2;240;64;0,2490;239;2;0;0;0;0;0;0
15,0000;14400;16;1;0;64;1,7490;1679;14;1;1;1;1;1;1
17,0000;16320;18;1;0;62;0,2490;239;2;0;0;0;0;0;0
17,2500;16560;18;1;240;62;0,2490;239;2;1;0;1;0;0;0
17,5000;16800;18;2;0;66;0,4990;479;4;0;0;0;0;0;0
18,0000;17280;19;1;0;66;0,2490;239;2;1;0;1;0;0;0
18,5000;17760;19;2;0;66;0,2490;239;2;0;0;0;0;0;0
18,7500;18000;19;2;240;64;0,2490;239;2;0;0;0;0;0;0
19,0000;18240;20;1;0;64;1,7490;1679;14;1;1;1;1;1;1
21,0000;20160;22;1;0;62;0,2490;239;2;0;0;0;0;0;0
21,2500;20400;22;1;240;62;0,2490;239;2;1;0;1;0;0;0
21,5000;20640;22;2;0;64;0,4990;479;4;0;0;0;0;0;0
22,0000;21120;23;1;0;64;0,2490;239;2;1;0;1;0;0;0
22,5000;21600;23;2;0;64;0,2490;239;2;0;0;0;0;0;0
22,7500;21840;23;2;240;62;0,2490;239;2;0;0;0;0;0;0
23,0000;22080;24;1;0;62;0,9990;959;8;1;1;1;1;1;1
24,5000;23520;25;2;0;62;0,2490;239;2;0;0;0;0;0;0
24,7500;23760;25;2;240;62;0,2490;239;2;1;1;1;1;1;1
