Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
1,3750;1320;0;3;360;59;0,1240;119;1;0;0;0;0;0;0
1,5000;1440;1;1;0;59;0,3740;359;3;1;1;1;0;0;0
1,8750;1800;1;1;360;57;0,1240;119;1;0;0;0;0;0;0
2,0000;1920;1;2;0;57;0,4990;479;4;0;0;0;0;0;1
2,5000;2400;1;3;0;54;0,1240;119;1;0;0;1;1;0;0
2,7500;2640;1;3;240;57;0,1240;119;1;0;0;0;0;0;0
2,8750;2760;1;3;360;57;0,1240;119;1;0;0;0;0;0;0
3,0000;2880;2;1;0;57;0,3740;359;3;1;1;1;0;0;0
3,3750;3240;2;1;360;54;0,1240;119;1;0;0;0;0;0;0
3,5000;3360;2;2;0;54;0,3740;359;3;1;1;1;0;0;0
3,8750;3720;2;2;360;52;0,1240;119;1;0;0;0;0;0;0
4,0000;3840;2;3;0;52;0,4990;479;4;1;0;1;1;1;1
4,7500;4560;3;1;240;54;0,1240;119;1;0;0;0;0;0;0
4,8750;4680;3;1;360;52;0,1240;119;1;0;0;0;0;0;0
5,0000;4800;3;2;0;52;0,3740;359;3;1;1;1;0;0;0
5,3750;5160;3;2;360;50;0,1240;119;1;0;0;0;0;0;0
5,5000;5280;3;3;0;47;0,4990;479;4;0;0;0;0;0;1
6,0000;5760;4;1;0;47;0,1240;119;1;1;0;1;1;0;0
6,2500;6000;4;1;240;57;0,1240;119;1;0;0;0;0;0;0
6,3750;6120;4;1;360;57;0,1240;119;1;0;0;0;0;0;0
6,5000;6240;4;2;0;57;0,3740;359;3;1;1;1;0;0;0
6,8750;6600;4;2;360;54;0,1240;119;1;0;0;0;0;0;0
7,0000;6720;4;3;0;54;0,3740;359;3;1;1;1;0;0;0
7,3750;7080;4;3;360;52;0,1240;119;1;0;0;0;0;0;0
7,5000;7200;5;1;0;52;0,4990;479;4;0;0;0;0;0;1
8,0000;7680;5;2;0;52;0,4990;479;4;1;0;1;1;1;1
8,7500;8400;5;3;240;55;0,1240;119;1;0;0;0;0;0;0
8,8750;8520;5;3;360;52;0,1240;119;1;0;0;0;0;0;0
9,0000;8640;6;1;0;52;0,3740;359;3;1;1;1;0;0;0
9,3750;9000;6;1;360;50;0,1240;119;1;0;0;0;0;0;0
9,5000;9120;6;2;0;47;0,4990;479;4;0;0;0;0;0;1
10,0000;9600;6;3;0;47;0,1240;119;1;0;0;1;1;0;0
10,2500;9840;6;3;240;47;0,1240;119;1;0;0;0;0;0;0
10,3750;9960;6;3;360;47;0,1240;119;1;0;0;0;0;0;0
10,5000;10080;7;1;0;47;0,4990;479;4;1;0;1;0;0;1
11,0000;10560;7;2;0;45;0,4990;479;4;0;0;0;0;0;0
11,5000;11040;7;3;0;42;0,4990;479;4;1;1;1;1;1;1
