Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,5000;480;0;2;0;54;0,3740;359;3;0;0;0;0;0;0
0,8750;840;0;2;360;54;0,1240;119;1;0;1;1;1;0;0
1,0000;960;1;1;0;57;0,4990;479;4;0;0;0;0;0;1
1,5000;1440;1;2;0;57;0,3740;359;3;0;0;1;0;0;0
1,8750;1800;1;2;360;54;0,1240;119;1;0;0;0;0;0;0
2,0000;1920;2;1;0;57;0,4990;479;4;0;0;0;0;0;1
2,5000;2400;2;2;0;59;0,3740;359;3;1;0;1;0;0;0
2,8750;2760;2;2;360;54;0,1240;119;1;0;0;0;0;0;0
3,0000;2880;3;1;0;57;0,9990;959;8;1;1;1;0;1;1
4,0000;3840;4;1;0;54;0,3740;359;3;0;0;0;0;0;0
4,3750;4200;4;1;360;54;0,1240;119;1;0;0;1;0;0;0
4,5000;4320;4;2;0;57;0,4990;479;4;0;0;0;0;0;1
5,0000;4800;5;1;0;57;0,3740;359;3;1;0;1;0;0;0
5,3750;5160;5;1;360;54;0,1240;119;1;0;0;0;0;0;0
5,5000;5280;5;2;0;54;0,4990;479;4;1;0;1;0;0;1
6,0000;5760;6;1;0;57;0,3740;359;3;0;0;0;0;0;0
6,3750;6120;6;1;360;57;0,1240;119;1;0;0;0;0;0;0
6,5000;6240;6;2;0;57;0,4990;479;4;1;1;1;1;1;1
7,5000;7200;7;2;0;54;0,3740;359;3;0;0;0;0;0;0
7,8750;7560;7;2;360;54;0,1240;119;1;0;0;1;0;0;0
8,0000;7680;8;1;0;57;0,4990;479;4;0;1;0;0;0;1
8,5000;8160;8;2;0;57;0,3740;359;3;0;0;1;0;0;0
8,8750;8520;8;2;360;54;0,1240;119;1;0;0;0;0;0;0
9,0000;8640;9;1;0;57;0,4990;479;4;1;0;0;0;0;1
9,5000;9120;9;2;0;59;0,3740;359;3;0;0;1;0;0;0
9,8750;9480;9;2;360;54;0,1240;119;1;0;0;0;0;0;0
10,0000;9600;10;1;0;59;0,7490;719;6;1;0;1;0;0;1
10,7500;10320;10;2;240;54;0,2490;239;2;0;0;0;0;0;0
11,0000;10560;11;1;0;57;0,2490;239;2;0;0;0;0;1;0
11,5000;11040;11;2;0;59;0,7490;719;6;1;1;1;1;0;1
12,2500;11760;12;1;240;54;0,2490;239;2;0;0;0;0;0;0
12,5000;12000;12;2;0;57;0,4990;479;4;0;0;0;0;0;1
13,0000;12480;13;1;0;59;0,3740;359;3;1;0;1;0;0;0
13,3750;12840;13;1;360;54;0,1240;119;1;0;0;0;0;0;0
13,5000;12960;13;2;0;57;0,4990;479;4;1;1;1;1;1;1
14,5000;13920;14;2;0;54;0,3740;359;3;0;0;0;0;0;0
