Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
1,2500;1200;2;1;240;57;0,2490;239;2;1;0;1;1;0;0
1,5000;1440;2;2;0;64;0,2490;239;2;0;0;0;0;0;0
1,7500;1680;2;2;240;64;0,2490;239;2;1;0;1;0;0;0
2,0000;1920;3;1;0;64;0,1240;119;1;0;0;0;0;0;0
2,1250;2040;3;1;120;64;0,1240;119;1;0;0;0;0;0;0
2,2500;2160;3;1;240;64;0,4990;479;4;1;1;0;0;1;0
2,7500;2640;3;2;240;64;0,2490;239;2;0;0;1;0;0;0
3,0000;2880;4;1;0;66;0,1240;119;1;0;0;0;0;0;0
3,1250;3000;4;1;120;64;0,3740;359;3;0;0;0;0;0;0
3,5000;3360;4;2;0;62;0,3740;359;3;1;0;0;0;0;0
3,8750;3720;4;2;360;59;0,1240;119;1;0;0;1;0;0;0
4,0000;3840;5;1;0;57;0,2490;239;2;0;0;0;0;0;0
4,2500;4080;5;1;240;57;0,2490;239;2;0;0;0;0;0;0
4,5000;4320;5;2;0;57;0,7490;719;6;1;1;1;1;1;0
5,5000;5280;6;2;0;62;0,2490;239;2;0;0;0;0;0;0
5,7500;5520;6;2;240;59;0,2490;239;2;0;0;0;0;0;0
6,0000;5760;7;1;0;59;0,2490;239;2;0;0;0;0;0;0
6,2500;6000;7;1;240;59;0,4990;479;4;1;0;0;0;0;0
6,7500;6480;7;2;240;59;0,2490;239;2;0;0;1;0;0;0
7,0000;6720;8;1;0;62;0,1240;119;1;0;0;0;0;0;0
7,1250;6840;8;1;120;59;0,3740;359;3;0;0;0;0;0;0
7,5000;7200;8;2;0;57;0,3740;359;3;1;0;0;0;0;0
7,8750;7560;8;2;360;54;0,1240;119;1;0;0;0;0;0;0
8,0000;7680;9;1;0;52;0,9990;959;8;1;1;1;1;1;1
9,7500;9360;10;2;240;59;0,2490;239;2;0;0;0;0;0;0
10,0000;9600;11;1;0;57;0,2490;239;2;0;0;0;0;0;0
10,2500;9840;11;1;240;57;0,2490;239;2;0;0;0;0;0;0
10,5000;10080;11;2;0;57;0,4990;479;4;1;0;0;0;0;0
11,0000;10560;12;1;0;57;0,2490;239;2;0;0;1;0;0;0
11,2500;10800;12;1;240;59;0,2490;239;2;0;0;0;0;0;0
11,5000;11040;12;2;0;59;0,2490;239;2;0;0;1;0;0;0
11,7500;11280;12;2;240;57;0,3740;359;3;1;1;0;0;0;0
12,1250;11640;13;1;120;54;0,1240;119;1;0;0;1;1;0;0
12,2500;11760;13;1;240;52;0,2490;239;2;0;0;0;0;0;0
12,5000;12000;13;2;0;52;0,2490;239;2;0;0;1;0;0;0
12,7500;12240;13;2;240;54;0,2490;239;2;0;0;0;0;0;0
13,0000;12480;14;1;0;52;0,2490;239;2;1;0;1;1;0;0
13,2500;12720;14;1;240;50;0,2490;239;2;0;0;0;0;0;0
13,5000;12960;14;2;0;50;0,2490;239;2;0;0;0;0;0;0
13,7500;13200;14;2;240;50;1,4990;1439;12;1;1;1;1;1;1
