Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,8750;840;0;2;360;50;0,1240;119;3;0;0;1;0;0;0
1,0000;960;1;1;0;53;0,3740;359;9;1;1;0;0;0;0
1,3750;1320;1;1;360;53;0,1240;119;3;0;0;0;0;0;0
1,5000;1440;1;2;0;53;0,2490;239;6;0;0;1;0;0;0
1,7500;1680;1;2;240;50;0,0823;79;2;1;0;0;0;0;0
1,8333;1760;1;2;320;53;0,1656;159;4;0;0;0;0;0;0
2,0000;1920;2;1;0;55;0,8740;839;21;1;1;1;1;1;1
2,8750;2760;2;2;360;48;0,1240;119;3;0;0;0;0;0;0
3,0000;2880;3;1;0;53;0,3740;359;9;1;0;1;0;0;0
3,3750;3240;3;1;360;57;0,1240;119;3;0;0;0;0;0;0
3,5000;3360;3;2;0;57;0,3740;359;9;1;0;1;0;0;0
3,8750;3720;3;2;360;55;0,0615;59;1;0;0;0;0;0;0
4,0000;3840;4;1;0;57;0,3740;359;9;1;0;1;0;0;0
4,3750;4200;4;1;360;55;0,1240;119;3;0;0;0;0;0;0
4,5000;4320;4;2;0;53;0,3740;359;9;1;0;1;0;0;0
4,8750;4680;4;2;360;50;0,1240;119;3;0;0;0;0;0;0
5,0000;4800;5;1;0;53;0,4990;479;12;1;0;1;1;1;1
5,7500;5520;5;2;240;55;0,1240;119;3;0;0;0;0;0;0
5,8750;5640;5;2;360;55;0,1240;119;3;0;0;0;0;0;0
6,0000;5760;6;1;0;57;0,7490;719;18;1;1;1;0;1;1
6,7500;6480;6;2;240;53;0,1240;119;3;0;0;0;0;0;0
6,8750;6600;6;2;360;55;0,1240;119;3;0;0;0;0;0;0
7,0000;6720;7;1;0;53;0,4990;479;12;1;0;1;0;0;1
7,5000;7200;7;2;0;55;0,1656;159;4;0;0;0;0;0;0
7,6667;7360;7;2;160;55;0,1656;159;4;0;0;0;0;0;0
7,8333;7520;7;2;320;55;0,1656;159;4;0;0;0;0;0;0
8,0000;7680;8;1;0;57;0,3740;359;9;1;1;1;0;0;0
8,3750;8040;8;1;360;55;0,1240;119;3;0;0;0;0;0;0
8,5000;8160;8;2;0;55;0,3740;359;9;1;0;1;0;0;0
8,8750;8520;8;2;360;53;0,1240;119;3;0;0;0;0;0;0
9,0000;8640;9;1;0;55;0,4990;479;12;1;1;1;1;1;1
9,8750;9480;9;2;360;48;0,1240;119;3;0;0;0;0;0;0
10,0000;9600;10;1;0;53;0,3740;359;9;1;0;1;0;0;0
10,3750;9960;10;1;360;57;0,1240;119;3;0;0;0;0;0;0
10,5000;10080;10;2;0;57;0,3740;359;9;1;0;1;0;0;0
10,8750;10440;10;2;360;55;0,0615;59;1;0;0;0;0;0;0
11,0000;10560;11;1;0;57;0,3740;359;9;1;0;1;0;0;0
11,3750;10920;11;1;360;55;0,1240;119;3;0;0;0;0;0;0
11,5000;11040;11;2;0;53;0,3740;359;9;1;1;1;0;0;0
11,8750;11400;11;2;360;50;0,1240;119;3;0;0;0;0;0;0
12,0000;11520;12;1;0;53;0,7490;719;18;1;0;1;1;1;1
12,8750;12360;12;2;360;50;0,1240;119;3;0;0;0;0;0;0
13,0000;12480;13;1;0;53;0,3740;359;9;1;1;0;0;0;0
13,3750;12840;13;1;360;53;0,1240;119;3;0;0;0;0;0;0
13,5000;12960;13;2;0;53;0,2490;239;6;0;0;1;0;0;0
13,7500;13200;13;2;240;50;0,0823;79;2;1;0;0;0;0;0
13,8333;13280;13;2;320;53;0,1656;159;4;0;0;0;0;0;0
14,0000;13440;14;1;0;55;0,8740;839;21;1;1;1;1;1;1
14,8750;14280;14;2;360;48;0,1240;119;3;0;0;0;0;0;0
15,0000;14400;15;1;0;53;0,3740;359;9;1;0;1;0;0;0
15,3750;14760;15;1;360;57;0,1240;119;3;0;0;0;0;0;0
15,5000;14880;15;2;0;57;0,3740;359;9;1;0;1;0;0;0
15,8750;15240;15;2;360;55;0,0615;59;1;0;0;0;0;0;0
16,0000;15360;16;1;0;57;0,3740;359;9;1;0;1;0;0;0
16,3750;15720;16;1;360;55;0,1240;119;3;0;0;0;0;0;0
16,5000;15840;16;2;0;53;0,3740;359;9;1;0;1;0;0;0
16,8750;16200;16;2;360;50;0,1240;119;3;0;0;0;0;0;0
17,0000;16320;17;1;0;53;0,4990;479;12;1;0;1;1;1;1
17,7500;17040;17;2;240;55;0,1240;119;3;0;0;0;0;0;0
17,8750;17160;17;2;360;55;0,1240;119;3;0;0;0;0;0;0
18,0000;17280;18;1;0;57;0,7490;719;18;1;1;1;0;1;1
18,7500;18000;18;2;240;53;0,1240;119;3;0;0;0;0;0;0
18,8750;18120;18;2;360;55;0,1240;119;3;0;0;0;0;0;0
19,0000;18240;19;1;0;53;0,4990;479;12;1;0;1;0;0;1
19,5000;18720;19;2;0;55;0,1656;159;4;0;0;0;0;0;0
19,6667;18880;19;2;160;55;0,1656;159;4;0;0;0;0;0;0
19,8333;19040;19;2;320;55;0,1656;159;4;0;0;0;0;0;0
20,0000;19200;20;1;0;57;0,3740;359;9;1;1;1;0;0;0
20,3750;19560;20;1;360;55;0,1240;119;3;0;0;0;0;0;0
20,5000;19680;20;2;0;55;0,3740;359;9;1;0;1;0;0;0
20,8750;20040;20;2;360;53;0,1240;119;3;0;0;0;0;0;0
21,0000;20160;21;1;0;55;0,4990;479;12;1;1;1;1;1;1
21,8750;21000;21;2;360;48;0,1240;119;3;0;0;0;0;0;0
22,0000;21120;22;1;0;53;0,3740;359;9;1;0;1;0;0;0
22,3750;21480;22;1;360;57;0,1240;119;3;0;0;0;0;0;0
22,5000;21600;22;2;0;57;0,3740;359;9;1;0;1;0;0;0
22,8750;21960;22;2;360;55;0,0615;59;1;0;0;0;0;0;0
23,0000;22080;23;1;0;57;0,3740;359;9;1;0;1;0;0;0
23,3750;22440;23;1;360;55;0,1240;119;3;0;0;0;0;0;0
23,5000;22560;23;2;0;53;0,3740;359;9;1;1;1;0;0;0
23,8750;22920;23;2;360;50;0,1240;119;3;0;0;0;0;0;0
24,0000;23040;24;1;0;53;0,7490;719;18;1;0;1;1;1;1
24,8750;23880;24;2;360;50;0,1240;119;3;0;0;0;0;0;0
25,0000;24000;25;1;0;53;0,4990;479;12;1;1;1;1;1;1
