Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;62;0,4990;479;12;0;0;0;0;0;0
0,5000;480;1;2;0;62;0,4990;479;12;0;0;1;0;0;0
1,0000;960;1;3;0;62;0,1656;159;4;0;0;0;0;0;0
1,1667;1120;1;3;160;59;0,1656;159;4;0;0;0;0;0;0
1,3333;1280;1;3;320;57;0,0823;79;2;1;1;1;1;0;0
1,5000;1440;2;1;0;62;0,4990;479;12;0;0;0;0;0;0
2,0000;1920;2;2;0;62;0,4990;479;12;0;0;0;0;1;0
2,5000;2400;2;3;0;62;0,1656;159;4;1;0;0;0;0;0
2,6667;2560;2;3;160;64;0,1656;159;4;0;0;0;0;0;0
2,8333;2720;2;3;320;62;0,1656;159;4;1;0;0;0;0;0
3,0000;2880;3;1;0;60;0,4990;479;12;0;0;1;0;0;0
3,5000;3360;3;2;0;60;0,4990;479;12;0;0;0;0;0;0
4,0000;3840;3;3;0;60;0,1656;159;4;0;0;0;0;0;0
4,1667;4000;3;3;160;57;0,1656;159;4;0;0;0;0;0;0
4,3333;4160;3;3;320;55;0,1656;159;4;1;0;0;0;0;0
4,5000;4320;4;1;0;57;0,4990;479;12;0;0;1;0;0;0
5,0000;4800;4;2;0;57;0,4990;479;12;0;0;0;0;1;0
5,5000;5280;4;3;0;57;0,2490;239;6;1;1;1;1;0;0
6,0000;5760;5;1;0;59;0,2490;239;6;0;0;0;0;0;0
6,2500;6000;5;1;240;57;0,2490;239;6;1;0;0;0;0;0
6,5000;6240;5;2;0;55;0,4990;479;12;0;0;0;0;0;0
7,0000;6720;5;3;0;55;0,4990;479;12;0;0;1;0;0;0
7,5000;7200;6;1;0;55;0,1656;159;4;0;0;0;0;0;0
7,6667;7360;6;1;160;53;0,1656;159;4;0;0;0;0;0;0
7,8333;7520;6;1;320;52;0,0823;79;2;1;0;1;1;0;0
8,0000;7680;6;2;0;55;0,4990;479;12;0;0;0;0;1;0
8,5000;8160;6;3;0;55;0,4990;479;12;0;0;0;0;0;0
9,0000;8640;7;1;0;55;0,1656;159;4;1;1;0;0;0;0
9,1667;8800;7;1;160;57;0,1656;159;4;0;0;0;0;0;0
9,3333;8960;7;1;320;57;0,1656;159;4;1;0;0;0;0;0
9,5000;9120;7;2;0;55;0,4990;479;12;0;0;1;0;0;0
10,0000;9600;7;3;0;55;0,4990;479;12;0;0;0;0;0;0
10,5000;10080;8;1;0;55;0,1656;159;4;1;1;0;0;0;0
10,6667;10240;8;1;160;52;0,1656;159;4;0;0;0;0;0;0
10,8333;10400;8;1;320;50;0,1656;159;4;0;0;0;0;0;0
11,0000;10560;8;2;0;50;0,4990;479;12;1;0;1;0;1;0
11,5000;11040;8;3;0;50;0,2490;239;6;0;0;0;0;0;0
11,7500;11280;8;3;240;50;0,1240;119;3;0;0;0;0;0;0
11,8750;11400;8;3;360;50;0,1240;119;3;0;0;0;0;0;0
12,0000;11520;9;1;0;50;0,2490;239;6;1;1;1;1;0;0
12,3750;11880;9;1;360;59;0,1240;119;3;0;0;0;0;0;0
12,5000;12000;9;2;0;59;0,1656;159;4;1;0;0;0;0;0
12,6667;12160;9;2;160;57;0,1656;159;4;0;0;0;0;0;0
12,8333;12320;9;2;320;55;0,1656;159;4;1;0;0;0;0;0
13,0000;12480;9;3;0;57;0,4990;479;12;0;0;1;0;1;0
13,5000;12960;10;1;0;57;0,4990;479;12;0;0;0;0;0;0
14,0000;13440;10;2;0;57;0,1656;159;4;1;1;0;0;0;0
14,1667;13600;10;2;160;59;0,1656;159;4;0;0;0;0;0;0
14,3333;13760;10;2;320;57;0,1656;159;4;1;0;0;0;0;0
14,5000;13920;10;3;0;55;0,4990;479;12;0;0;1;0;0;0
15,0000;14400;11;1;0;55;0,4990;479;12;0;0;0;0;0;0
15,5000;14880;11;2;0;55;0,1656;159;4;1;1;0;0;0;0
15,6667;15040;11;2;160;53;0,1656;159;4;0;0;0;0;0;0
15,8333;15200;11;2;320;52;0,0823;79;2;1;0;1;1;0;0
16,0000;15360;11;3;0;55;0,4990;479;12;0;0;0;0;1;0
16,5000;15840;12;1;0;55;0,4990;479;12;0;0;0;0;0;0
17,0000;16320;12;2;0;55;0,1656;159;4;0;0;0;0;0;0
17,1667;16480;12;2;160;57;0,1656;159;4;0;0;0;0;0;0
17,3333;16640;12;2;320;57;0,1656;159;4;1;0;0;0;0;0
17,5000;16800;12;3;0;55;0,4990;479;12;0;0;1;0;1;0
18,0000;17280;13;1;0;55;0,4990;479;12;0;0;0;0;0;0
18,5000;17760;13;2;0;55;0,1656;159;4;0;0;0;0;0;0
18,6667;17920;13;2;160;52;0,1656;159;4;1;0;0;0;0;0
18,8333;18080;13;2;320;50;0,1656;159;4;0;0;0;0;0;0
19,0000;18240;13;3;0;50;0,4990;479;12;1;1;1;0;0;0
19,5000;18720;14;1;0;50;0,2490;239;6;0;0;0;0;0;0
19,7500;18960;14;1;240;50;0,4990;479;12;1;1;1;0;0;0
