Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;61;0,0990;95;5;0;1;0;1;0;0
0,1000;96;1;1;96;60;0,0990;95;5;0;0;0;0;0;0
0,2000;192;1;1;192;61;0,0990;95;5;0;0;0;0;0;0
0,3000;288;1;1;288;60;0,0990;95;5;0;0;1;0;0;0
0,4000;384;1;1;384;61;0,0990;95;5;0;0;0;0;0;0
0,5000;480;1;2;0;61;0,2490;239;12;0;1;1;1;0;0
0,7500;720;1;2;240;58;0,0823;79;4;0;1;0;0;0;0
0,8333;800;1;2;320;54;0,1656;159;8;0;1;1;0;0;0
1,0000;960;2;1;0;61;0,1656;159;8;0;0;0;0;0;0
1,1667;1120;2;1;160;58;0,1656;159;8;1;0;1;0;0;0
1,3333;1280;2;1;320;54;0,1656;159;8;0;0;0;0;0;0
1,5000;1440;2;2;0;54;0,9990;959;48;1;1;1;1;1;1
2,5000;2400;3;2;0;61;0,0990;95;5;0;0;0;0;0;0
2,6000;2496;3;2;96;60;0,0990;95;5;0;0;0;0;0;0
2,7000;2592;3;2;192;61;0,0990;95;5;0;0;0;0;0;0
2,8000;2688;3;2;288;60;0,0990;95;5;0;0;1;0;0;0
2,9000;2784;3;2;384;61;0,0990;95;5;0;0;0;0;0;0
3,0000;2880;4;1;0;61;0,2490;239;12;0;0;1;1;0;0
3,2500;3120;4;1;240;58;0,0823;79;4;0;0;0;0;0;0
3,3333;3200;4;1;320;54;0,1656;159;8;0;0;1;0;0;0
3,5000;3360;4;2;0;61;0,1656;159;8;1;1;0;0;0;0
3,6667;3520;4;2;160;58;0,1656;159;8;0;0;1;0;0;0
3,8333;3680;4;2;320;54;0,1656;159;8;0;0;0;0;0;0
4,0000;3840;5;1;0;54;0,7490;719;36;1;0;0;0;1;1
4,7500;4560;5;2;240;54;0,1240;119;6;0;0;1;1;0;0
4,8750;4680;5;2;360;58;0,1240;119;6;0;0;0;0;0;0
5,0000;4800;6;1;0;58;0,1656;159;8;1;0;1;0;0;0
5,1667;4960;6;1;160;54;0,1656;159;8;0;0;0;0;0;0
5,3333;5120;6;1;320;54;0,1656;159;8;0;0;0;0;0;0
5,5000;5280;6;2;0;54;0,4990;479;24;1;1;1;0;1;0
6,0000;5760;7;1;0;58;0,1656;159;8;0;0;0;0;0;0
6,1667;5920;7;1;160;54;0,1656;159;8;0;0;1;0;0;0
6,3333;6080;7;1;320;58;0,1656;159;8;0;0;0;0;0;0
6,5000;6240;7;2;0;58;0,2490;239;12;1;1;1;1;0;0
6,7500;6480;7;2;240;54;0,0823;79;4;0;0;0;0;0;0
6,8333;6560;7;2;320;54;0,1656;159;8;0;0;1;0;0;0
7,0000;6720;8;1;0;58;0,1656;159;8;0;0;0;0;0;0
7,1667;6880;8;1;160;54;0,1656;159;8;1;0;0;0;0;0
7,3333;7040;8;1;320;54;0,1656;159;8;0;0;0;0;0;0
7,5000;7200;8;2;0;54;0,7490;719;36;1;0;0;0;1;1
8,2500;7920;9;1;240;54;0,1240;119;6;0;0;1;1;0;0
8,3750;8040;9;1;360;58;0,1240;119;6;0;0;0;0;0;0
8,5000;8160;9;2;0;58;0,1656;159;8;1;1;1;0;0;0
8,6667;8320;9;2;160;54;0,1656;159;8;0;0;0;0;0;0
8,8333;8480;9;2;320;54;0,1656;159;8;0;0;0;0;0;0
9,0000;8640;10;1;0;54;0,4990;479;24;1;0;1;0;1;0
9,5000;9120;10;2;0;58;0,1656;159;8;0;0;0;0;0;0
9,6667;9280;10;2;160;54;0,1656;159;8;0;0;1;0;0;0
9,8333;9440;10;2;320;58;0,1656;159;8;0;0;0;0;0;0
10,0000;9600;11;1;0;58;0,2490;239;12;1;1;1;1;0;0
10,2500;9840;11;1;240;54;0,0823;79;4;0;0;0;0;0;0
10,3333;9920;11;1;320;54;0,1656;159;8;0;0;1;0;0;0
10,5000;10080;11;2;0;58;0,1656;159;8;1;0;0;0;0;0
10,6667;10240;11;2;160;54;0,1656;159;8;0;0;0;0;0;0
10,8333;10400;11;2;320;54;0,1656;159;8;0;0;0;0;0;0
11,0000;10560;12;1;0;54;0,9990;959;48;1;0;1;1;1;1
12,0000;11520;13;1;0;54;0,4990;479;24;0;0;0;0;0;0
12,5000;12000;13;2;0;54;0,4990;479;24;0;0;0;0;0;0
13,0000;12480;14;1;0;54;0,4990;479;24;0;0;0;0;0;0
13,5000;12960;14;2;0;54;0,4990;479;24;1;1;1;1;1;1
